 	le	manioc	que	nyebhi	a	préparé	hier	s'	est	déjà	durci	</S>
a23	0.130897	0.0966679	0.10841	0.142767	0.153795	0.144723	0.0795387	0.0641644	0.0320657	0.0202029	0.0143376	0.0124308
a83	0.177686	0.15183	0.143661	0.14253	0.0944737	0.0705303	0.0415776	0.0483737	0.0365846	0.0316729	0.0270517	0.0340279
a9	0.238632	0.205275	0.163624	0.11826	0.0715019	0.0443875	0.0193261	0.0229441	0.020733	0.0223471	0.027394	0.045576
a10	0.281874	0.212614	0.16133	0.0909082	0.0534653	0.033386	0.0156753	0.0207135	0.0212712	0.0273197	0.0322744	0.0491682
a90	0.281736	0.213425	0.163803	0.0974704	0.0511679	0.0312268	0.0141452	0.0212061	0.0227152	0.0262351	0.0291062	0.0477625
a94	0.306883	0.240643	0.161543	0.0809095	0.0449525	0.0238094	0.0140128	0.0155518	0.0184707	0.027118	0.0259767	0.0401305
a62	0.286664	0.233331	0.168807	0.111478	0.065634	0.0336848	0.0132734	0.0119484	0.0120454	0.0175088	0.0196883	0.0259366
a47	0.225326	0.210366	0.18093	0.148309	0.0931108	0.0509724	0.0179396	0.0148196	0.0120674	0.0141664	0.0145376	0.0174555
a75	0.104964	0.123859	0.133091	0.166306	0.128359	0.0953838	0.0482096	0.0384083	0.034862	0.0407721	0.0416292	0.0441549
a5	0.131696	0.148598	0.153386	0.172377	0.130057	0.0858211	0.0428277	0.0266659	0.0213977	0.0220515	0.0276092	0.0375113
a61	0.139644	0.152139	0.16027	0.185987	0.132903	0.0790092	0.0336224	0.0223206	0.0181075	0.018867	0.0246352	0.0324947
a47	0.102982	0.122456	0.14659	0.196993	0.16308	0.106666	0.0436974	0.0256753	0.0188871	0.0182168	0.0240637	0.0306935
a62	0.0553491	0.0711932	0.0971303	0.168963	0.170274	0.141258	0.0773297	0.0474633	0.0342572	0.0342808	0.046471	0.0560312
a61	0.0505608	0.0612084	0.0810286	0.146333	0.164519	0.150867	0.0947542	0.0567293	0.0388594	0.0389195	0.0531141	0.0631071
a21	0.0430222	0.0489359	0.0638003	0.12459	0.147802	0.146877	0.129103	0.0754358	0.0512344	0.0431429	0.0574096	0.0686474
a85	0.0716335	0.0694725	0.0799782	0.125887	0.151512	0.136394	0.111681	0.0715185	0.0502861	0.0376874	0.0442743	0.0496746
a6	0.0513962	0.0488039	0.0553202	0.0840634	0.106917	0.118946	0.139538	0.0861643	0.0679595	0.0578393	0.0832411	0.0998107
a7	0.0477351	0.0415854	0.0438572	0.0575397	0.0665444	0.0724316	0.121392	0.0730226	0.0711257	0.0721831	0.141765	0.190818
a2	0.0415905	0.0345103	0.0336726	0.0433335	0.0512659	0.0650963	0.178717	0.116552	0.100677	0.0683753	0.1025	0.163709
a53	0.0443273	0.039123	0.0328907	0.0467705	0.0438553	0.0502406	0.102991	0.0680301	0.0718847	0.0595955	0.123901	0.31639
a90	0.0532214	0.0389175	0.0341571	0.0422625	0.0482629	0.0547396	0.098893	0.0767526	0.0797021	0.0759715	0.144323	0.252796
a98	0.0342559	0.028796	0.0261703	0.0338934	0.0359619	0.0399765	0.0974519	0.0661124	0.0733085	0.0716059	0.176795	0.315673
a85	0.0251142	0.0222484	0.0204089	0.0273195	0.027455	0.0301385	0.0754235	0.0483725	0.0598841	0.0654848	0.213553	0.384598
a21	0.0447232	0.0382225	0.0336138	0.0360152	0.0362863	0.0391728	0.0790008	0.061758	0.0725431	0.0771979	0.184042	0.297424
a47	0.0676801	0.0485365	0.0409801	0.0388299	0.0408149	0.0433893	0.0842448	0.0698633	0.0890605	0.100468	0.149566	0.226566
a62	0.0240814	0.0197227	0.0177804	0.0226501	0.0240438	0.0275332	0.0685758	0.0556556	0.0804139	0.1131	0.212784	0.333659
a50	0.00931108	0.00838889	0.00815489	0.0114712	0.0122018	0.0153565	0.0401821	0.03883	0.0630839	0.111386	0.278127	0.403507
a0	0.00552571	0.00442092	0.00431592	0.00658397	0.00754251	0.0106694	0.0312104	0.031559	0.0547631	0.0996666	0.282768	0.460974
a75	0.00708763	0.00570488	0.00548345	0.00745422	0.00885247	0.0123943	0.0356238	0.033956	0.0564115	0.0824921	0.23876	0.50578
a25	0.00980248	0.00928041	0.00767646	0.0106424	0.0108543	0.0124311	0.0424459	0.0389394	0.063072	0.0954773	0.234471	0.464907
a90	0.00877187	0.0090399	0.00795765	0.0104684	0.00987354	0.0116631	0.03304	0.0320258	0.0568352	0.0987061	0.29305	0.428569
a98	0.002145	0.0024272	0.00244998	0.00469144	0.00518361	0.00697896	0.0240216	0.0211409	0.040034	0.0696128	0.278685	0.542629
a92	0.0058752	0.0066395	0.00656704	0.0104629	0.0104397	0.0116216	0.032708	0.0251268	0.0411883	0.064945	0.269816	0.51461
a96	0.00875572	0.00891751	0.00828414	0.0121344	0.0115771	0.012808	0.0355029	0.0290045	0.046733	0.0740646	0.255177	0.497041
a62	0.00237282	0.00245736	0.00235002	0.00407943	0.00409688	0.00483505	0.0155161	0.0142012	0.0300136	0.0649652	0.275689	0.579424
a88	0.00289619	0.00285289	0.00278942	0.00414789	0.0043862	0.00554337	0.0171569	0.0172885	0.0348328	0.069989	0.264245	0.573872
a18	0.00284572	0.0027639	0.00262301	0.0034329	0.00355905	0.00458677	0.0166597	0.0173274	0.0352931	0.0618945	0.24187	0.607144
a26	0.00594237	0.00560998	0.00504582	0.00568188	0.00501273	0.00515903	0.0161937	0.0163706	0.0320214	0.050931	0.232057	0.619975
a30	0.0136272	0.0109197	0.00992811	0.00887192	0.00756494	0.00701365	0.0155294	0.0166778	0.0339257	0.0576538	0.241262	0.577026
a87	0.0363269	0.0255173	0.0216988	0.016052	0.0150208	0.0169078	0.0289992	0.0411362	0.0664961	0.10084	0.234264	0.396741
a23	0.0554181	0.0427454	0.0391315	0.0278121	0.028786	0.0333049	0.0535288	0.0636787	0.0783408	0.112078	0.204573	0.260603
a87	0.0163557	0.0111366	0.00993055	0.0102914	0.0118929	0.0169221	0.046466	0.0562788	0.0794201	0.120829	0.236269	0.384208
a23	0.00550203	0.00503083	0.00551202	0.00824966	0.0102728	0.0156248	0.03159	0.0374904	0.0567136	0.0935663	0.243253	0.487194
a87	0.00687157	0.00611628	0.00618479	0.00811333	0.00989969	0.0148934	0.032542	0.0382258	0.0580896	0.101014	0.258543	0.459506
</S>	0.00975672	0.00810913	0.00767435	0.00900562	0.0111524	0.0158973	0.0295768	0.035512	0.0543206	0.092443	0.240642	0.48591
