 	les	légumes	se	sont	répandus	dans	mon	champ	</S>
a84	0.219543	0.190363	0.137882	0.156528	0.181395	0.0518823	0.0331936	0.0167251	0.0124868
a82	0.174989	0.0971674	0.0882049	0.135921	0.17472	0.0973904	0.0920327	0.0675865	0.0719877
a84	0.293781	0.12693	0.103658	0.139933	0.137577	0.0513528	0.0593866	0.0424898	0.0448917
a82	0.307169	0.113672	0.0958498	0.131415	0.127102	0.0636759	0.0692307	0.0511591	0.040726
a30	0.261784	0.108693	0.077743	0.0883647	0.112891	0.0945749	0.111427	0.0833441	0.0611771
a82	0.254969	0.111203	0.0848854	0.0873861	0.0996199	0.0930101	0.117489	0.0892481	0.0621897
a40	0.226919	0.114251	0.0815026	0.0781585	0.0990769	0.102971	0.129193	0.0983404	0.0695881
a47	0.377142	0.213094	0.121708	0.0765721	0.0559253	0.0421338	0.0483817	0.0330822	0.0319606
a6	0.292172	0.185834	0.15005	0.116086	0.0755977	0.0431377	0.050261	0.0405001	0.0463608
a37	0.233522	0.18305	0.170965	0.155796	0.104939	0.03923	0.0397775	0.0321973	0.0405236
a26	0.24928	0.183431	0.19479	0.169366	0.084037	0.0295968	0.0283605	0.0261769	0.0349622
a56	0.190123	0.15015	0.183325	0.165439	0.0804619	0.0447674	0.0440325	0.054571	0.0871299
a12	0.197526	0.175251	0.166431	0.146064	0.0891196	0.0464078	0.0446209	0.0537059	0.0808739
a98	0.187421	0.18106	0.169842	0.151794	0.106853	0.0520082	0.0419865	0.0457538	0.0632812
a47	0.0849543	0.141418	0.200151	0.188342	0.117114	0.0680956	0.0552458	0.0586251	0.0860542
a37	0.0814193	0.152887	0.211371	0.209654	0.111381	0.0491177	0.0411596	0.0520673	0.0909436
a21	0.0615172	0.123375	0.19404	0.217703	0.11985	0.0506809	0.0475798	0.0640418	0.121212
a56	0.0774908	0.119174	0.13606	0.163614	0.136296	0.0854058	0.0816542	0.0906661	0.109638
a98	0.0480795	0.086097	0.1364	0.186572	0.148714	0.0888668	0.0823519	0.092752	0.130167
a47	0.0236868	0.0543591	0.103423	0.159584	0.122965	0.080699	0.0833762	0.12719	0.244716
a37	0.0189103	0.0309544	0.0596802	0.0919975	0.0725663	0.0534176	0.0709246	0.171431	0.430118
a85	0.0199211	0.0306399	0.0545246	0.0744864	0.074607	0.0718956	0.092859	0.177749	0.403318
a0	0.00897243	0.0170158	0.0310583	0.045573	0.0516746	0.070587	0.100409	0.206715	0.467995
a75	0.0112746	0.0160546	0.0271866	0.0388594	0.044119	0.081745	0.126801	0.211073	0.442886
a73	0.00370537	0.00743343	0.0155418	0.0235617	0.0323548	0.0778557	0.127765	0.240247	0.471534
a7	0.0024316	0.00422411	0.00831347	0.0120514	0.0144269	0.0608816	0.121975	0.241555	0.534141
a53	0.00415854	0.00433755	0.00697222	0.00970166	0.00909784	0.0367314	0.0927912	0.245347	0.590862
a94	0.00267578	0.00359934	0.00676114	0.0093266	0.00855954	0.0409386	0.117166	0.261874	0.549099
a90	0.00103327	0.0016009	0.00305624	0.00485144	0.00495918	0.0286282	0.0926987	0.245347	0.617826
a15	0.000708266	0.0013148	0.00284177	0.00511707	0.00680859	0.0334786	0.097048	0.245152	0.607531
a7	0.000203864	0.000398993	0.0011288	0.00251697	0.00348242	0.0219387	0.0650994	0.232065	0.673166
a84	0.000653925	0.00080797	0.00134152	0.00194067	0.00199034	0.0194195	0.0608529	0.220303	0.69269
a87	0.0231974	0.0226719	0.0219478	0.0252149	0.0310738	0.0743342	0.105744	0.223893	0.471922
a97	0.0814334	0.047173	0.0410278	0.0512431	0.0806991	0.121185	0.147041	0.190657	0.239541
a82	0.0983778	0.0473834	0.0471093	0.0598362	0.0735152	0.0952949	0.127133	0.192115	0.259235
a97	0.0651355	0.0323997	0.0385681	0.0583739	0.0948156	0.121352	0.153271	0.191816	0.244267
a87	0.0502423	0.0336439	0.0459638	0.0757286	0.106965	0.11581	0.146995	0.185177	0.239474
a10	0.0352964	0.0302736	0.0437056	0.0720203	0.0971588	0.118781	0.151349	0.201167	0.250248
a3	0.042429	0.0335873	0.0467276	0.0713931	0.085074	0.104601	0.143413	0.191965	0.280811
a87	0.0549575	0.0438753	0.0666539	0.109199	0.101793	0.102662	0.135066	0.157884	0.22791
</S>	0.0482219	0.0441881	0.0671718	0.106186	0.100965	0.104846	0.131797	0.166654	0.22997
