 	dans	cette	affaire	mbongo	a	eu	raison	</S>
a66	0.269083	0.176053	0.123434	0.123108	0.120492	0.109535	0.0558513	0.0224444
a87	0.253627	0.173417	0.170321	0.158175	0.118676	0.0830759	0.0272317	0.0154762
a23	0.34268	0.292543	0.199017	0.0901409	0.0352181	0.0162679	0.0112241	0.012909
a87	0.268422	0.316471	0.223757	0.0852054	0.0440331	0.0275671	0.0189305	0.015614
a23	0.269971	0.322027	0.228107	0.0834537	0.0436149	0.0240398	0.0158107	0.0129758
a99	0.301526	0.287574	0.184361	0.0901934	0.0570456	0.0316589	0.024635	0.0230063
a53	0.290865	0.256799	0.148014	0.123234	0.0847397	0.0399426	0.0289008	0.0275047
a96	0.177561	0.211575	0.191927	0.174051	0.116464	0.0581084	0.0414028	0.028911
a90	0.0858066	0.122082	0.173697	0.151909	0.152166	0.109303	0.126364	0.0786724
a69	0.0732568	0.0998272	0.146113	0.137125	0.173833	0.131088	0.140585	0.0981715
a20	0.0494664	0.0673977	0.0887493	0.099052	0.166669	0.171742	0.18338	0.173544
a47	0.0573724	0.0734393	0.0900056	0.108072	0.180463	0.174698	0.147328	0.168621
a6	0.0498695	0.0648226	0.0772934	0.0985188	0.180127	0.184204	0.150891	0.194274
a0	0.0461825	0.0563185	0.06894	0.0987947	0.199796	0.222271	0.147646	0.160051
a56	0.0527802	0.0627197	0.0688272	0.0885749	0.171813	0.199884	0.13908	0.216322
a62	0.0354343	0.0474685	0.0593978	0.0715827	0.149153	0.220457	0.201431	0.215075
a31	0.0253511	0.034905	0.0419909	0.0478973	0.103263	0.206506	0.230449	0.309637
a0	0.0200602	0.0277301	0.0342157	0.0371823	0.0809678	0.177892	0.235631	0.386322
a31	0.0168373	0.023812	0.0269245	0.025104	0.0471234	0.124233	0.240142	0.495824
a88	0.0101231	0.0116552	0.0115816	0.0107466	0.0223207	0.0780906	0.191889	0.663593
a90	0.00547306	0.00657459	0.00629807	0.00590518	0.0103638	0.0355877	0.160262	0.769535
a44	0.00392321	0.00427643	0.00389275	0.00400554	0.00859497	0.0296461	0.108872	0.836789
a4	0.00209931	0.00238956	0.00217847	0.00221372	0.00481866	0.0151138	0.0775154	0.893671
a94	0.00169056	0.00178952	0.00141331	0.00148851	0.00355397	0.0120931	0.0758768	0.902094
a71	0.0051426	0.00521643	0.00437926	0.00515905	0.0124554	0.0318021	0.108307	0.827538
a9	0.160958	0.10992	0.0681344	0.0683289	0.0775394	0.107949	0.111784	0.295385
a87	0.33124	0.229991	0.125269	0.0942322	0.0597355	0.0526043	0.0461679	0.0607594
a23	0.304888	0.249163	0.164951	0.101511	0.0526866	0.0370457	0.0328935	0.0568608
a10	0.167235	0.145991	0.127453	0.0572794	0.0340731	0.0443166	0.0795977	0.344053
</S>	0.0460984	0.038337	0.038399	0.0212011	0.0272943	0.0553982	0.14466	0.628612
