 	les	bagages	étaient	lourds	</S>
a23	0.25689	0.242613	0.184307	0.163732	0.152458
a87	0.386064	0.306229	0.133913	0.0853184	0.0884755
a10	0.281306	0.331883	0.169068	0.106016	0.111726
a87	0.197013	0.223302	0.17809	0.176755	0.224839
a23	0.169105	0.204778	0.197549	0.193861	0.234707
a30	0.279336	0.299438	0.186691	0.112424	0.122111
a93	0.278577	0.366673	0.131516	0.0826132	0.14062
a90	0.486355	0.401091	0.0773617	0.0200258	0.0151661
a56	0.351936	0.366719	0.138506	0.0794904	0.0633492
a41	0.390172	0.365301	0.115131	0.0637465	0.06565
a84	0.332994	0.366234	0.140612	0.0882073	0.0719517
a82	0.288136	0.383463	0.154472	0.0880452	0.0858839
a87	0.169768	0.3484	0.169077	0.140705	0.172051
a23	0.306614	0.381581	0.174159	0.0726719	0.0649734
a13	0.242704	0.349871	0.215956	0.0988011	0.0926679
a54	0.219029	0.366395	0.207433	0.101854	0.105289
a73	0.272456	0.319083	0.175615	0.116445	0.1164
a44	0.27812	0.329348	0.190094	0.106706	0.0957316
a75	0.184663	0.305215	0.239269	0.145934	0.124918
a94	0.137081	0.233367	0.228723	0.183846	0.216983
a13	0.0924116	0.155299	0.228554	0.231718	0.292017
a83	0.0923784	0.154073	0.233195	0.240903	0.279451
a9	0.0750492	0.113533	0.193785	0.250823	0.366809
a10	0.0787531	0.112797	0.200636	0.257806	0.350007
a87	0.0782529	0.104678	0.149336	0.268185	0.399547
a40	0.0423405	0.0456142	0.134852	0.261137	0.516056
a73	0.0983995	0.0717608	0.0713283	0.15758	0.600931
a58	0.0426033	0.0621211	0.125383	0.215686	0.554207
a54	0.0244081	0.0462738	0.112404	0.247032	0.569882
a73	0.0624088	0.086218	0.117942	0.236492	0.496938
a44	0.0247577	0.0410588	0.100021	0.250478	0.583684
a90	0.0147938	0.0263965	0.0609601	0.225241	0.672608
a4	0.0370841	0.0517773	0.077228	0.236822	0.597088
a57	0.0306453	0.0381096	0.056273	0.18375	0.691222
a9	0.0121841	0.0144066	0.0374204	0.168637	0.767352
a30	0.00901916	0.00938634	0.0363222	0.196792	0.74848
a4	0.0107452	0.0107809	0.0327029	0.166655	0.779116
a57	0.0217044	0.0200033	0.0430918	0.166175	0.749025
a82	0.00830756	0.00837073	0.0320789	0.171188	0.780054
a57	0.00903275	0.00721262	0.0247442	0.144571	0.814439
a82	0.0177179	0.0118646	0.0360035	0.168894	0.76552
a87	0.0307554	0.0188696	0.0466593	0.178324	0.725391
</S>	0.0478939	0.0347092	0.0847002	0.226615	0.606082
