 	son	ami	lui	a	donné	un	vêtement	</S>
a79	0.407014	0.179798	0.0908804	0.0696455	0.0634336	0.0626584	0.0628588	0.0637113
a90	0.299068	0.164312	0.106388	0.0881257	0.0862014	0.0734804	0.0865573	0.0958673
a13	0.43237	0.192434	0.0924586	0.0673266	0.0536663	0.0467277	0.0559564	0.0590605
a26	0.386108	0.261135	0.141922	0.0915592	0.0474632	0.0268073	0.0245742	0.0204317
a41	0.324062	0.275323	0.159911	0.0895431	0.0441749	0.0287852	0.0356711	0.0425294
a14	0.274855	0.254135	0.18519	0.121733	0.0579492	0.0333919	0.0350408	0.0377059
a73	0.267159	0.256198	0.21659	0.131597	0.0545755	0.0264193	0.0239082	0.0235531
a20	0.270719	0.239116	0.209085	0.129632	0.0637553	0.0329918	0.028322	0.0263801
a30	0.255711	0.224751	0.195595	0.126057	0.0712968	0.0455884	0.0417018	0.0392985
a35	0.240974	0.221993	0.198289	0.135765	0.0809384	0.0484961	0.0383188	0.035225
a24	0.185487	0.170318	0.171547	0.141838	0.107039	0.0753743	0.0712184	0.0771788
a25	0.124139	0.117374	0.124195	0.127709	0.136879	0.131837	0.123809	0.114058
a38	0.0426781	0.0475412	0.0603797	0.0842021	0.124908	0.158939	0.225938	0.255414
a14	0.05595	0.0633289	0.0819003	0.100428	0.122661	0.139856	0.20357	0.232306
a76	0.0798621	0.0771572	0.0940562	0.111621	0.139201	0.150503	0.167719	0.17988
a90	0.0536885	0.0384752	0.0387224	0.0534137	0.0999348	0.159744	0.229174	0.326848
a82	0.0443063	0.0298294	0.0264614	0.0346338	0.0710883	0.13376	0.253806	0.406115
a40	0.0128535	0.0110018	0.0122021	0.0192388	0.0483392	0.115793	0.261241	0.51933
a54	0.00803981	0.00497615	0.00510775	0.00873567	0.0273829	0.0847684	0.270442	0.590547
a14	0.0101751	0.00755601	0.0081973	0.0135492	0.0346829	0.0914675	0.25646	0.577912
a35	0.0143522	0.00903096	0.00844148	0.0135705	0.0330563	0.0890321	0.245606	0.586911
a66	0.0135509	0.00943694	0.00940885	0.0160555	0.039421	0.103866	0.248865	0.559396
a54	0.00615862	0.00381828	0.0032913	0.00580352	0.0195232	0.0697047	0.233905	0.657795
a73	0.0109114	0.00811808	0.00725947	0.0119964	0.0322985	0.0858601	0.248092	0.595464
a57	0.00847842	0.00537401	0.00425784	0.00742168	0.0238088	0.0710643	0.247383	0.632212
a87	0.0222724	0.0151597	0.0132287	0.0188343	0.0394224	0.0816616	0.224644	0.584777
a23	0.043813	0.0427728	0.0456287	0.0581232	0.0962229	0.151906	0.2316	0.329933
a87	0.0513548	0.0570447	0.066316	0.0848689	0.112092	0.15409	0.211578	0.262655
</S>	0.0274753	0.028129	0.0320776	0.0507425	0.100867	0.16155	0.25486	0.344298
