 	cette	femme	est	avide	quand	elle	voit	quelqu'	un	avec	de	la	nourriture	elle	doit	en	manger	</S>
a66	0.0956006	0.113125	0.107882	0.119159	0.116571	0.125069	0.115523	0.0753226	0.0377126	0.0295337	0.018287	0.012727	0.0104342	0.0063377	0.00493927	0.00429284	0.00389437	0.00358956
a87	0.145065	0.076648	0.0624213	0.0575898	0.0581689	0.0632455	0.0484605	0.029427	0.0190368	0.0191763	0.0166028	0.0193462	0.0280156	0.0317206	0.0505952	0.0722127	0.0963216	0.105946
a23	0.126287	0.0880545	0.0949762	0.0864011	0.0858947	0.087506	0.0657863	0.0488978	0.0300978	0.0286704	0.0260656	0.0251365	0.0313425	0.0256797	0.0240156	0.0279215	0.0389642	0.0583023
a97	0.112993	0.100955	0.127799	0.128799	0.116602	0.0906184	0.0791991	0.0446898	0.027397	0.0253599	0.0177479	0.0168759	0.0178846	0.0167938	0.0145692	0.0149814	0.0190665	0.0276683
a99	0.105247	0.116154	0.138059	0.13193	0.0987879	0.0897736	0.0787174	0.0449543	0.0278554	0.0279557	0.0221124	0.0203127	0.0191391	0.0178973	0.015227	0.0143201	0.0145643	0.0169932
a97	0.146307	0.161308	0.142016	0.123286	0.0656653	0.0871878	0.0643021	0.0347066	0.0200286	0.0200774	0.0165534	0.0173952	0.0162304	0.0171533	0.0169472	0.0168406	0.0163847	0.0176108
a30	0.126075	0.136224	0.122554	0.121699	0.0745482	0.101765	0.0820648	0.0498643	0.0242375	0.0223549	0.0164668	0.0174674	0.0166292	0.0182281	0.0181181	0.018037	0.0166816	0.0169859
a93	0.135547	0.14335	0.138572	0.1291	0.0823132	0.105803	0.0857382	0.0494341	0.0203356	0.0188043	0.012623	0.0139215	0.0124899	0.0119514	0.0108018	0.0106767	0.00932051	0.00921799
a34	0.216869	0.208381	0.147977	0.0929038	0.0646867	0.0840577	0.0726878	0.0254515	0.0122487	0.00927907	0.00682937	0.00705411	0.00776955	0.00688751	0.00801806	0.00897848	0.00937019	0.0105506
a56	0.199358	0.196387	0.13103	0.0906762	0.0765617	0.092746	0.0862397	0.0317871	0.0149343	0.0104424	0.00813396	0.00762025	0.00857314	0.00756342	0.00843725	0.00907006	0.00973754	0.0107017
a93	0.172369	0.181566	0.128061	0.101086	0.0897283	0.0954561	0.0904185	0.0451974	0.0187608	0.0118584	0.00938127	0.00786016	0.00781244	0.0067393	0.00741452	0.00772857	0.00860528	0.00995632
