 	il	est	attentif	à	son	travail	</S>
a85	0.206277	0.117398	0.0844726	0.0914277	0.0937975	0.164931	0.241696
a87	0.292774	0.185141	0.0971576	0.080614	0.0759258	0.103175	0.165212
a23	0.259452	0.198754	0.116564	0.101956	0.0830553	0.0987928	0.141426
a79	0.130884	0.119206	0.0822315	0.0812705	0.088433	0.158541	0.339433
a20	0.418684	0.258003	0.0905801	0.0540405	0.0384774	0.0518305	0.088385
a94	0.463428	0.259442	0.106525	0.0744651	0.0426977	0.028453	0.0249893
a30	0.378986	0.286584	0.166667	0.0891667	0.0385437	0.0221094	0.0179428
a36	0.3062	0.306161	0.204277	0.0983712	0.0414527	0.0239857	0.0195525
a2	0.269169	0.288035	0.199997	0.116916	0.0601953	0.0364733	0.0292135
a75	0.136916	0.198358	0.228069	0.18396	0.119705	0.0709883	0.0620028
a41	0.143158	0.208715	0.216511	0.178234	0.129577	0.0726359	0.0511685
a94	0.211182	0.217763	0.202833	0.149002	0.102508	0.06986	0.0468524
a76	0.188031	0.223997	0.206842	0.166966	0.0986543	0.0627326	0.0527777
a90	0.12087	0.143271	0.174844	0.153627	0.145357	0.144194	0.117838
a4	0.0995867	0.123479	0.169629	0.176538	0.157045	0.14856	0.125162
a57	0.0953713	0.105963	0.140842	0.172845	0.163553	0.156993	0.164433
a38	0.0824814	0.0946125	0.0988767	0.150391	0.183855	0.194578	0.195206
a41	0.0890819	0.0960912	0.100452	0.152345	0.179754	0.184416	0.19786
a94	0.0413196	0.048061	0.0732364	0.120808	0.175883	0.242839	0.297853
a98	0.030824	0.0354513	0.0512222	0.113868	0.203968	0.269887	0.294779
a14	0.0174135	0.0233423	0.0409492	0.0819044	0.160977	0.280006	0.395408
a37	0.0196619	0.0278821	0.0572033	0.114612	0.19379	0.26582	0.32103
a94	0.0105145	0.015087	0.0272127	0.0650678	0.169439	0.310601	0.402078
a24	0.013183	0.0191236	0.0309958	0.0711963	0.166073	0.296292	0.403136
a31	0.007471	0.0103103	0.0177256	0.0481275	0.134656	0.311773	0.469937
a32	0.00832887	0.0119298	0.0223357	0.0542168	0.148635	0.318414	0.436139
a75	0.00732316	0.00938926	0.016183	0.0425405	0.119773	0.299706	0.505085
a41	0.00714744	0.0104702	0.0176343	0.0435001	0.116099	0.285485	0.519664
a98	0.0053552	0.00894565	0.0191773	0.0435704	0.108111	0.270634	0.544206
a73	0.00568363	0.00882799	0.0191613	0.0392641	0.0925602	0.259087	0.575416
a94	0.00633397	0.0100183	0.0168558	0.038145	0.0907577	0.249219	0.58867
a98	0.00382574	0.00602736	0.0103466	0.0311982	0.0848331	0.239214	0.624555
a73	0.00604409	0.00969468	0.0166943	0.0377804	0.0868458	0.236957	0.605984
a76	0.00602808	0.00862677	0.0126328	0.0260719	0.0611891	0.207894	0.677557
a20	0.00854259	0.013516	0.0228505	0.0474992	0.106166	0.266429	0.534996
a58	0.00367854	0.00539564	0.00911717	0.0223596	0.0616832	0.223769	0.673997
a84	0.00189096	0.00311432	0.00414691	0.0124209	0.0426183	0.205096	0.730713
a87	0.00191659	0.00241724	0.00332484	0.012411	0.0493603	0.217605	0.712965
</S>	0.00135597	0.00125979	0.00129181	0.00813637	0.0442124	0.2371	0.706644
