 	le	voyageur	surveille	l'	heure	</S>
a66	0.249357	0.269753	0.287141	0.132968	0.0427318	0.0180494
a87	0.294427	0.207503	0.273396	0.156384	0.050385	0.0179044
a23	0.415383	0.296715	0.18975	0.0499084	0.0294764	0.018767
a30	0.456718	0.283812	0.174137	0.039298	0.0252368	0.0207983
a93	0.447542	0.234484	0.187058	0.0445902	0.0430508	0.0432746
a4	0.451101	0.277201	0.196042	0.045299	0.0202259	0.0101312
a93	0.394378	0.284352	0.205933	0.0596167	0.0301019	0.0256188
a34	0.343775	0.267492	0.227113	0.075286	0.0455103	0.0408232
a21	0.312	0.251087	0.252966	0.0872967	0.0499712	0.0466788
a85	0.190946	0.208807	0.358888	0.134001	0.0568158	0.0505421
a6	0.136636	0.200785	0.356451	0.181861	0.0691144	0.0551536
a36	0.146588	0.192403	0.318049	0.195013	0.0781269	0.0698207
a21	0.149675	0.224469	0.313154	0.178895	0.060724	0.0730835
a12	0.13745	0.249226	0.27727	0.187949	0.0713179	0.0767865
a18	0.0642298	0.188116	0.256704	0.236868	0.108069	0.146014
a31	0.030651	0.0880893	0.112741	0.17303	0.242523	0.352965
a0	0.0282574	0.0694332	0.116709	0.167339	0.250126	0.368135
a62	0.0275744	0.0478587	0.0796317	0.118287	0.276352	0.450296
a88	0.0145776	0.0254807	0.0473245	0.0867339	0.291855	0.534028
a75	0.0124537	0.0228012	0.03382	0.0741568	0.289299	0.567469
a85	0.0027757	0.00644478	0.0136683	0.0410153	0.217959	0.718137
a92	0.00160214	0.00339631	0.00552258	0.0248927	0.155921	0.808666
a37	0.000946007	0.00220886	0.00374967	0.0151034	0.117644	0.860348
a26	0.00309045	0.00463201	0.00671817	0.0209027	0.17011	0.794547
a57	0.032536	0.0433155	0.0492369	0.0945937	0.193537	0.586781
a87	0.0921913	0.108591	0.104167	0.121764	0.18733	0.385958
a23	0.126163	0.149828	0.15556	0.21368	0.202744	0.152025
a3	0.0607146	0.0862696	0.0609274	0.111165	0.224907	0.456016
a99	0.0417806	0.0643241	0.0589318	0.0951108	0.170452	0.569401
a97	0.0280275	0.0479328	0.0602293	0.107094	0.209476	0.54724
</S>	0.053375	0.0988248	0.0763347	0.112364	0.162645	0.496457
