 	cet	oiseau	picore	les	dattes	</S>
a66	0.388754	0.324354	0.186288	0.062584	0.0260825	0.0119371
a87	0.54555	0.294289	0.100971	0.0337333	0.0133941	0.0120626
a23	0.526483	0.339367	0.0924774	0.0187111	0.0106297	0.0123326
a83	0.443277	0.294636	0.10187	0.0444691	0.0449163	0.0708325
a37	0.265037	0.265406	0.174037	0.0844098	0.0834712	0.127639
a0	0.37293	0.344773	0.178686	0.047496	0.0249132	0.0312014
a93	0.296779	0.358569	0.214841	0.0821241	0.0261371	0.0215505
a70	0.256161	0.32605	0.255545	0.10193	0.0344225	0.025892
a93	0.185454	0.291921	0.290642	0.13614	0.0579115	0.0379317
a90	0.204847	0.300321	0.273877	0.126244	0.0549462	0.0397653
a92	0.19679	0.264606	0.243032	0.147535	0.0830545	0.0649818
a85	0.13383	0.190228	0.212204	0.175004	0.151254	0.13748
a6	0.0690776	0.0992259	0.155814	0.189809	0.219007	0.267066
a36	0.0849242	0.109018	0.210159	0.237365	0.197714	0.160819
a85	0.0193105	0.0281566	0.115758	0.252125	0.304618	0.280032
a6	0.0107828	0.0164109	0.0989465	0.255742	0.313149	0.304969
a36	0.00929646	0.0136066	0.0775724	0.216828	0.330568	0.352129
a6	0.00585577	0.00563527	0.0160492	0.100221	0.309954	0.562285
a37	0.00646462	0.00604994	0.0164167	0.108343	0.337407	0.525319
a26	0.00349089	0.00280523	0.00781061	0.062085	0.268291	0.655518
a38	0.0262756	0.017093	0.0159625	0.076416	0.266314	0.597939
a9	0.0222595	0.0119706	0.0121656	0.0542874	0.243706	0.655611
a87	0.139884	0.0742378	0.06497	0.138802	0.20593	0.376177
a23	0.384737	0.235518	0.162375	0.104396	0.0578104	0.0551628
a87	0.154395	0.125273	0.0850063	0.199027	0.202278	0.234022
</S>	0.0534813	0.0378551	0.032049	0.120118	0.249868	0.506629
