 	prends	le	cornet	pour	transvaser	le	vin	</S>
a66	0.289597	0.188437	0.124872	0.207583	0.135837	0.02986	0.01284	0.0109745
a87	0.413157	0.213767	0.0886391	0.117703	0.103354	0.0279412	0.0169966	0.0184433
a23	0.491731	0.267463	0.105767	0.0485531	0.0311059	0.0178387	0.0158078	0.0217338
a30	0.430284	0.255603	0.191216	0.0579373	0.0212501	0.0104101	0.0125863	0.0207129
a44	0.28348	0.29139	0.255638	0.0805696	0.0303785	0.0155286	0.0171634	0.0258514
a75	0.346628	0.291957	0.196375	0.0664539	0.0353874	0.0180217	0.0210266	0.0241499
a5	0.225153	0.253392	0.227713	0.121598	0.0877534	0.0301175	0.0286472	0.0256262
a18	0.147976	0.182369	0.279173	0.159802	0.131641	0.0380984	0.0332722	0.0276688
a21	0.155683	0.192394	0.26011	0.127358	0.110797	0.0459441	0.0518011	0.0559133
a12	0.123206	0.180257	0.27439	0.203285	0.138009	0.032131	0.0252561	0.0234655
a62	0.0728278	0.152359	0.317264	0.243916	0.144682	0.0283535	0.0204829	0.0201154
a88	0.0525644	0.129597	0.312127	0.246516	0.175494	0.0364152	0.0230821	0.0242033
a71	0.0424643	0.0953058	0.231293	0.234686	0.217168	0.0759525	0.0489545	0.0541764
a9	0.0478642	0.0967888	0.185471	0.206577	0.226314	0.11031	0.0700889	0.0565872
a87	0.0707639	0.0777901	0.119278	0.145699	0.206085	0.142432	0.121894	0.116058
a23	0.165123	0.116654	0.107002	0.13528	0.178223	0.107504	0.0865471	0.103666
a40	0.092209	0.0743356	0.0922514	0.141078	0.157925	0.119742	0.118677	0.203782
a7	0.0169434	0.0240729	0.0566596	0.120462	0.179467	0.177022	0.229516	0.195857
a79	0.0146995	0.0231239	0.0491954	0.0930148	0.197859	0.246864	0.216407	0.158836
a7	0.0204664	0.0302811	0.0570801	0.0963839	0.157989	0.210991	0.229924	0.196884
a54	0.0203221	0.0337573	0.0672761	0.0936958	0.121019	0.192644	0.236853	0.234432
a36	0.0153188	0.0242269	0.0544061	0.084589	0.104394	0.176067	0.249597	0.291401
a0	0.0101803	0.0192363	0.0523204	0.0889757	0.100061	0.194495	0.267083	0.267648
a75	0.0049439	0.00977753	0.0229803	0.0536069	0.118975	0.272211	0.297461	0.220044
a47	0.00146366	0.00263646	0.00637165	0.0166118	0.039531	0.167921	0.32584	0.439624
a92	0.000754787	0.00132428	0.00385181	0.0101477	0.0226335	0.142797	0.352279	0.466212
a12	0.0021944	0.00379974	0.00954464	0.0218498	0.0379082	0.157455	0.335946	0.431302
a43	0.00298193	0.00498331	0.0122651	0.0292689	0.0553858	0.162011	0.314055	0.419049
a75	0.00241162	0.00473834	0.00897968	0.0141666	0.0409695	0.155752	0.328323	0.444659
a92	0.000506138	0.000799094	0.00198488	0.00451574	0.0103152	0.0679951	0.265173	0.648711
a36	0.000475963	0.00069627	0.0014843	0.00367701	0.0086067	0.064264	0.258394	0.662402
a18	0.000723372	0.000880846	0.00135671	0.00188311	0.0041153	0.0359361	0.202618	0.752487
a43	0.00976372	0.00997756	0.00786532	0.00761796	0.0194449	0.0880225	0.233006	0.624302
a56	0.0114423	0.00999805	0.00805328	0.0106769	0.0281562	0.0955205	0.234856	0.601297
a12	0.000592206	0.000804844	0.00135796	0.00272263	0.00861969	0.0605391	0.23656	0.688804
a96	0.000424353	0.00064882	0.0011137	0.0021941	0.00807974	0.0630885	0.247189	0.677262
a18	0.000579175	0.000806503	0.00138038	0.00277371	0.00963943	0.0669859	0.243868	0.673967
a25	0.0122938	0.0113899	0.0104762	0.0121857	0.0271663	0.0946413	0.239653	0.592193
a3	0.0261888	0.0176746	0.0129948	0.0203537	0.0439674	0.127235	0.261687	0.489899
a87	0.113283	0.0508032	0.0321936	0.0357674	0.0492015	0.118652	0.227056	0.373043
a23	0.202691	0.113769	0.0607358	0.0743431	0.071569	0.112651	0.16247	0.201771
a99	0.058077	0.0303008	0.0175615	0.0184584	0.0279777	0.108757	0.265479	0.473388
a87	0.0152179	0.00952615	0.01252	0.0211034	0.0295512	0.0988564	0.262889	0.550335
</S>	0.00964877	0.00530478	0.00576505	0.00811774	0.0132932	0.0660622	0.249665	0.642143
