 	l'	huile	de	palme	que	tu	as	laissée	au	soleil	s'	est	fondue	</S>
a85	0.116212	0.12478	0.113055	0.125113	0.118829	0.121659	0.11166	0.0714229	0.038018	0.0244542	0.0150406	0.0100822	0.00572288	0.00395095
a66	0.208243	0.189644	0.101183	0.0868255	0.0698409	0.0458326	0.0475508	0.0338187	0.0298688	0.0370299	0.037624	0.0437968	0.0400767	0.0286649
a87	0.185705	0.132536	0.0846677	0.071378	0.0757351	0.0465775	0.0486768	0.0349832	0.0305686	0.0438904	0.0567141	0.0798603	0.0637585	0.0449491
a23	0.248364	0.176061	0.11261	0.101761	0.0873993	0.0594803	0.0465633	0.0301328	0.018358	0.022248	0.0243885	0.0283679	0.0239001	0.0203663
a40	0.210181	0.148382	0.0881345	0.0894112	0.0713854	0.0587319	0.0495703	0.0406924	0.0326938	0.0406075	0.0461673	0.0512734	0.0386757	0.0340933
a79	0.107461	0.0903689	0.0785829	0.0937126	0.100797	0.0762915	0.0866802	0.0687747	0.0525651	0.0559432	0.0615323	0.0579718	0.0388598	0.0304592
a44	0.187021	0.179902	0.140899	0.125182	0.104102	0.0702522	0.0547116	0.0416833	0.0219093	0.0180856	0.0186996	0.0178784	0.0115102	0.00816348
a90	0.109582	0.114761	0.129797	0.145752	0.147534	0.108793	0.0661703	0.048801	0.0287614	0.0240215	0.0234517	0.0247038	0.0174225	0.0104474
a98	0.0495336	0.0643421	0.0964632	0.131426	0.155233	0.126736	0.100854	0.0756263	0.0546532	0.0402299	0.0355798	0.0299837	0.0224202	0.0169185
a85	0.0364533	0.0466834	0.0815792	0.120178	0.163125	0.124721	0.0954058	0.0764648	0.0631354	0.0500167	0.0400344	0.0392708	0.0377556	0.0251764
a6	0.0402709	0.0439027	0.0693545	0.0997316	0.151214	0.115802	0.0941304	0.0751247	0.0735828	0.0588656	0.0443718	0.0453613	0.0509588	0.0373295
a37	0.0606382	0.0612849	0.0769512	0.098534	0.135447	0.111964	0.0983035	0.0743363	0.077734	0.0597617	0.0439069	0.0383266	0.0349621	0.0278497
