 	ma	femme	a	un	foulard	rouge	celui	de	ta	femme	est	noir	</S>
a66	0.224431	0.146782	0.118715	0.0948294	0.1061	0.0964437	0.0640098	0.0493346	0.0395318	0.0225143	0.0164583	0.0116088	0.00924089
a87	0.284363	0.176118	0.120063	0.0847322	0.0718707	0.0521435	0.0450473	0.0365358	0.0302754	0.024813	0.0256894	0.023253	0.0250953
a23	0.263837	0.195924	0.172243	0.112167	0.0925103	0.0660606	0.0360387	0.018862	0.0100358	0.00679145	0.00703436	0.00770246	0.0107926
a38	0.282262	0.191249	0.14169	0.0842711	0.0695481	0.0485246	0.0415434	0.0314064	0.0207533	0.0183116	0.0195917	0.021961	0.0288885
a54	0.183531	0.16204	0.123873	0.0796444	0.0501531	0.0438352	0.0463449	0.0411965	0.0302418	0.0424629	0.0531712	0.066066	0.0774391
a0	0.187855	0.194178	0.146169	0.110308	0.0650738	0.0646218	0.060047	0.0427537	0.0274859	0.0251776	0.0254942	0.0270094	0.0238275
a75	0.147771	0.195987	0.140604	0.110465	0.0765954	0.0600614	0.0525087	0.0386026	0.0271873	0.02979	0.0329192	0.0420514	0.0454574
a6	0.1442	0.184646	0.136123	0.116336	0.095844	0.0784129	0.0630742	0.0436907	0.0308497	0.0250483	0.0236593	0.029154	0.0289616
a37	0.0864151	0.140846	0.130055	0.129338	0.116256	0.108079	0.0839896	0.0573632	0.0362019	0.0267464	0.023808	0.0286721	0.0322294
a85	0.100094	0.150701	0.146543	0.142684	0.140776	0.0993581	0.0742378	0.0491615	0.0275804	0.018378	0.0153523	0.016493	0.0186412
a5	0.0512165	0.0773014	0.0910022	0.124788	0.146209	0.116809	0.099355	0.0764403	0.0536748	0.0391358	0.034043	0.0414282	0.0485975
a12	0.0714537	0.0880128	0.106574	0.136123	0.162002	0.122025	0.101355	0.0773529	0.0467131	0.0264378	0.0210115	0.0197414	0.0211975
a47	0.0302921	0.0310922	0.0437069	0.0804801	0.137829	0.140443	0.142759	0.130387	0.0949135	0.056578	0.0406187	0.0344269	0.0364737
a88	0.0161759	0.0198737	0.0321538	0.0829695	0.155806	0.153775	0.166164	0.147611	0.0919121	0.047131	0.0322457	0.026409	0.0277732
a75	0.00993358	0.011199	0.0164665	0.0449383	0.103667	0.141139	0.178792	0.174507	0.11813	0.0652379	0.0476028	0.0414471	0.0469389
a85	0.00423569	0.00447704	0.00608897	0.0165366	0.0384804	0.0763391	0.113238	0.139402	0.141877	0.131082	0.117945	0.104402	0.105897
a79	0.00394982	0.00440934	0.00582011	0.0137281	0.0296958	0.055881	0.0890091	0.118505	0.133535	0.135588	0.13994	0.132662	0.137277
