 	ngala	était	l'	enfant	préféré	de	leur	père	</S>
a66	0.136433	0.176745	0.249721	0.27701	0.126844	0.0197701	0.00702951	0.00350782	0.00294061
a87	0.370758	0.212634	0.183528	0.126527	0.0383404	0.0183683	0.0145989	0.0144879	0.0207576
a83	0.404346	0.203509	0.159554	0.128595	0.0359429	0.0169699	0.0118394	0.0161098	0.023133
a70	0.323545	0.164829	0.169928	0.155415	0.0751142	0.0335542	0.023577	0.0231312	0.0309056
a75	0.324797	0.246488	0.205712	0.124305	0.0508683	0.0146948	0.0124902	0.0105098	0.0101351
a85	0.389888	0.222993	0.163598	0.107201	0.0626491	0.0166371	0.0136689	0.0126425	0.0107225
a6	0.267068	0.165137	0.127301	0.0950406	0.124136	0.0548495	0.0534155	0.0597694	0.0532833
a37	0.198014	0.172231	0.150093	0.123654	0.135968	0.0531393	0.0538481	0.0598796	0.0531722
a92	0.175994	0.164023	0.146241	0.135988	0.154418	0.057606	0.049142	0.0585129	0.0580747
a98	0.179251	0.167456	0.140827	0.117607	0.133459	0.0737279	0.0585341	0.0649866	0.0641509
a92	0.109805	0.119515	0.0975074	0.0754011	0.122022	0.133457	0.119127	0.106758	0.116408
a6	0.178305	0.18689	0.154184	0.119476	0.12841	0.0668552	0.0495484	0.0547916	0.0615394
a7	0.087041	0.126935	0.121827	0.102376	0.125898	0.110587	0.0998623	0.103795	0.121678
a56	0.0660313	0.120307	0.158544	0.16802	0.184633	0.0768874	0.0513582	0.0715831	0.102636
a34	0.0794699	0.127734	0.140303	0.120787	0.182195	0.10135	0.0747226	0.0786592	0.0947801
a21	0.0490284	0.083858	0.10128	0.0912775	0.180206	0.131825	0.105031	0.114385	0.143109
a5	0.0327971	0.0496068	0.0599737	0.059526	0.13141	0.136291	0.141384	0.177138	0.211873
a37	0.0132406	0.0213157	0.0256006	0.0251766	0.107048	0.160114	0.171792	0.215308	0.260405
a75	0.00991871	0.017286	0.0220147	0.0284841	0.103391	0.168512	0.158406	0.199702	0.292286
a47	0.00284107	0.00360012	0.00410201	0.00486238	0.02668	0.106517	0.17796	0.294828	0.378609
a98	0.00223505	0.00304808	0.00323844	0.00420969	0.0159046	0.0688902	0.149755	0.2983	0.454419
a47	0.00166686	0.00222087	0.00250114	0.00347254	0.0151162	0.070383	0.164114	0.316202	0.424323
a36	0.00216918	0.00234044	0.0023353	0.00303734	0.0132058	0.0631662	0.170823	0.315701	0.427222
a2	0.00230481	0.00190312	0.00163021	0.00207382	0.00571947	0.0393461	0.109153	0.289206	0.548663
a57	0.00937058	0.00712468	0.0062659	0.00766111	0.00863177	0.040253	0.0913679	0.282209	0.547116
a87	0.0325573	0.0213072	0.0194696	0.0238345	0.0243252	0.0787722	0.12122	0.26515	0.413364
a23	0.182823	0.0995714	0.107268	0.133039	0.0879766	0.120732	0.0855323	0.083854	0.099203
a87	0.143075	0.0532263	0.0384173	0.0285097	0.0167745	0.067355	0.139277	0.212218	0.301147
</S>	0.0291187	0.012626	0.0115928	0.0133214	0.00881382	0.0273148	0.0855808	0.284873	0.526758
