 	le	tourbillon	a	fait	chavirer	la	pirogue	</S>
a15	0.352058	0.211963	0.137041	0.098053	0.0596043	0.0448672	0.0544966	0.0419173
a66	0.245805	0.197317	0.192523	0.182341	0.0986605	0.0399216	0.0248433	0.0185883
a87	0.500722	0.174931	0.0883363	0.0691881	0.0590252	0.0365763	0.0338495	0.0373721
a23	0.538816	0.23407	0.0883583	0.0466462	0.0292385	0.0221696	0.0199605	0.0207412
a99	0.470646	0.262101	0.0968442	0.0419167	0.0254754	0.025255	0.0339205	0.0438412
a62	0.380467	0.247344	0.119845	0.065223	0.0488851	0.0278008	0.0456302	0.0648036
a21	0.338899	0.284573	0.171328	0.0950991	0.0541415	0.0272249	0.0169308	0.0118031
a85	0.238604	0.255788	0.194856	0.131236	0.0906435	0.0475686	0.0250556	0.0162473
a5	0.10511	0.158065	0.21263	0.223224	0.166495	0.0655978	0.037132	0.0317467
a12	0.198601	0.214229	0.20956	0.177048	0.11974	0.0358596	0.0223647	0.0225976
a61	0.190488	0.196747	0.209852	0.177436	0.108026	0.0485386	0.0329177	0.0359953
a18	0.117516	0.119051	0.149301	0.166792	0.124899	0.111284	0.0974363	0.113722
a43	0.0395079	0.0242679	0.02878	0.036515	0.0354048	0.122145	0.27893	0.43445
a34	0.0201605	0.0113656	0.0119803	0.0139089	0.0146348	0.0714242	0.273307	0.583219
a0	0.00856926	0.00467477	0.00505771	0.00864804	0.0168895	0.0809966	0.292476	0.582688
a11	0.00441974	0.00346764	0.00460411	0.0103477	0.0240331	0.0809342	0.260539	0.611655
a70	0.00481425	0.00307817	0.00474318	0.0106082	0.0167233	0.0705115	0.248082	0.641439
a38	0.00220571	0.00168709	0.00316229	0.0099648	0.0195858	0.0906364	0.271875	0.600883
a75	0.00508091	0.00364132	0.00739826	0.0182997	0.0262801	0.111646	0.323859	0.503795
a85	0.000548508	0.000524271	0.00117597	0.00368714	0.00767929	0.0443326	0.258124	0.683928
a5	0.000114038	0.000114484	0.000310561	0.00141002	0.00428441	0.0325281	0.214382	0.746856
a37	0.000235479	0.000154908	0.000457888	0.00212313	0.00461068	0.0425389	0.230243	0.719636
a18	0.00090742	0.0006686	0.0019974	0.00629471	0.0115652	0.0848862	0.276612	0.617068
a82	0.0227665	0.0141266	0.0214207	0.0289349	0.0397876	0.138669	0.300442	0.433853
a87	0.358045	0.0937372	0.0550564	0.0420088	0.0401205	0.0874193	0.139901	0.183712
a23	0.447893	0.197961	0.111029	0.067652	0.0437845	0.042351	0.0433361	0.0459934
a87	0.331684	0.107063	0.0707147	0.0597973	0.0405191	0.0570045	0.116079	0.217139
</S>	0.0299162	0.0126638	0.0115245	0.0176617	0.0284117	0.0734509	0.217671	0.6087
