 	pendant	la	pluie	il	y	a	eu	des	éclairs	</S>
a66	0.108785	0.0868121	0.107882	0.156464	0.203537	0.190027	0.0963984	0.0288911	0.0143061	0.00689787
a87	0.108617	0.0855344	0.0870086	0.0780875	0.0962179	0.0840407	0.0740944	0.111456	0.168215	0.106729
a82	0.201336	0.14134	0.0943947	0.0673285	0.0833527	0.076466	0.0719981	0.0780427	0.114697	0.0710442
a87	0.243956	0.187825	0.104235	0.0774575	0.0922182	0.0799617	0.0695854	0.0516153	0.0560665	0.0370796
a23	0.208992	0.16396	0.100974	0.081559	0.0993262	0.0938218	0.0810493	0.0657867	0.0637372	0.0407943
a4	0.201557	0.155316	0.100664	0.0850892	0.105128	0.101395	0.0988941	0.0602404	0.0571228	0.034593
a93	0.287066	0.203761	0.0883029	0.0678013	0.0674509	0.0741521	0.0800537	0.0616927	0.0414298	0.0282888
a70	0.300123	0.232466	0.0717434	0.0472344	0.039952	0.0492414	0.0646328	0.0948977	0.0620981	0.0376114
a50	0.312082	0.239448	0.0816606	0.0520498	0.0396629	0.0433309	0.0512349	0.0844568	0.0596984	0.0363752
a0	0.285097	0.210863	0.0863393	0.0608482	0.0460373	0.0450054	0.0490898	0.0855578	0.0737052	0.0574562
a21	0.20258	0.176826	0.104287	0.0824801	0.0631826	0.0573073	0.0555086	0.0838704	0.0863565	0.0876007
a34	0.20961	0.1904	0.143146	0.12248	0.0857661	0.0680455	0.0503747	0.0566001	0.043743	0.0298348
a75	0.169138	0.176382	0.155834	0.137659	0.0953483	0.0762908	0.0539292	0.0565806	0.0448571	0.0339812
a76	0.115558	0.142826	0.145044	0.137986	0.115056	0.099174	0.0681885	0.0628945	0.0566307	0.0566424
a73	0.091453	0.127896	0.169611	0.161044	0.126645	0.100062	0.0602798	0.0543362	0.0497506	0.0589213
a35	0.0493611	0.0823192	0.192852	0.219641	0.152662	0.0987747	0.0553753	0.0418041	0.0339767	0.073234
a98	0.0332965	0.0509406	0.175281	0.233356	0.164497	0.0996504	0.0552033	0.0414478	0.042419	0.103909
a41	0.0280099	0.0418106	0.153401	0.21202	0.161287	0.0970531	0.0578473	0.044694	0.0596593	0.144218
a61	0.0327698	0.0417369	0.140761	0.215032	0.174573	0.110079	0.0644969	0.0470134	0.0587024	0.114834
a11	0.0324531	0.0373743	0.126013	0.190469	0.175306	0.109249	0.0625653	0.0504896	0.0559182	0.160162
a76	0.0246094	0.0289801	0.0919313	0.14893	0.163431	0.11064	0.0770451	0.0607963	0.0767721	0.216865
a73	0.0263731	0.0302694	0.0930498	0.154678	0.160734	0.113119	0.0821194	0.0657171	0.0857811	0.188159
a2	0.0281517	0.0328074	0.078871	0.10292	0.124069	0.0832541	0.0652093	0.064139	0.104946	0.315633
a57	0.0581228	0.0576821	0.10655	0.117235	0.112547	0.0667039	0.0476127	0.0503198	0.114341	0.268887
a87	0.053783	0.0441269	0.0707398	0.0812577	0.105252	0.0808291	0.079034	0.0821407	0.168943	0.233894
a23	0.0322054	0.0255105	0.0339076	0.0350898	0.0493594	0.06424	0.104749	0.165432	0.279424	0.210082
a50	0.0195126	0.0174408	0.0363072	0.0463624	0.0757249	0.0766932	0.109468	0.145532	0.259335	0.213624
a83	0.00300251	0.00346836	0.00859903	0.00985166	0.0149296	0.0232137	0.0633239	0.193382	0.349789	0.330441
a21	0.00352953	0.00351055	0.00674493	0.00783728	0.0107656	0.0164152	0.0399576	0.160298	0.281838	0.469103
a12	0.00616881	0.00524382	0.00977544	0.0135602	0.0182017	0.0216574	0.0436633	0.12734	0.307049	0.447341
a96	0.00470206	0.00447819	0.0101834	0.0148727	0.0196191	0.0224815	0.0410302	0.115382	0.292204	0.475047
a21	0.0033138	0.00361568	0.00984946	0.014823	0.0186733	0.0206833	0.0369068	0.0986889	0.232516	0.56093
a47	0.00458768	0.00474854	0.0119118	0.0177614	0.0208171	0.0213003	0.0355842	0.0951806	0.276198	0.51191
a88	0.00338747	0.00349512	0.00808019	0.0114198	0.0173564	0.0190775	0.0362847	0.0812234	0.185318	0.634357
a47	0.00220902	0.00228512	0.00516422	0.00643483	0.010663	0.0122305	0.0265195	0.0658219	0.163937	0.704735
a88	0.00346671	0.00333675	0.00845646	0.0124014	0.0208508	0.0245296	0.0450549	0.0828197	0.153019	0.646065
a62	0.00454891	0.00416846	0.0101751	0.0130221	0.0195087	0.0183766	0.031322	0.0581862	0.149556	0.691135
a83	0.00141145	0.00151347	0.00409401	0.00483196	0.00755914	0.00775411	0.0173068	0.0504613	0.148439	0.756629
a0	0.00415178	0.00412287	0.0101973	0.0117917	0.0171125	0.0174286	0.0309881	0.0565829	0.130915	0.71671
a41	0.0123792	0.0110308	0.0209625	0.0227075	0.0269678	0.0250827	0.0395678	0.0727307	0.164438	0.604133
a27	0.00204749	0.00214822	0.00416467	0.00394819	0.00567805	0.00545398	0.0132411	0.0484527	0.164711	0.750154
a82	0.0399003	0.033226	0.0473515	0.0528517	0.057035	0.059457	0.0817346	0.123862	0.195026	0.309556
a87	0.0969376	0.0521757	0.0485649	0.0457717	0.0644489	0.0623371	0.0732946	0.098427	0.205103	0.25294
a23	0.0616107	0.0335509	0.0411342	0.0427209	0.0697485	0.0620793	0.0680135	0.0857126	0.179548	0.355882
a97	0.0340329	0.0191782	0.0210677	0.0193033	0.0296531	0.0253467	0.0329317	0.0706669	0.193916	0.553904
</S>	0.0243515	0.0169355	0.0275272	0.0231151	0.0338613	0.0257762	0.0307405	0.0523018	0.160036	0.605355
