 	mon	père	est	en	train	de	frapper	mon	petit	frère	avec	un	bâton	</S>
a87	0.161623	0.153744	0.144071	0.136427	0.0954709	0.0919701	0.0591594	0.043513	0.0429256	0.0279781	0.0193576	0.0103422	0.00660972	0.00680896
a23	0.357575	0.194424	0.11878	0.0764784	0.0322887	0.0335715	0.0264641	0.0281923	0.0272215	0.0243298	0.0235884	0.0183606	0.0176864	0.0210386
a40	0.0748213	0.0500488	0.0399464	0.0411695	0.0402293	0.0715241	0.113489	0.150786	0.135081	0.0879452	0.0596097	0.039368	0.0373934	0.0585887
a7	0.132043	0.0855163	0.0725743	0.0536924	0.0432139	0.053861	0.0572618	0.0668616	0.0683387	0.0687916	0.0765165	0.0781006	0.0654166	0.0778117
a53	0.154845	0.103748	0.0964801	0.0638806	0.0550641	0.0618809	0.0564652	0.0650499	0.0550182	0.0485863	0.0476831	0.048514	0.0655387	0.0772454
a90	0.0492997	0.0364731	0.0379654	0.0368045	0.0506919	0.0739833	0.0921272	0.112008	0.108904	0.0952559	0.0856172	0.0718797	0.0653498	0.0836409
a98	0.0193809	0.0190899	0.0227984	0.0279318	0.0424728	0.0627416	0.0881122	0.116074	0.11453	0.103469	0.0890326	0.0847871	0.0872592	0.12232
a47	0.0202118	0.0252945	0.0337022	0.0431877	0.0585361	0.0828017	0.100404	0.114532	0.10517	0.0912667	0.0762597	0.0719286	0.0759945	0.100711
a36	0.0307443	0.0341111	0.0406041	0.0568974	0.0707825	0.0889146	0.0900625	0.0976112	0.0897035	0.0740126	0.0621366	0.063771	0.0799232	0.120725
a11	0.0313913	0.0350972	0.0373086	0.0511548	0.064898	0.0840887	0.0919422	0.102552	0.0963988	0.076084	0.0630654	0.0642773	0.0803565	0.121386
a54	0.0153862	0.0194306	0.0194499	0.0309535	0.0463024	0.0781071	0.112262	0.144057	0.152088	0.108233	0.0760448	0.0592549	0.0589429	0.0794887
a15	0.00644993	0.00892917	0.0106629	0.0176877	0.0313085	0.0544862	0.0981425	0.117756	0.131196	0.128357	0.101242	0.0849005	0.0827389	0.126142
a79	0.00562712	0.00726839	0.00858755	0.0155546	0.0282556	0.0545181	0.0901837	0.107089	0.103771	0.093938	0.0767973	0.082088	0.121259	0.205062
a44	0.00315317	0.00401961	0.00458325	0.00784031	0.0151383	0.0348796	0.0788634	0.100325	0.106514	0.108867	0.101589	0.107596	0.125222	0.20141
a11	0.0062605	0.00687491	0.00638961	0.0102322	0.0164731	0.0358388	0.0664821	0.0968032	0.121243	0.116094	0.113133	0.108833	0.116136	0.179207
a94	0.00732811	0.00800902	0.00729249	0.0117602	0.0189599	0.0409787	0.0696777	0.096891	0.121118	0.120607	0.118415	0.110684	0.106675	0.161604
a54	0.00425688	0.00487551	0.00480433	0.00757079	0.0137117	0.0323618	0.0644743	0.0925391	0.109443	0.102944	0.109725	0.116597	0.121757	0.214939
a79	0.00350345	0.00408847	0.00466372	0.00749594	0.0138672	0.0274963	0.053135	0.0758414	0.085333	0.100672	0.108018	0.134323	0.152115	0.229448
a44	0.00251768	0.00329483	0.00396848	0.00751304	0.0170043	0.0343654	0.0677522	0.0930086	0.102064	0.108891	0.112642	0.12135	0.128534	0.197095
a75	0.0018661	0.00227869	0.00256122	0.00475793	0.0123386	0.0307423	0.0672715	0.0850495	0.0907599	0.0909122	0.107434	0.12471	0.138906	0.240412
a6	0.00317409	0.00413125	0.00499996	0.00872666	0.0177974	0.0308762	0.058372	0.0715215	0.0743354	0.085608	0.0953086	0.124701	0.163172	0.257275
a37	0.00151282	0.00191493	0.00228504	0.00383643	0.00903937	0.0207649	0.0537325	0.0690354	0.0721722	0.0786498	0.0933581	0.125889	0.168225	0.299585
a61	0.00129349	0.0015805	0.00186264	0.0033986	0.00860733	0.0212362	0.0548679	0.0742794	0.0759406	0.0775352	0.0963717	0.130865	0.164677	0.287484
a88	0.00215259	0.00256174	0.00270959	0.00409805	0.00806138	0.0150809	0.0357574	0.0562098	0.0665253	0.0746947	0.098355	0.149479	0.194263	0.290051
a71	0.0025542	0.00302239	0.00317528	0.00548725	0.0111558	0.0194145	0.0371353	0.0554267	0.058656	0.0559786	0.0727781	0.122619	0.196666	0.355931
a38	0.000811006	0.000799067	0.000867834	0.00152663	0.0035837	0.0074089	0.0176672	0.0278344	0.0271715	0.0276311	0.0402545	0.0894775	0.212856	0.542111
a53	0.000536542	0.000558975	0.000685843	0.0012941	0.00324303	0.00674968	0.0180469	0.0273382	0.0259801	0.0276792	0.0402483	0.0916192	0.219473	0.536547
a69	0.000971365	0.00105732	0.00134167	0.00224968	0.00495359	0.00897799	0.021535	0.030176	0.0306168	0.0346566	0.0501269	0.103943	0.228219	0.481175
a84	0.000387118	0.000440173	0.000602075	0.00118452	0.00318007	0.00680884	0.0201273	0.0285344	0.0265705	0.0284291	0.0372172	0.0794157	0.212737	0.554366
a87	0.00479156	0.00466531	0.00461903	0.00558055	0.00862669	0.0108546	0.0188221	0.0293025	0.027943	0.0386282	0.0619237	0.135755	0.25347	0.395018
a23	0.088282	0.0696246	0.0631654	0.0624469	0.0772219	0.0719966	0.0854985	0.0703852	0.0444707	0.0506288	0.0591307	0.0789968	0.0918764	0.0862755
a87	0.0707015	0.0537671	0.0543914	0.0540338	0.0749374	0.0870289	0.110829	0.0850526	0.0601398	0.0603445	0.0679623	0.0714523	0.0798047	0.0695542
</S>	0.0213553	0.0191473	0.0210534	0.024691	0.049358	0.0647768	0.125942	0.0748224	0.0372562	0.0404099	0.0504619	0.0924921	0.185184	0.19305
