 	il	alla	jusqu'	aux	bornes	du	village	</S>
a23	0.28476	0.221792	0.163712	0.141924	0.094769	0.0366933	0.0274963	0.0288533
a87	0.42681	0.197838	0.141129	0.0820358	0.0489187	0.0268645	0.0301111	0.0462936
a23	0.309286	0.198683	0.141343	0.0942089	0.0644934	0.0456811	0.0551315	0.0911738
a53	0.333368	0.186064	0.108686	0.0479449	0.031076	0.0393388	0.0800297	0.173493
a20	0.459362	0.22296	0.116725	0.0572511	0.0419647	0.0320736	0.0322902	0.0373736
a79	0.413831	0.279158	0.154003	0.061929	0.0369462	0.0184428	0.0167042	0.0189849
a37	0.345641	0.2415	0.188043	0.0897757	0.0585849	0.026589	0.0228996	0.0269662
a26	0.255975	0.233221	0.217749	0.114696	0.0739208	0.0319482	0.0310026	0.0414873
a61	0.192927	0.215834	0.244144	0.156271	0.0941415	0.0322855	0.0285439	0.0358531
a47	0.1935	0.207581	0.242032	0.153748	0.0956532	0.0356461	0.0322314	0.0396078
a88	0.187655	0.179803	0.215263	0.158916	0.111932	0.0485534	0.0443813	0.0534967
a25	0.136176	0.148267	0.205299	0.201424	0.152779	0.0546038	0.0468682	0.0545825
a38	0.0897759	0.106653	0.174914	0.220774	0.184267	0.0717767	0.0649886	0.0868507
a21	0.0695273	0.0769426	0.123236	0.200823	0.212777	0.0976114	0.0928584	0.126224
a47	0.0960321	0.0966035	0.127449	0.190271	0.215144	0.108098	0.0786567	0.0877466
a61	0.0832197	0.0851545	0.11408	0.176877	0.212621	0.127619	0.0969793	0.103449
a62	0.0399356	0.0423195	0.0650067	0.13664	0.240886	0.215833	0.138075	0.121305
a0	0.0212637	0.0216314	0.0304466	0.0672586	0.163444	0.234655	0.230143	0.231158
a11	0.0185583	0.0184815	0.0244471	0.0473987	0.116989	0.204696	0.241982	0.327448
a56	0.00715407	0.00716662	0.0105724	0.0224291	0.0635609	0.167641	0.275644	0.445833
a25	0.0079781	0.00795565	0.0117502	0.0219658	0.0598776	0.168458	0.314675	0.40734
a7	0.00199061	0.00230448	0.00422254	0.0102501	0.0295781	0.125825	0.295772	0.530057
a2	0.00199987	0.00187124	0.00320988	0.00711087	0.0191766	0.0920131	0.264638	0.60998
a4	0.00419176	0.00306943	0.00409641	0.00750397	0.0151909	0.079208	0.285495	0.601245
a13	0.000509309	0.000437902	0.000756531	0.00170144	0.00521439	0.0524863	0.271317	0.667577
a3	0.00352882	0.00265302	0.00410603	0.00833831	0.0189603	0.120129	0.307434	0.53485
a87	0.0209656	0.013341	0.0150991	0.0223076	0.0288254	0.0975129	0.272063	0.529885
a23	0.126439	0.0732587	0.0546227	0.068186	0.0691503	0.133876	0.203564	0.270904
a87	0.074572	0.04125	0.0343304	0.0428974	0.0504679	0.143901	0.271072	0.34151
</S>	0.0150585	0.0098798	0.014955	0.0308046	0.0389552	0.114414	0.276558	0.499375
