 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
a23	0.320662	0.29318	0.137173	0.0645308	0.0439195	0.0328557	0.0232588	0.0236457	0.0271706	0.0336036
a99	0.284608	0.207243	0.124374	0.059712	0.0437185	0.036939	0.0403257	0.0466078	0.0680273	0.0884447
a30	0.106253	0.106104	0.100069	0.0735477	0.0677179	0.056359	0.0696777	0.0940394	0.141726	0.184505
a20	0.147428	0.167061	0.166999	0.111626	0.0558585	0.0331385	0.0383295	0.0563287	0.0872915	0.135938
a94	0.315198	0.28869	0.196029	0.0759533	0.0360911	0.0217041	0.0153397	0.0166786	0.0170167	0.0172993
a54	0.325195	0.29927	0.241779	0.0716333	0.025207	0.0144718	0.00814593	0.00625346	0.00450027	0.00354482
a30	0.20797	0.261916	0.24087	0.115031	0.0610665	0.043138	0.0265704	0.0188618	0.0137869	0.010789
a44	0.20861	0.249249	0.240939	0.128008	0.0630106	0.0436804	0.0266139	0.0183706	0.0119404	0.00957788
a26	0.155092	0.199359	0.233756	0.160061	0.0827515	0.0600924	0.0389554	0.0289635	0.0218792	0.0190906
a57	0.106331	0.148134	0.221541	0.211672	0.114051	0.0785878	0.0458894	0.0296045	0.0236749	0.0205135
a38	0.0771663	0.12158	0.20719	0.224368	0.12781	0.0774021	0.0464147	0.0345317	0.0398285	0.0437084
a41	0.0668547	0.0963713	0.179767	0.230269	0.142236	0.085183	0.0519972	0.040714	0.049596	0.0570112
a96	0.0670246	0.0905323	0.160909	0.22822	0.167131	0.107384	0.0676539	0.0428201	0.0352902	0.0330348
a94	0.0585063	0.0756897	0.119288	0.199432	0.176562	0.109302	0.0725928	0.0553312	0.0628968	0.0703986
a41	0.0714313	0.0839426	0.104385	0.154333	0.170418	0.108546	0.0724994	0.0579276	0.0794159	0.0971019
a35	0.0469912	0.061676	0.0799154	0.139056	0.176358	0.125247	0.0939097	0.0757395	0.092675	0.108431
a20	0.0447184	0.0576808	0.0700598	0.108604	0.144366	0.110035	0.100247	0.0965211	0.123534	0.144234
a84	0.0494814	0.059819	0.0570368	0.0619545	0.0914564	0.0878692	0.102269	0.117486	0.16708	0.205547
a53	0.0173383	0.0215833	0.0283977	0.0719563	0.181166	0.153995	0.13508	0.111944	0.132017	0.146523
a90	0.0474708	0.0526336	0.0553773	0.0666637	0.0977955	0.0935459	0.105812	0.113196	0.162798	0.204707
a43	0.0379877	0.0389627	0.0366317	0.0447225	0.0840709	0.0914678	0.108552	0.123988	0.184668	0.248949
a32	0.0286182	0.0275248	0.026309	0.0341754	0.0760518	0.0987904	0.13045	0.144456	0.192949	0.240675
a25	0.0167088	0.0164265	0.0158386	0.0237199	0.057268	0.0827973	0.129564	0.161282	0.221631	0.274763
a12	0.0097448	0.00988514	0.0121668	0.0233988	0.0612228	0.0886897	0.130779	0.15529	0.21883	0.289994
a62	0.0203793	0.0201411	0.0170826	0.023456	0.0475923	0.0671439	0.111576	0.15539	0.230323	0.306915
a21	0.0220786	0.0236968	0.017229	0.0195372	0.0362444	0.0574907	0.104651	0.160428	0.251106	0.307539
a85	0.0508389	0.0489537	0.0344344	0.0336428	0.0530474	0.0710576	0.0985496	0.130768	0.197232	0.281476
a14	0.0133546	0.0137219	0.0140255	0.0207569	0.039534	0.0529074	0.0892744	0.143634	0.263834	0.348957
a35	0.0183207	0.0192267	0.0197071	0.0309581	0.0538711	0.0624536	0.098144	0.147585	0.24156	0.308173
a76	0.016046	0.0156212	0.0178588	0.0292764	0.048016	0.0558516	0.0883491	0.136586	0.253461	0.338934
a90	0.030112	0.0285295	0.028535	0.0400799	0.0632003	0.0670928	0.0990039	0.141518	0.219496	0.282433
a13	0.0112942	0.0124548	0.015774	0.0286189	0.0542803	0.0613648	0.093589	0.142373	0.260633	0.319618
a53	0.00738859	0.0063388	0.00694307	0.0147703	0.0376531	0.0505943	0.0833185	0.129089	0.263219	0.400686
a90	0.0194072	0.0133643	0.0141205	0.0240953	0.043639	0.0565572	0.0884718	0.131749	0.24717	0.361426
a21	0.0150915	0.0100124	0.00912084	0.013269	0.0246779	0.0343772	0.0630039	0.115808	0.268594	0.446045
a41	0.0093965	0.00567883	0.00489831	0.00810982	0.0162389	0.0226516	0.0437585	0.0873304	0.249059	0.552878
a73	0.00545765	0.00410368	0.00375791	0.00630527	0.0128089	0.0181335	0.0391699	0.0955375	0.295267	0.519459
a84	0.0056879	0.00489484	0.00524286	0.00978913	0.017999	0.0233632	0.0441868	0.0979508	0.297126	0.493759
a57	0.00376602	0.00267468	0.00228757	0.00368219	0.00757101	0.0114518	0.0344122	0.0919912	0.285075	0.557088
a87	0.00290064	0.00122762	0.000826657	0.0014307	0.00486839	0.00995917	0.0423253	0.121175	0.291831	0.523456
a23	0.00651901	0.00342648	0.00302622	0.00415187	0.0144912	0.0254594	0.0629843	0.1346	0.26503	0.480312
a38	0.00434111	0.00231715	0.00286095	0.00437994	0.013103	0.0248086	0.0741574	0.158804	0.291065	0.424163
a20	0.00325714	0.0012384	0.0015524	0.00320951	0.01377	0.0257952	0.0692792	0.139636	0.285416	0.456846
a94	0.0150288	0.00758419	0.00737555	0.0115386	0.0285278	0.0472551	0.0982963	0.155532	0.258446	0.370416
a98	0.00299066	0.0021708	0.00243146	0.00466734	0.016631	0.0269823	0.0596058	0.127142	0.288888	0.468491
a90	0.0016632	0.00157604	0.00187735	0.00435975	0.0154167	0.0254252	0.0576332	0.120035	0.286398	0.485615
a41	0.00246719	0.00242191	0.00300756	0.00637688	0.0185249	0.0293003	0.0600794	0.11645	0.281027	0.480345
a94	0.00156043	0.00123914	0.00139604	0.00317027	0.0104933	0.0175494	0.0443824	0.103003	0.284157	0.533049
a4	0.00149173	0.00120847	0.00123271	0.00245206	0.00686065	0.0111979	0.0300928	0.079578	0.274803	0.591082
a44	0.00223419	0.00195081	0.00225903	0.00438085	0.0108376	0.0167288	0.0386396	0.0863951	0.271515	0.565059
a27	0.00199189	0.00133503	0.00151624	0.00286784	0.00769723	0.0130637	0.0347486	0.088266	0.284384	0.564129
a57	0.00188054	0.0012334	0.00137935	0.00276385	0.00794185	0.0129908	0.036606	0.0954585	0.270803	0.568943
a87	0.00185103	0.000859493	0.000695445	0.00127103	0.00427504	0.0078072	0.0286168	0.0870458	0.263554	0.604024
</S>	0.00523022	0.00188483	0.00153527	0.00261568	0.00882321	0.0176621	0.0572843	0.122943	0.256236	0.525786
