 	il	a	atteint	la	bête	au	fusil	</S>
a23	0.390208	0.212247	0.146435	0.108677	0.0564055	0.0261421	0.0274674	0.0324179
a85	0.512533	0.177115	0.0841671	0.0621499	0.0413248	0.0323455	0.0398685	0.0504961
a87	0.254504	0.16547	0.139343	0.103057	0.0620591	0.0541674	0.08312	0.138279
a23	0.232508	0.188253	0.172079	0.142554	0.066269	0.0394006	0.0598604	0.0990762
a20	0.25868	0.141264	0.0924135	0.0625595	0.0316053	0.035947	0.103994	0.273537
a73	0.381018	0.207664	0.145662	0.0858612	0.053373	0.0409602	0.0461855	0.0392773
a44	0.222902	0.224959	0.231476	0.181043	0.0860005	0.0232878	0.0169221	0.0134097
a54	0.161896	0.199468	0.245748	0.216535	0.115101	0.0283163	0.0180248	0.0149109
a73	0.119626	0.1652	0.221828	0.228635	0.129837	0.0523333	0.0420998	0.0404407
a94	0.143016	0.175805	0.212235	0.226101	0.133405	0.0430516	0.0333757	0.03301
a24	0.136515	0.147953	0.191198	0.214718	0.167417	0.0603276	0.0413951	0.0404753
a43	0.112351	0.106203	0.129137	0.157008	0.175281	0.129902	0.101381	0.0887387
a31	0.125908	0.119233	0.148973	0.170514	0.149793	0.0990995	0.0898325	0.0966463
a94	0.0859552	0.0775499	0.0844857	0.101115	0.138481	0.171806	0.168774	0.171834
a41	0.121215	0.109349	0.111527	0.113367	0.123092	0.132482	0.134281	0.154687
a35	0.0871876	0.0751026	0.0798025	0.087557	0.105217	0.151937	0.188731	0.224465
a98	0.0639359	0.0539117	0.053409	0.0552836	0.0685172	0.163762	0.248288	0.292893
a14	0.0426356	0.0337639	0.030303	0.0300913	0.0401444	0.147529	0.298745	0.376788
a73	0.0336141	0.0287104	0.0258923	0.0277949	0.0452869	0.189546	0.328875	0.320281
a11	0.0254095	0.0189122	0.0157439	0.0147749	0.021312	0.113632	0.3202	0.470015
a90	0.00884546	0.00556226	0.00514021	0.00485515	0.00672162	0.0435954	0.247685	0.677595
a69	0.0245505	0.0165812	0.0150669	0.0147472	0.0230949	0.105028	0.276493	0.524438
a58	0.0196074	0.01242	0.0108937	0.0104258	0.0172396	0.0753216	0.235718	0.618374
a84	0.0118213	0.00651464	0.0047613	0.00448152	0.00771585	0.0509611	0.213101	0.700643
a87	0.00854678	0.0049542	0.0030131	0.0030959	0.00824339	0.0671891	0.237422	0.667535
</S>	0.011556	0.0107265	0.00727686	0.00685124	0.0134817	0.0679589	0.231057	0.651092
