 	va	jusqu'	au	bout	de	la	route	</S>
a23	0.44128	0.182827	0.103521	0.0831555	0.0698297	0.0433901	0.0365122	0.0394847
a9	0.511355	0.185734	0.105501	0.0610844	0.0395704	0.0271287	0.0290471	0.0405789
a38	0.390114	0.20688	0.106911	0.0510537	0.0293811	0.031013	0.0552052	0.129442
a20	0.405571	0.284144	0.143393	0.0599524	0.0292638	0.0228365	0.023204	0.0316346
a30	0.484437	0.292692	0.12921	0.0506989	0.0200105	0.0112527	0.00668555	0.00501272
a2	0.371766	0.312543	0.180499	0.0711567	0.0294952	0.0149785	0.0105133	0.00904798
a26	0.0943739	0.127997	0.142239	0.15539	0.125747	0.114057	0.115708	0.124488
a24	0.0998747	0.123172	0.144927	0.171098	0.138193	0.110491	0.104934	0.107311
a61	0.221981	0.227264	0.195563	0.148187	0.0967144	0.0463159	0.0325475	0.031427
a43	0.131624	0.15392	0.162974	0.187774	0.164476	0.0947988	0.0566112	0.047822
a11	0.098164	0.125291	0.176148	0.219583	0.175506	0.0879718	0.0579435	0.0593916
a35	0.110331	0.128741	0.177245	0.229807	0.176563	0.0834102	0.0493311	0.0445711
a94	0.143408	0.162426	0.185633	0.205499	0.147071	0.0729586	0.043176	0.0398279
a35	0.0854134	0.102028	0.133052	0.20101	0.192152	0.126358	0.080237	0.0797506
a30	0.066184	0.0745274	0.107893	0.214444	0.212219	0.143337	0.0914315	0.0899645
a2	0.0433203	0.0552784	0.088712	0.184112	0.227919	0.173073	0.112133	0.115452
a38	0.0126952	0.0168784	0.0244679	0.0618422	0.129577	0.211431	0.244909	0.298199
a90	0.0165278	0.0153985	0.0183756	0.0515605	0.115083	0.205745	0.240644	0.336666
a4	0.00701713	0.00998895	0.017844	0.0552803	0.107814	0.211631	0.275134	0.31529
a57	0.00498403	0.0061344	0.0103834	0.0317287	0.0583066	0.139825	0.284783	0.463855
a82	0.00322356	0.00266805	0.00428305	0.017779	0.0444389	0.126391	0.29123	0.509986
a87	0.00289231	0.00197646	0.00261465	0.00900268	0.0261854	0.0901195	0.274218	0.592991
</S>	0.00449149	0.00340285	0.00501448	0.0138867	0.0440361	0.149323	0.300575	0.479271
