 	elle	fait	une	bobine	de	coton	</S>
a23	0.368543	0.252106	0.103371	0.0813601	0.0558482	0.0585242	0.0802481
a85	0.451615	0.200251	0.109443	0.0555975	0.0556986	0.0578357	0.069559
a87	0.375902	0.228804	0.122532	0.0908004	0.0608984	0.0480225	0.0730404
a23	0.374433	0.279228	0.165281	0.066538	0.0373897	0.0307623	0.0463678
a79	0.335406	0.222202	0.162668	0.0712651	0.050169	0.0624394	0.0958497
a20	0.486138	0.290018	0.128079	0.0506117	0.0158992	0.0139076	0.0153465
a94	0.394306	0.324867	0.162348	0.0664996	0.0266402	0.0157925	0.00954702
a27	0.247863	0.255412	0.270262	0.142261	0.0535133	0.0209663	0.00972227
a82	0.192295	0.183408	0.23116	0.236072	0.103921	0.0379447	0.0152006
a11	0.126313	0.129022	0.191702	0.281104	0.168133	0.0693007	0.0344253
a24	0.125552	0.133905	0.218595	0.280483	0.157619	0.060263	0.0235831
a41	0.114463	0.146263	0.232788	0.251372	0.155095	0.0756427	0.0243758
a27	0.113027	0.138021	0.221933	0.236716	0.160548	0.0921928	0.0375614
a25	0.051488	0.0596877	0.129113	0.295242	0.259361	0.137003	0.0681052
a76	0.0429332	0.0512261	0.0942141	0.214373	0.242325	0.2021	0.152828
a90	0.0486132	0.0611353	0.102076	0.260607	0.229746	0.177127	0.120696
a57	0.0636381	0.0756416	0.0957196	0.275979	0.220889	0.169264	0.0988682
a76	0.0166593	0.020168	0.0332685	0.157209	0.23014	0.32168	0.220875
a94	0.0291411	0.037601	0.0424188	0.160914	0.261257	0.267425	0.201242
a76	0.0191597	0.0261738	0.0329798	0.12085	0.201519	0.285059	0.314258
a94	0.0258331	0.0280464	0.0310518	0.106628	0.194856	0.268775	0.34481
a35	0.0114699	0.0125415	0.0149102	0.0636646	0.132946	0.253039	0.511429
a98	0.0103133	0.0106871	0.0121442	0.0597624	0.142392	0.260817	0.503885
a41	0.00927406	0.0100281	0.013257	0.0641826	0.146886	0.269805	0.486567
a7	0.0114047	0.0120582	0.0149811	0.0556407	0.155655	0.273074	0.477186
a84	0.00494016	0.00521239	0.008408	0.0505646	0.116896	0.254505	0.559474
a53	0.00121727	0.00104992	0.00139471	0.0142473	0.0634788	0.177593	0.741019
a90	0.00951456	0.00921002	0.0117786	0.0497379	0.0992951	0.195757	0.624707
a4	0.0131861	0.012842	0.0142284	0.0423681	0.082566	0.160164	0.674645
a57	0.00990948	0.00887816	0.0100367	0.029714	0.0512694	0.112624	0.777568
a38	0.00352102	0.00240903	0.00323224	0.0138924	0.0398893	0.107659	0.829398
a90	0.00196206	0.00122341	0.00178206	0.0092666	0.032938	0.101656	0.851172
a69	0.00229547	0.00186214	0.00233231	0.00794314	0.0219454	0.0866769	0.876945
a58	0.00231173	0.00169148	0.00209173	0.00731082	0.0210839	0.078097	0.887413
a82	0.00110192	0.000677199	0.0011726	0.00599118	0.0328127	0.124411	0.833833
a87	0.000947352	0.0005026	0.00142606	0.0112632	0.0697695	0.17599	0.740102
</S>	0.00412511	0.0020936	0.00516877	0.0198262	0.0793677	0.185448	0.70397
