 	le	manioc	est	devenu	cher	à	oyo	</S>
a66	0.225557	0.229497	0.259583	0.138878	0.0703619	0.0532713	0.0150071	0.00784405
a87	0.474589	0.269984	0.104436	0.0489621	0.0345941	0.0277753	0.0162265	0.023433
a23	0.393196	0.244745	0.122895	0.0663534	0.0488672	0.0458735	0.0319598	0.0461097
a18	0.306352	0.18143	0.106913	0.0820536	0.0744017	0.0606315	0.0671963	0.121022
a53	0.263648	0.158705	0.137127	0.119538	0.0854763	0.0666667	0.069062	0.099777
a15	0.295552	0.219249	0.195241	0.123333	0.0637563	0.0507125	0.030657	0.0214997
a20	0.1841	0.165075	0.147471	0.143793	0.129681	0.113503	0.0741013	0.0422761
a7	0.148013	0.160214	0.170768	0.155429	0.138386	0.119721	0.062618	0.0448523
a12	0.136493	0.142	0.156751	0.157575	0.133808	0.120793	0.0784704	0.0741106
a96	0.141604	0.150566	0.181881	0.192627	0.151288	0.105719	0.0395703	0.036745
a61	0.104934	0.125514	0.179515	0.218755	0.162092	0.102648	0.0486105	0.0579304
a70	0.0836198	0.105146	0.170447	0.230996	0.179944	0.115117	0.0510846	0.0636457
a93	0.0507106	0.069	0.147037	0.237261	0.213182	0.150349	0.0621474	0.0703129
a13	0.0465862	0.065605	0.138388	0.202019	0.195559	0.165211	0.0788645	0.107767
a38	0.0243513	0.0308929	0.0766031	0.163718	0.230997	0.225707	0.111092	0.136638
a70	0.0151538	0.0187891	0.0490992	0.122479	0.207378	0.240551	0.158696	0.187854
a44	0.0130843	0.0149165	0.030315	0.0728905	0.176175	0.230987	0.194258	0.267373
a4	0.00729671	0.00857174	0.0179575	0.0420404	0.10006	0.151741	0.248404	0.423928
a93	0.00265898	0.00287563	0.00467785	0.0113144	0.0477149	0.100695	0.238538	0.591525
a62	0.00162102	0.00182721	0.00305479	0.00822382	0.0373627	0.0777733	0.211095	0.659042
a21	0.000382413	0.000411276	0.000699703	0.00187049	0.00753104	0.0204546	0.132227	0.836424
a5	0.000582737	0.00069017	0.00113931	0.00276387	0.0120544	0.0292004	0.167693	0.785876
a43	0.000322588	0.000419423	0.00080088	0.00225169	0.0108822	0.0290973	0.188194	0.768032
a93	0.000223773	0.000235207	0.000467443	0.00160677	0.00778847	0.0236982	0.160599	0.805381
a70	0.000203405	0.000224521	0.000482366	0.00176663	0.00892043	0.030447	0.193087	0.764869
a50	0.00046411	0.000455578	0.000799775	0.00311448	0.0132775	0.0329782	0.191374	0.757536
a93	0.000495875	0.000502112	0.000863251	0.00343536	0.013966	0.0371231	0.195913	0.747701
a13	0.00043496	0.000485823	0.000924099	0.00326528	0.012415	0.0348109	0.177894	0.76977
a3	0.00149036	0.00152236	0.00339462	0.0137957	0.037119	0.0581062	0.218202	0.666369
a87	0.0469316	0.0417882	0.0434585	0.0754386	0.108145	0.111659	0.220403	0.352176
</S>	0.308571	0.234748	0.135079	0.0831174	0.0600544	0.056224	0.0572117	0.0649947
