 	celui	qui	tousse	dans	la	maison-là	c'	est	qui	</S>
a66	0.214824	0.10706	0.112756	0.122919	0.104245	0.0750438	0.0754532	0.0735081	0.0559465	0.0582445
a87	0.119744	0.0760257	0.106627	0.104071	0.107598	0.140852	0.130847	0.090416	0.0613588	0.0624607
a79	0.197012	0.16769	0.210123	0.166766	0.108513	0.0794441	0.0269251	0.0175685	0.013696	0.0122625
a69	0.217992	0.173896	0.216819	0.140018	0.0833843	0.102387	0.0320798	0.0157392	0.00968563	0.00799884
a58	0.300649	0.233732	0.282635	0.0963059	0.0394666	0.0282638	0.00849517	0.00454135	0.00294243	0.00296803
a90	0.105819	0.170402	0.228392	0.183578	0.129563	0.0954259	0.0329647	0.0217724	0.0157806	0.0163029
a25	0.116747	0.173301	0.156238	0.150475	0.117068	0.110469	0.0616674	0.0432656	0.034922	0.0358465
a92	0.126963	0.16792	0.13912	0.143693	0.118616	0.12136	0.0711795	0.0472804	0.0314476	0.0324218
a56	0.0658732	0.10836	0.105998	0.143013	0.127414	0.164012	0.113457	0.0719471	0.0465856	0.0533399
a75	0.0248907	0.0455071	0.0452424	0.0889358	0.104822	0.187054	0.197552	0.13484	0.0820984	0.0890566
a5	0.0151817	0.030456	0.0384183	0.0931003	0.124099	0.167389	0.188988	0.154517	0.095937	0.0919134
a21	0.0060692	0.0112903	0.014963	0.0477087	0.0774264	0.132917	0.196687	0.194918	0.147278	0.170743
a93	0.00223976	0.0041763	0.00605441	0.0226884	0.0466016	0.0831062	0.158594	0.211082	0.205135	0.260323
a70	0.00258325	0.00469808	0.00638713	0.0213702	0.0407394	0.0722104	0.137489	0.191471	0.216612	0.306439
a75	0.00216131	0.00381103	0.00433853	0.00927386	0.0134258	0.0216551	0.0621591	0.128371	0.248254	0.50655
a36	0.000781468	0.00149262	0.00186157	0.00479227	0.00752769	0.0112654	0.0326539	0.0958526	0.251209	0.592563
a27	0.00234391	0.00441883	0.00605928	0.0097573	0.00981626	0.0110577	0.0234901	0.0564727	0.180163	0.696421
a30	0.0489799	0.0535838	0.0822471	0.0618961	0.058489	0.0542007	0.0760298	0.0948888	0.147309	0.322376
a87	0.129389	0.104171	0.163784	0.134733	0.112018	0.0853902	0.065521	0.0595654	0.0629841	0.082446
a23	0.140681	0.113554	0.147143	0.132805	0.108239	0.100144	0.0697859	0.0566711	0.0557436	0.0752341
a87	0.0658106	0.0578609	0.079426	0.0964841	0.103479	0.125672	0.0789019	0.0836243	0.123546	0.185195
</S>	0.0216251	0.0276791	0.04517	0.0825671	0.104486	0.108697	0.0741626	0.0957292	0.179283	0.260601
