 	j'	aime	mieux	les	bananes	douces	que	les	bananes	à	cuire	</S>
a10	0.092482	0.0356934	0.0297515	0.0303974	0.0434266	0.0627879	0.0723038	0.052663	0.0572612	0.0999189	0.169919	0.253395
a87	0.11032	0.0471581	0.0406367	0.0223833	0.027352	0.0296215	0.0520056	0.0281996	0.0395795	0.0910711	0.183033	0.328639
a23	0.179292	0.0868376	0.048989	0.0280648	0.0290523	0.0271408	0.0554524	0.036252	0.0403754	0.076641	0.137787	0.254115
a4	0.220551	0.137662	0.0459959	0.0217573	0.0241008	0.0333076	0.0368042	0.0254335	0.0291808	0.0781985	0.143573	0.203436
a75	0.46872	0.205646	0.0616316	0.0426474	0.0470233	0.0614006	0.0253819	0.0162576	0.0139311	0.0181034	0.0173701	0.0218861
a14	0.463774	0.326278	0.067769	0.0298629	0.0278639	0.0305446	0.0162467	0.00953442	0.00606481	0.00753832	0.00710688	0.00741586
a35	0.312642	0.280973	0.0948091	0.0613914	0.0605622	0.0543354	0.0431448	0.0269795	0.0179784	0.0174627	0.0146277	0.0150938
a24	0.270473	0.255287	0.0968607	0.0704703	0.0698835	0.0560701	0.0601274	0.0368155	0.0241366	0.0221351	0.0188667	0.0188741
a71	0.23125	0.232294	0.100249	0.08104	0.0783106	0.0626508	0.0686277	0.040618	0.0278789	0.0276796	0.0242929	0.0251086
a25	0.122053	0.129426	0.12243	0.106428	0.106166	0.0809108	0.102627	0.0608008	0.0450499	0.0442772	0.0391133	0.0407175
a38	0.103507	0.121488	0.132841	0.11651	0.115499	0.0979046	0.104723	0.0591686	0.0400742	0.0398144	0.0338734	0.0345961
a14	0.125137	0.137513	0.136469	0.115275	0.114819	0.0984709	0.0958459	0.0579134	0.0357591	0.0313014	0.0260183	0.0254786
a35	0.114158	0.13903	0.131201	0.11041	0.108525	0.109794	0.075944	0.0584974	0.0479848	0.0418373	0.0340782	0.0285412
a98	0.0846495	0.0978233	0.137685	0.118185	0.116626	0.118132	0.0908761	0.065347	0.051401	0.0444654	0.0385891	0.0362218
a14	0.0588188	0.0704457	0.124861	0.113771	0.122284	0.120523	0.0963794	0.0719381	0.0668426	0.0583044	0.0491262	0.0467051
a41	0.0529121	0.0579909	0.12161	0.117557	0.127651	0.132087	0.104347	0.0738774	0.0666321	0.05573	0.0458973	0.0437074
a44	0.0447656	0.046902	0.109625	0.110428	0.121898	0.131763	0.112469	0.078085	0.0682994	0.0631344	0.055286	0.0573439
a57	0.0559909	0.0535091	0.0853091	0.0836959	0.0972364	0.112112	0.11602	0.0902164	0.0809235	0.0716123	0.0711243	0.0822507
a38	0.0298126	0.0286872	0.0617289	0.0672063	0.102946	0.116889	0.13794	0.094415	0.076122	0.077562	0.0900098	0.116682
a25	0.0232231	0.0248269	0.0677283	0.0792479	0.127265	0.143385	0.127532	0.0884111	0.0807231	0.0744469	0.0752115	0.0879999
a90	0.0288881	0.031317	0.0828071	0.0834207	0.117561	0.130211	0.103069	0.0777857	0.085453	0.0827253	0.077501	0.0992613
a69	0.0323951	0.0351492	0.061915	0.0641609	0.087159	0.0906007	0.0944342	0.091265	0.116441	0.105213	0.10144	0.119826
a58	0.040379	0.0372746	0.0833991	0.0695524	0.0915198	0.102321	0.0839817	0.0759526	0.0872859	0.0900815	0.107464	0.130789
a82	0.0336706	0.0294932	0.0773689	0.0596902	0.081709	0.0997345	0.0726567	0.0727277	0.0891474	0.0971081	0.118706	0.167988
a87	0.020308	0.0167426	0.0437384	0.0367486	0.0685415	0.0698282	0.0784363	0.0724993	0.100519	0.122035	0.147857	0.222745
a23	0.0102076	0.00590525	0.0140959	0.0140862	0.0258862	0.0367354	0.0464455	0.0634774	0.124663	0.191017	0.208208	0.259272
a93	0.00895787	0.0055499	0.0178884	0.0163626	0.0324651	0.0368054	0.0498258	0.062209	0.108868	0.171617	0.187843	0.301608
a54	0.018213	0.0118705	0.0238189	0.0143854	0.0302192	0.0406718	0.0390004	0.0336463	0.0507832	0.107699	0.178032	0.45166
a73	0.0244557	0.0183097	0.0419215	0.0282416	0.0432442	0.0507704	0.0410743	0.0392787	0.0586285	0.100049	0.170129	0.383898
a84	0.0124578	0.010578	0.0338548	0.0213359	0.0396876	0.0516971	0.038823	0.0402861	0.0657502	0.133488	0.19555	0.356492
a40	0.00613733	0.00595918	0.0193411	0.0106445	0.0192548	0.0227229	0.0203509	0.0253952	0.067324	0.154783	0.235324	0.412763
a53	0.015692	0.0141848	0.02623	0.0213434	0.0397678	0.0490616	0.0666351	0.0646768	0.094033	0.125865	0.170283	0.312228
a4	0.0124735	0.010611	0.034263	0.0359288	0.0520926	0.0603397	0.0547701	0.0504593	0.0665387	0.115649	0.1834	0.323474
a57	0.00528467	0.00450072	0.0183054	0.0136542	0.0203389	0.026976	0.02343	0.0270181	0.048311	0.117283	0.224956	0.469942
a82	0.00322141	0.00262118	0.00840667	0.00733736	0.0129695	0.016538	0.0200211	0.0257318	0.0628258	0.138292	0.235124	0.466911
a87	0.00161136	0.00124361	0.00411869	0.00294786	0.00538126	0.00639769	0.0106786	0.0199917	0.0718587	0.145624	0.237351	0.492795
</S>	0.0115329	0.00669009	0.0183372	0.00942736	0.0214853	0.0196688	0.0308571	0.0426378	0.0980635	0.153735	0.211657	0.375908
