 	la	mère	et	l'	enfant	ont	mis	ensemble	leurs	poissons	pour	les	vendre	</S>
a15	0.114779	0.0761122	0.0793356	0.0890176	0.123205	0.135241	0.122734	0.13173	0.047785	0.0280443	0.0145745	0.0131658	0.0123516	0.0119249
a87	0.150733	0.11629	0.0915728	0.0843379	0.0738163	0.0713514	0.0979745	0.0522764	0.0399409	0.0341916	0.0342021	0.0400988	0.0527902	0.0604242
a79	0.166824	0.121029	0.0718315	0.0496532	0.0374599	0.0334888	0.0413497	0.0467109	0.0455335	0.045055	0.0404779	0.0534513	0.109732	0.137403
a70	0.276115	0.175686	0.0829184	0.0551111	0.0416281	0.0297167	0.0243257	0.0183347	0.0145048	0.0210312	0.0260992	0.043666	0.0806059	0.110257
a96	0.280271	0.181182	0.128152	0.0980022	0.0673727	0.0450775	0.0322042	0.0256386	0.0153844	0.0167407	0.0187644	0.0252958	0.031607	0.0343072
a90	0.329629	0.248885	0.107943	0.0802479	0.0585023	0.0448139	0.027706	0.0360304	0.0136042	0.0108886	0.00936694	0.0100685	0.0112444	0.0110693
a13	0.20135	0.179229	0.109111	0.0923503	0.0796221	0.0673051	0.0478877	0.0721126	0.0304012	0.0242795	0.0235958	0.024017	0.0243001	0.0244388
a98	0.128605	0.14737	0.108671	0.107831	0.100344	0.0845761	0.0600625	0.0858724	0.0372845	0.0299707	0.0288507	0.0272195	0.0267152	0.0266267
a47	0.107937	0.124208	0.12145	0.129185	0.125939	0.108117	0.0761315	0.0875182	0.0346765	0.0200909	0.0152686	0.0143514	0.0160232	0.0191038
a44	0.105163	0.130802	0.132288	0.139586	0.134745	0.103582	0.0665291	0.068976	0.0266594	0.0173476	0.0150427	0.0157786	0.0192721	0.0242279
a98	0.0981514	0.119721	0.125541	0.133751	0.14028	0.123531	0.0877551	0.0863494	0.0236723	0.0142322	0.0114401	0.0102307	0.0115109	0.0138327
a47	0.0651677	0.0936566	0.122285	0.13924	0.151674	0.12838	0.0913308	0.0928249	0.038	0.0198885	0.0136015	0.0122941	0.0140541	0.0176026
a37	0.0370008	0.0623517	0.10812	0.126851	0.159842	0.140982	0.098824	0.104755	0.0458059	0.0260454	0.0195014	0.0191861	0.0222362	0.0284982
a75	0.0422473	0.0636341	0.110946	0.126413	0.164049	0.15545	0.112226	0.113276	0.0386096	0.0209087	0.0138161	0.0114972	0.0122501	0.0146768
a47	0.0482972	0.0623806	0.0988945	0.112692	0.146993	0.135828	0.0924761	0.106883	0.0456657	0.0321016	0.0285526	0.025188	0.0275147	0.0365319
a36	0.0323693	0.0435493	0.0802504	0.0910822	0.146465	0.14915	0.109635	0.134575	0.0633488	0.0355632	0.0247104	0.0232339	0.0277912	0.0382759
a57	0.0286599	0.0351263	0.0582348	0.0608122	0.10389	0.129033	0.120088	0.152421	0.0818484	0.0513495	0.0378806	0.0354342	0.044418	0.0608036
a40	0.0154953	0.0197518	0.035587	0.0378678	0.0694901	0.100945	0.131679	0.152443	0.104549	0.070641	0.0600251	0.0526116	0.0629288	0.0859855
a47	0.0383986	0.0422229	0.0572663	0.0575878	0.0846948	0.100528	0.0928014	0.134681	0.0684731	0.0572742	0.0575654	0.0511439	0.0630154	0.0943468
a15	0.0360434	0.0409368	0.0579847	0.0599822	0.0970963	0.116352	0.0973643	0.139565	0.0767955	0.0562629	0.0523566	0.0475303	0.0521225	0.069607
a44	0.0420759	0.0420141	0.0505583	0.0508001	0.0756338	0.0892518	0.0800108	0.126294	0.0799227	0.0591291	0.0609249	0.0675498	0.0777047	0.0981301
a38	0.0202675	0.0238817	0.0417042	0.0427842	0.0727079	0.0974139	0.0938674	0.157757	0.108776	0.0780951	0.0621608	0.0534811	0.0613195	0.0857845
a70	0.0180571	0.020652	0.0331247	0.0334743	0.0542995	0.0766543	0.0857798	0.154064	0.110498	0.0856602	0.0775568	0.064943	0.0763712	0.108865
a83	0.0198058	0.0227053	0.0371412	0.0382513	0.0585198	0.0779648	0.0750819	0.139246	0.120123	0.100837	0.088547	0.0682075	0.067172	0.0863973
a98	0.0128714	0.0156728	0.0285341	0.0287946	0.047338	0.0637279	0.0690506	0.130574	0.131674	0.120981	0.111789	0.0757189	0.0690934	0.0941795
a85	0.0288415	0.0297011	0.0406107	0.0408344	0.0565249	0.0688665	0.0625137	0.0915309	0.08699	0.0813241	0.0885993	0.0911168	0.100905	0.131641
a37	0.036822	0.0334451	0.0443234	0.0472269	0.0656974	0.0824253	0.0736862	0.0996165	0.0704093	0.0619185	0.0675281	0.0807871	0.105769	0.130345
a27	0.0197439	0.0195957	0.0311804	0.0322619	0.0492463	0.065049	0.0588449	0.0954464	0.088314	0.0891266	0.101105	0.0995193	0.111887	0.138681
a11	0.00764198	0.0078087	0.00956321	0.00775173	0.0109156	0.0171546	0.0270379	0.043021	0.0666568	0.0964357	0.162112	0.13782	0.158215	0.247866
a98	0.007694	0.00680366	0.00826215	0.00687636	0.0102344	0.014844	0.0199092	0.0330891	0.0498258	0.0785456	0.148123	0.142389	0.176631	0.296773
a15	0.0152749	0.0131326	0.0157643	0.0141906	0.0173649	0.0213966	0.0216214	0.0345129	0.0447813	0.0664223	0.133362	0.155642	0.188001	0.258533
a44	0.0167059	0.0130468	0.0151156	0.0143575	0.0203228	0.0264195	0.0292478	0.0438447	0.0526154	0.070335	0.12799	0.15981	0.175238	0.23495
a57	0.00535121	0.00498842	0.00667228	0.00565045	0.00832589	0.0129664	0.0170326	0.0333517	0.0498306	0.0726876	0.141881	0.159185	0.196431	0.285646
a98	0.00501122	0.00465362	0.00511494	0.00379494	0.00464835	0.00675933	0.0116014	0.019251	0.0290246	0.0495045	0.12619	0.171276	0.22768	0.335489
a47	0.00877245	0.00755327	0.00933354	0.00786105	0.00988411	0.0133273	0.0161913	0.0276405	0.0435464	0.0651951	0.132447	0.155898	0.194948	0.307403
a37	0.00988696	0.00871446	0.0115785	0.0115347	0.0167	0.0240597	0.027419	0.0390028	0.0514182	0.0743643	0.132816	0.179754	0.196526	0.216225
a70	0.00382314	0.00359751	0.00505373	0.00436482	0.00619265	0.00923172	0.0119903	0.0206441	0.03515	0.058386	0.131591	0.189306	0.231905	0.288764
a62	0.00301947	0.00302356	0.0045902	0.00406644	0.00560829	0.00844524	0.0111763	0.019427	0.0367535	0.0596852	0.13541	0.199533	0.235709	0.273552
a83	0.00215722	0.0021577	0.00281129	0.00239006	0.00280072	0.00394938	0.00616173	0.0111385	0.0237946	0.0392504	0.106118	0.19516	0.257428	0.344682
a9	0.00181052	0.00189365	0.00281453	0.00243183	0.00304343	0.00423254	0.00702862	0.0120799	0.0232638	0.0381354	0.103774	0.187139	0.259809	0.352544
a10	0.00232906	0.00179255	0.0017338	0.00136359	0.00132774	0.00162505	0.00281187	0.00361485	0.0115489	0.030159	0.101596	0.173234	0.286906	0.379958
a9	0.0113658	0.00603209	0.00434251	0.00324837	0.00280611	0.00307952	0.00439945	0.00581528	0.0207061	0.0451073	0.096933	0.15203	0.284608	0.359527
a50	0.0485686	0.0263838	0.0165263	0.0114482	0.0085724	0.00890787	0.0137275	0.0171097	0.0465585	0.073513	0.110658	0.152561	0.232866	0.232599
a83	0.00707615	0.00371696	0.0029292	0.00213164	0.00200238	0.00261287	0.00538929	0.00814611	0.0247467	0.0449757	0.0918614	0.16611	0.289753	0.348549
a36	0.000651511	0.000443766	0.000484744	0.000436377	0.000501838	0.000740737	0.001862	0.00348961	0.0133604	0.0282013	0.0903441	0.173926	0.289331	0.396227
a27	0.000646814	0.000444685	0.000456858	0.000419318	0.000461144	0.000648805	0.0015957	0.00287454	0.0128555	0.0272892	0.0865051	0.163914	0.283681	0.418208
a30	0.00598189	0.00356088	0.00284341	0.00206577	0.00192137	0.00226513	0.00414605	0.00656087	0.0214873	0.0407807	0.0940437	0.160032	0.290924	0.363387
a99	0.0195136	0.00922195	0.00570924	0.00405701	0.00314182	0.00356312	0.00592227	0.00724965	0.0224585	0.0441305	0.0850588	0.146614	0.292316	0.351043
a87	0.0258286	0.0170598	0.0119895	0.00804412	0.00543978	0.00535937	0.00868655	0.00949824	0.027098	0.047029	0.0918974	0.155415	0.278341	0.308314
a97	0.041291	0.0321559	0.0245907	0.0177111	0.0142902	0.0158432	0.0240299	0.0295981	0.05398	0.0705463	0.10648	0.140655	0.209614	0.219214
a23	0.0347688	0.0271481	0.0228459	0.0189989	0.020886	0.0258072	0.0379599	0.0489904	0.0689387	0.0746246	0.0937939	0.122184	0.191043	0.212011
a9	0.0231926	0.0167996	0.0140134	0.0100869	0.00770548	0.00772519	0.0113586	0.0125238	0.027906	0.0448393	0.0837226	0.142746	0.270833	0.326548
a97	0.0199025	0.0141995	0.0134439	0.0101069	0.00760644	0.00705931	0.0085903	0.00918987	0.0201495	0.0345259	0.0634601	0.128091	0.293254	0.370421
</S>	0.0328315	0.02505	0.0222451	0.0165761	0.0133248	0.0123728	0.0144614	0.0153437	0.026886	0.0378769	0.0595276	0.111289	0.251958	0.360257
