 	je	joins	les	planches	pour	fabriquer	un	luth	</S>
a66	0.21047	0.233579	0.128914	0.0799696	0.0610556	0.0679507	0.0688573	0.0826694	0.0665342
a82	0.618683	0.171965	0.0393632	0.02383	0.019839	0.0280599	0.0287187	0.0409099	0.0286314
a87	0.55066	0.234533	0.0707944	0.035404	0.0215595	0.0331065	0.0185614	0.0212325	0.0141483
a97	0.405369	0.334045	0.115285	0.0399544	0.0181415	0.0269315	0.0155301	0.027275	0.0174684
a87	0.414595	0.352224	0.105556	0.0321693	0.0163368	0.0256819	0.0160014	0.0217016	0.0157348
a23	0.404502	0.308071	0.106447	0.0415088	0.0250621	0.0381552	0.0240228	0.0305418	0.021689
a97	0.494293	0.227331	0.0830556	0.0440503	0.03506	0.0379343	0.0230158	0.0257571	0.0295025
a10	0.416726	0.21312	0.0983092	0.0563725	0.0497873	0.0544316	0.0370361	0.0392511	0.0349658
a87	0.400712	0.209577	0.10352	0.0588723	0.0505192	0.052738	0.0399652	0.0423277	0.0417685
a82	0.452921	0.225077	0.0850877	0.0471516	0.0428623	0.0422374	0.0334203	0.0328612	0.0383811
a87	0.426528	0.238704	0.102483	0.0547912	0.0388413	0.039072	0.0289788	0.0319784	0.0386226
a23	0.465694	0.23625	0.0954022	0.0499065	0.0388635	0.0367204	0.0258644	0.0246298	0.0266699
a87	0.308102	0.184005	0.125908	0.0848788	0.0768722	0.0683109	0.0503625	0.0440404	0.0575196
a23	0.395077	0.209965	0.107969	0.0664886	0.0557255	0.0518171	0.0379166	0.0334469	0.0415951
a18	0.301031	0.178125	0.130569	0.0974923	0.0769983	0.0683983	0.0495567	0.0394128	0.0584163
a54	0.192322	0.181753	0.160923	0.112756	0.0765137	0.081804	0.0665386	0.0545278	0.0728625
a5	0.186309	0.290394	0.254562	0.110623	0.0551408	0.0418249	0.0195299	0.0161096	0.0255072
a12	0.11135	0.221838	0.200434	0.143908	0.10339	0.0900559	0.0464651	0.0369612	0.0455983
a96	0.0831968	0.175605	0.161882	0.121242	0.1086	0.105786	0.0797068	0.073331	0.0906503
a93	0.0742093	0.161464	0.168921	0.113389	0.106766	0.105944	0.085479	0.0863101	0.0975178
a70	0.0666019	0.147039	0.16226	0.114412	0.10804	0.112597	0.0911764	0.0928365	0.105036
a54	0.0447913	0.108359	0.133452	0.107532	0.113804	0.128457	0.121348	0.11998	0.122277
a7	0.0155727	0.0670751	0.129085	0.146172	0.156328	0.135397	0.126301	0.116226	0.107843
a54	0.00864425	0.0289347	0.0637627	0.0962674	0.127247	0.150083	0.15558	0.182748	0.186734
a41	0.00723311	0.0256439	0.0767463	0.136075	0.171276	0.151333	0.150374	0.153467	0.127851
a94	0.00497764	0.0145625	0.0423384	0.100003	0.1532	0.131442	0.158697	0.190349	0.204432
a96	0.00157534	0.00410691	0.0116272	0.0387067	0.0912926	0.116545	0.187506	0.258417	0.290223
a70	0.000783281	0.00180867	0.00499975	0.0206228	0.0602115	0.089761	0.177509	0.302177	0.342126
a4	0.000388783	0.000760237	0.00196309	0.0088773	0.037435	0.0671881	0.159563	0.32016	0.403665
a99	0.000292906	0.000536906	0.00133435	0.0058289	0.0275653	0.0562352	0.151931	0.311421	0.444855
a53	0.00022195	0.000295901	0.000657498	0.0027391	0.0170154	0.0428781	0.142192	0.319066	0.474935
a93	7.06436e-05	0.000121532	0.000348561	0.00164066	0.0102972	0.0248578	0.0959239	0.283044	0.583696
a70	7.40679e-05	0.000144743	0.000392602	0.00204826	0.0117868	0.0234856	0.0816921	0.27772	0.602656
a4	3.29504e-05	6.13595e-05	0.000170863	0.0008831	0.00618502	0.0153301	0.0701549	0.265358	0.641823
a13	2.39743e-05	5.18446e-05	0.000144766	0.000625166	0.00453222	0.0131202	0.0767603	0.28503	0.619712
a50	5.1859e-05	8.55533e-05	0.000245578	0.000940408	0.00630306	0.018189	0.0996759	0.346306	0.528203
a83	9.78202e-05	0.00019237	0.000497923	0.001449	0.00648585	0.0175534	0.0925152	0.357124	0.524084
a9	0.000193889	0.000269704	0.000748662	0.00299094	0.0150672	0.0300985	0.103151	0.384638	0.462842
a3	0.0042812	0.00240383	0.00290683	0.00613006	0.0195628	0.0330668	0.0946541	0.371727	0.465267
a97	0.0863184	0.039243	0.0212621	0.0218924	0.0325556	0.0452349	0.0883294	0.264551	0.400613
a38	0.0823711	0.0527248	0.0347472	0.0360818	0.060886	0.0854411	0.122148	0.220083	0.305517
a10	0.0297293	0.0319067	0.0266418	0.0328669	0.0618587	0.0864302	0.130985	0.21195	0.387631
a87	0.0287641	0.0281643	0.0245012	0.0447763	0.0801626	0.101932	0.120186	0.197166	0.374347
a97	0.0386605	0.0461976	0.0419861	0.0763982	0.107348	0.126055	0.122065	0.178669	0.26262
a87	0.0406033	0.0556631	0.0503746	0.0802993	0.0999614	0.114869	0.115363	0.16645	0.276416
a97	0.058466	0.0799452	0.0637187	0.0846462	0.0935583	0.106733	0.10291	0.148514	0.261509
a30	0.0466411	0.0648235	0.0571694	0.0835838	0.0977597	0.113594	0.11219	0.156191	0.268046
</S>	0.0498511	0.0694317	0.0546092	0.0639181	0.0682089	0.0795869	0.0988705	0.158546	0.356978
