 	ne	fais	pas	couler	tes	larmes	pour	rien	l'	enfant	va	mieux	</S>
a87	0.151786	0.131932	0.121537	0.113535	0.0731716	0.0544166	0.0763997	0.100795	0.101908	0.0435063	0.0151609	0.00903756	0.00681472
a23	0.252159	0.12919	0.147036	0.127877	0.0723983	0.0358613	0.0391677	0.044159	0.055268	0.0342306	0.0226358	0.0201651	0.0198519
a87	0.167583	0.0901134	0.106259	0.1215	0.0913677	0.0494835	0.0488554	0.0369417	0.0537882	0.0342775	0.0378529	0.0650037	0.0969743
a23	0.16251	0.105377	0.12237	0.141003	0.100716	0.0621895	0.0633815	0.0458247	0.0407761	0.024999	0.0267005	0.0429662	0.0611855
a50	0.170543	0.136579	0.144253	0.129837	0.0759287	0.0368171	0.0314917	0.0239161	0.0269411	0.0240516	0.03139	0.0677996	0.100452
a5	0.23876	0.231249	0.185091	0.132203	0.0771629	0.0375407	0.029112	0.0179469	0.0126413	0.00827764	0.00920738	0.0101339	0.0106742
a36	0.179426	0.222247	0.179154	0.167498	0.103111	0.0475311	0.031971	0.0177452	0.0111705	0.00643073	0.00834858	0.0114639	0.0139031
a75	0.124043	0.181272	0.168227	0.16177	0.13339	0.0701421	0.0483419	0.026202	0.0173185	0.0105163	0.0132647	0.0192674	0.0262438
a6	0.0848845	0.125891	0.150248	0.157024	0.136941	0.100834	0.076017	0.0455848	0.0261557	0.0150659	0.0191582	0.0258414	0.0363533
a37	0.0701324	0.0912638	0.118413	0.12578	0.130103	0.123331	0.101636	0.0737124	0.0426114	0.0229139	0.0252297	0.0308283	0.0440452
a25	0.0812311	0.088522	0.117143	0.129987	0.152279	0.144349	0.116068	0.0662442	0.0306533	0.0169897	0.0163136	0.0171979	0.0230234
a44	0.0358296	0.0374753	0.0619724	0.0743177	0.122809	0.150708	0.147698	0.124034	0.0771877	0.0431671	0.0387621	0.0381682	0.0478702
a47	0.0445685	0.0401762	0.0578669	0.0617736	0.108645	0.140772	0.170462	0.125384	0.0564008	0.0339689	0.0379129	0.0478355	0.0742328
a62	0.0511273	0.0510648	0.0578419	0.0580896	0.091617	0.119635	0.16174	0.143469	0.0622419	0.0367997	0.039542	0.0507195	0.0761119
a0	0.0621858	0.0572306	0.070594	0.072823	0.0902578	0.111301	0.160473	0.151699	0.0628415	0.0318025	0.0316083	0.0418149	0.0553683
a75	0.0406271	0.0322769	0.046004	0.0513815	0.0710138	0.107815	0.179581	0.20457	0.0843958	0.0385954	0.0342868	0.0438974	0.0655547
a34	0.0793983	0.0748532	0.0725595	0.0596883	0.0704256	0.0749146	0.0900189	0.09212	0.0539161	0.0469488	0.0622309	0.0895672	0.133359
a70	0.0436582	0.0363349	0.0478534	0.0433785	0.0572617	0.0831169	0.12035	0.142941	0.0747111	0.0501773	0.0613663	0.0922658	0.146585
a53	0.0264455	0.0237007	0.0351495	0.036472	0.0498246	0.0806715	0.117914	0.140561	0.074668	0.0531608	0.0625255	0.112925	0.185982
a15	0.0139799	0.012239	0.0183801	0.0178133	0.0236855	0.0382347	0.0579965	0.0773257	0.0564904	0.059663	0.0966946	0.19303	0.334468
a7	0.0332113	0.0225828	0.0256214	0.0263963	0.0302709	0.0389917	0.0574943	0.0969569	0.0651417	0.0631721	0.084936	0.17659	0.278634
a84	0.0322771	0.0193348	0.0230583	0.0235696	0.0259398	0.0236724	0.0292666	0.0409621	0.0405254	0.0483446	0.0859059	0.20691	0.400234
a57	0.098822	0.0547365	0.0518898	0.0414121	0.0301554	0.0212342	0.0233087	0.0245409	0.0271992	0.0339399	0.0630898	0.16368	0.365991
a87	0.159764	0.0961822	0.0905635	0.0826234	0.0442421	0.0245671	0.0277906	0.031989	0.0450983	0.058216	0.0728058	0.102463	0.163695
a23	0.107617	0.0756085	0.090412	0.100046	0.0560178	0.0266344	0.0331656	0.0488845	0.077473	0.0759666	0.0902635	0.0995779	0.118333
a87	0.0252819	0.0134521	0.0205954	0.0212167	0.0174783	0.0152774	0.0227508	0.0399116	0.0818661	0.113898	0.164036	0.20609	0.258146
a97	0.0259141	0.0132174	0.0220513	0.0257437	0.0202009	0.0175981	0.0264987	0.0575496	0.121648	0.166858	0.158204	0.157832	0.186684
a99	0.0540557	0.0272962	0.0429613	0.0484449	0.0318934	0.0201076	0.0242938	0.044691	0.101736	0.12594	0.140712	0.158257	0.17961
a44	0.0283988	0.015197	0.024845	0.0288571	0.0221738	0.017259	0.0213754	0.040059	0.0924804	0.121292	0.150186	0.19048	0.247396
a90	0.00163572	0.00101105	0.00223845	0.003638	0.00446111	0.00610926	0.00872175	0.0197701	0.0616666	0.0854698	0.12768	0.24294	0.434658
a92	0.0012613	0.00100093	0.00194451	0.00286603	0.00471231	0.00764796	0.0152316	0.0404665	0.0717388	0.0978213	0.125476	0.217421	0.412412
a5	0.00225887	0.00199695	0.00347197	0.00465359	0.00772295	0.0109178	0.0207232	0.0480936	0.0669092	0.0903709	0.129111	0.240688	0.373082
a18	0.00512483	0.00443382	0.00606084	0.00753572	0.00871938	0.0109577	0.0167093	0.0318485	0.0463548	0.0799755	0.11999	0.246005	0.416285
a62	0.000652863	0.000521824	0.000827788	0.00107369	0.00137322	0.00202315	0.00303349	0.00528313	0.0102351	0.0286866	0.0675528	0.241516	0.63722
a70	0.00237026	0.002211	0.00294659	0.0037163	0.00410992	0.00574902	0.00777855	0.0136938	0.0232964	0.0589449	0.104817	0.236746	0.53362
a53	0.00127412	0.00119755	0.0015889	0.00192584	0.00228724	0.0033496	0.00476008	0.00829075	0.0140168	0.0352146	0.0753944	0.25125	0.59945
a4	0.000386593	0.000321367	0.000362209	0.000439578	0.000591072	0.000966361	0.0016628	0.0036899	0.00727011	0.0214976	0.0595952	0.261795	0.641422
a57	0.000256947	0.000216906	0.000239307	0.000239658	0.00027992	0.000391804	0.000561779	0.00107018	0.00245899	0.00857317	0.033812	0.218814	0.733085
a26	0.000266579	0.000191216	0.000213978	0.000188966	0.000262501	0.000342552	0.000502763	0.000816649	0.00212045	0.00918269	0.0453782	0.246338	0.694195
a57	0.0141192	0.00868353	0.00779451	0.00606425	0.00624232	0.00643151	0.00837692	0.0158795	0.0211384	0.0453328	0.108444	0.245521	0.505972
a87	0.0348899	0.0201045	0.0172323	0.0136426	0.0112253	0.0102121	0.0126744	0.0229746	0.024222	0.0437746	0.0979845	0.217736	0.473327
a23	0.120724	0.0776802	0.0942039	0.095357	0.0842895	0.0556035	0.0603276	0.0611137	0.0437583	0.0520954	0.0669897	0.0882066	0.0996505
a87	0.0474053	0.0263748	0.0385448	0.0400052	0.0391968	0.026281	0.034862	0.0477195	0.0598453	0.0988709	0.140303	0.165997	0.234594
</S>	0.00661605	0.00370302	0.00705587	0.00825098	0.0106395	0.0103875	0.0152773	0.0289864	0.0447391	0.0891107	0.160371	0.220138	0.394724
