 	itoua	ajoute	les	piquets	pour	consolider	sa	maison	</S>
a66	0.163872	0.124337	0.158564	0.140552	0.197235	0.135094	0.0428982	0.0226389	0.0148092
a10	0.197964	0.165575	0.111285	0.111159	0.119062	0.126843	0.0740035	0.052773	0.0413365
a87	0.487497	0.153212	0.0748075	0.0588047	0.0776085	0.0594962	0.0269052	0.0306479	0.0310215
a10	0.448739	0.168084	0.0879892	0.048071	0.0704983	0.072794	0.038256	0.0357287	0.0298396
a30	0.429485	0.178517	0.0947574	0.0492568	0.0681518	0.0658574	0.0393905	0.0382603	0.0363242
a10	0.469545	0.159944	0.0839617	0.0429268	0.0595835	0.0571505	0.0433486	0.042898	0.0406418
a50	0.461327	0.154618	0.0874232	0.0427385	0.0581462	0.0583041	0.0452052	0.0482924	0.0439448
a62	0.483932	0.135182	0.088072	0.0321133	0.0592971	0.0516322	0.0399831	0.0638358	0.0459524
a83	0.431981	0.221415	0.159058	0.0545779	0.0507921	0.0286082	0.0132886	0.0201218	0.020157
a18	0.343949	0.279014	0.196691	0.0687229	0.0478324	0.0237096	0.0105754	0.0142834	0.0152222
a75	0.193003	0.201336	0.185445	0.113964	0.10763	0.0703798	0.0328305	0.0419326	0.0534789
a98	0.180711	0.236125	0.232128	0.15203	0.1088	0.0461788	0.0137202	0.0145224	0.0157852
a85	0.113853	0.193978	0.230877	0.196931	0.140905	0.0547114	0.0192974	0.0216931	0.0277547
a5	0.104637	0.199446	0.212338	0.21349	0.138078	0.0576566	0.0205118	0.0227095	0.031133
a21	0.148793	0.226835	0.232703	0.190301	0.111818	0.0427937	0.0150491	0.0143687	0.0173378
a85	0.119615	0.210593	0.219058	0.192119	0.123391	0.0602485	0.0209182	0.0225987	0.0314585
a5	0.113088	0.201327	0.19675	0.178972	0.0974711	0.0518806	0.0317485	0.0453484	0.0834147
a43	0.0612346	0.139257	0.15689	0.200759	0.144913	0.0837012	0.0422749	0.0605577	0.110413
a31	0.0504737	0.0880173	0.0936281	0.144765	0.117136	0.0801103	0.0629811	0.120158	0.24273
a0	0.0355243	0.0792647	0.0851409	0.14253	0.125846	0.12282	0.0807682	0.118629	0.209476
a61	0.0197539	0.0422523	0.0479037	0.091418	0.103739	0.122776	0.135318	0.190386	0.246453
a75	0.020248	0.0465987	0.0513204	0.0941856	0.0999026	0.154807	0.158725	0.167499	0.206713
a21	0.0192245	0.0349215	0.0308803	0.0442793	0.039544	0.063636	0.121943	0.204983	0.440588
a75	0.02978	0.0500133	0.0491268	0.0664014	0.0640463	0.0998262	0.158766	0.202928	0.279112
a98	0.012747	0.0208874	0.0180318	0.0241057	0.0210274	0.0343028	0.124251	0.260173	0.484473
a47	0.00621072	0.00894076	0.00673588	0.00999006	0.00960944	0.0184264	0.0989471	0.276888	0.564252
a37	0.0111553	0.0125208	0.00895471	0.0109111	0.0100144	0.018262	0.0919131	0.238573	0.597695
a43	0.00584934	0.00576281	0.00319468	0.00480717	0.0053188	0.0138264	0.08069	0.234572	0.645979
a75	0.00210536	0.00245367	0.00132805	0.00301573	0.00380293	0.0113507	0.0679737	0.218043	0.689927
a6	0.00273397	0.00374103	0.00245383	0.00550022	0.00682773	0.0183846	0.0880177	0.23196	0.640381
a85	0.00134801	0.00174489	0.00102041	0.00277594	0.00391253	0.0131298	0.0725357	0.221764	0.681769
a5	0.00161867	0.00207929	0.000961597	0.00231126	0.00266265	0.00847789	0.054361	0.224721	0.702806
a18	0.00122289	0.00193622	0.0010363	0.0029301	0.00356777	0.01236	0.0610507	0.2247	0.691197
a47	0.0113277	0.0113172	0.0086231	0.013686	0.0162783	0.0289074	0.097548	0.234162	0.57815
a88	0.0133978	0.00966202	0.00587421	0.010003	0.0151075	0.0265812	0.0901598	0.236408	0.592807
a9	0.017629	0.0148759	0.00852851	0.0127664	0.0127856	0.0191338	0.0743694	0.215332	0.62458
a99	0.114111	0.0616994	0.0336497	0.0310795	0.0303183	0.0392307	0.083985	0.178773	0.427154
a87	0.112291	0.0655576	0.0324078	0.025833	0.033022	0.0424764	0.0839019	0.18884	0.415671
a10	0.107019	0.0613624	0.0317656	0.0250101	0.030935	0.0400481	0.103313	0.223487	0.377059
</S>	0.0586565	0.0420111	0.0186006	0.0171541	0.0221933	0.030248	0.0854525	0.229134	0.49655
