 	ekyéngé	est	utilisé	comme	fil	d'	attache	</S>
a66	0.313117	0.260769	0.172058	0.102546	0.0678361	0.0382218	0.0248255	0.0206266
a87	0.613389	0.239369	0.0832547	0.0249423	0.0120847	0.00813527	0.00861694	0.0102086
a23	0.47725	0.325673	0.1078	0.0268736	0.0154254	0.0122655	0.0141958	0.0205166
a12	0.560887	0.280628	0.0769076	0.0193752	0.0145605	0.0127115	0.0139709	0.0209584
a18	0.610202	0.208349	0.0708413	0.0239647	0.0179286	0.0181814	0.023378	0.0271545
a21	0.53027	0.271936	0.126127	0.0281057	0.0133164	0.010104	0.0100996	0.010041
a5	0.421226	0.348036	0.170943	0.0279371	0.0122786	0.00762018	0.00628688	0.0056725
a12	0.28808	0.334642	0.226264	0.0556757	0.0307825	0.0214024	0.0211068	0.0220454
a21	0.353448	0.32265	0.200639	0.0498592	0.0273784	0.0162585	0.0145709	0.0151962
a92	0.368394	0.274561	0.197306	0.0683723	0.0378832	0.0189625	0.0160441	0.0184769
a98	0.294897	0.244638	0.209712	0.100654	0.0647873	0.0327195	0.024985	0.0276069
a15	0.0929207	0.164842	0.244955	0.195537	0.137156	0.0675607	0.0482564	0.0487716
a7	0.101074	0.136638	0.19149	0.19449	0.15553	0.085085	0.0676154	0.0680767
a44	0.0795664	0.113729	0.145673	0.157321	0.151411	0.107906	0.110382	0.134011
a90	0.0333581	0.0659369	0.114372	0.145513	0.163699	0.13051	0.14668	0.199931
a25	0.0133287	0.0290906	0.0733608	0.163104	0.202082	0.168357	0.16488	0.185797
a79	0.00563488	0.0136849	0.0341051	0.103287	0.183921	0.1925	0.21318	0.253687
a56	0.00731453	0.0171586	0.0374883	0.0880393	0.159426	0.208298	0.229752	0.252523
a96	0.00437439	0.0080963	0.0179446	0.0686336	0.149867	0.220813	0.258719	0.271553
a18	0.00174873	0.00279515	0.00510665	0.0246823	0.0912795	0.201966	0.30563	0.366792
a75	0.00222153	0.00265167	0.00255086	0.0111104	0.0450772	0.13142	0.297461	0.507507
a92	0.000414132	0.000676287	0.00139308	0.00781789	0.0388798	0.137365	0.32184	0.491614
a5	0.000440358	0.000767856	0.00167208	0.00982165	0.0432646	0.142486	0.324922	0.476626
a12	0.000308629	0.00049083	0.000937951	0.00508368	0.0258706	0.112314	0.338561	0.516434
a96	0.000316627	0.000493409	0.00083648	0.00395727	0.0195036	0.0884136	0.298853	0.587626
a18	0.000225267	0.000369498	0.000526966	0.00332751	0.0173744	0.0772517	0.274177	0.626747
a62	0.000718384	0.000947504	0.00132437	0.00896969	0.0344825	0.111023	0.290729	0.551806
a88	0.000468409	0.000751903	0.00107065	0.00643394	0.0267492	0.10064	0.297355	0.56653
a71	0.000792314	0.00114058	0.00151084	0.0105406	0.0401062	0.125408	0.299733	0.520769
a9	0.00373487	0.00346164	0.00449593	0.0206363	0.0577693	0.160534	0.315599	0.433768
a87	0.0989962	0.0887122	0.0584924	0.0793343	0.098664	0.150067	0.198612	0.227122
a23	0.221643	0.224842	0.142446	0.0963942	0.0741338	0.0713339	0.0765508	0.0926559
a99	0.0249921	0.0307361	0.0198925	0.0222199	0.0489711	0.116301	0.262346	0.474541
a97	0.0296827	0.038593	0.0300248	0.0433211	0.0734764	0.128593	0.247422	0.408888
</S>	0.0122624	0.018456	0.0151526	0.0221615	0.0430891	0.0904534	0.239191	0.559234
