 	cette	femme	est	de	petite	taille	</S>
a66	0.342173	0.231978	0.165347	0.093609	0.0651275	0.0554476	0.046318
a87	0.311358	0.199175	0.144044	0.0991559	0.0935396	0.0911002	0.0616275
a23	0.389761	0.272994	0.172924	0.0800808	0.0358925	0.0273012	0.021046
a13	0.384455	0.234657	0.151521	0.0949608	0.0611873	0.0463528	0.0268658
a83	0.452753	0.247067	0.149468	0.080196	0.0360641	0.0213268	0.0131252
a18	0.291423	0.234688	0.206491	0.149747	0.0714159	0.0286561	0.0175787
a83	0.185388	0.183437	0.194573	0.184597	0.139823	0.0699573	0.0422234
a70	0.115309	0.128308	0.174767	0.211456	0.196114	0.105314	0.0687327
a4	0.107425	0.10498	0.139906	0.186179	0.213179	0.149939	0.0983924
a53	0.0626321	0.0594712	0.0810995	0.127992	0.205641	0.242699	0.220465
a20	0.0972569	0.0997739	0.132084	0.165471	0.192506	0.169155	0.143754
a79	0.0744375	0.0837352	0.117074	0.154676	0.199027	0.192289	0.178761
a44	0.0499357	0.0619193	0.0910131	0.138405	0.200296	0.226861	0.23157
a94	0.0253938	0.0359856	0.0581397	0.10783	0.191539	0.279223	0.301889
a62	0.00595863	0.00908516	0.0166197	0.0464551	0.131916	0.321817	0.468149
a12	0.00128093	0.00194527	0.00356216	0.0134733	0.0641366	0.282617	0.632984
a18	0.00132727	0.00196755	0.00335164	0.0113607	0.048534	0.244422	0.689037
a98	0.00144278	0.00257236	0.00421141	0.0134433	0.0511444	0.231109	0.696076
a50	0.00215323	0.00380985	0.00591848	0.016628	0.0476986	0.192579	0.731213
a88	0.00689918	0.0114969	0.01596	0.032945	0.0681439	0.212576	0.651979
a71	0.00713148	0.0110184	0.0144055	0.0292278	0.059808	0.187831	0.690578
a9	0.0186238	0.0204979	0.0231669	0.0390203	0.0754045	0.200687	0.622599
a10	0.10349	0.066811	0.050365	0.0625477	0.104874	0.208771	0.403141
a87	0.167609	0.108311	0.0769996	0.077352	0.0948114	0.164396	0.31052
a23	0.153428	0.10307	0.0828949	0.0815444	0.09543	0.176175	0.307458
a97	0.0871404	0.0727842	0.0802291	0.0961063	0.133438	0.208171	0.322131
</S>	0.0768006	0.0612671	0.0699312	0.0980581	0.155759	0.216553	0.321631
