 	il	est	très	bavard	</S>
a23	0.51105	0.216201	0.0893661	0.0821021	0.101281
a79	0.487063	0.235257	0.109644	0.0751832	0.0928518
a58	0.400418	0.209198	0.120891	0.111344	0.158148
a84	0.452082	0.233621	0.130625	0.103219	0.0804523
a38	0.380406	0.273973	0.150193	0.104454	0.0909728
a12	0.272199	0.22391	0.156402	0.15884	0.18865
a96	0.178786	0.160952	0.149873	0.224873	0.285516
a62	0.16041	0.15247	0.161954	0.223032	0.302135
a61	0.172907	0.167342	0.195377	0.221142	0.243232
a34	0.135581	0.139075	0.206137	0.256525	0.262682
a93	0.074363	0.0928392	0.197075	0.304149	0.331574
a13	0.0418063	0.0554665	0.132054	0.287183	0.48349
a9	0.0130772	0.0151837	0.0476385	0.190471	0.733629
a87	0.0322651	0.0253572	0.0518914	0.152305	0.738181
a23	0.27504	0.144268	0.104502	0.14131	0.33488
a87	0.0698982	0.0540724	0.0952044	0.235617	0.545208
</S>	0.0353382	0.0376055	0.0904716	0.239133	0.597451
