 	cette	femme	a	laissé	son	panier	de	manioc	dans	la	cuisine	</S>
a85	0.285037	0.176675	0.13941	0.10478	0.0775027	0.0520976	0.036966	0.0303123	0.0268207	0.0228798	0.0236774	0.023842
a66	0.346866	0.152623	0.111824	0.0712508	0.0501922	0.0470001	0.0432298	0.0396462	0.0380566	0.0339125	0.032929	0.0324694
a87	0.271967	0.159139	0.0966795	0.0598145	0.0461355	0.0385345	0.0431927	0.0463798	0.0552824	0.0562396	0.0605705	0.0660642
a23	0.261006	0.144443	0.0995807	0.0664469	0.0481304	0.0429504	0.0454357	0.0476712	0.0624675	0.0595616	0.0608471	0.0614595
a57	0.269824	0.146192	0.0968875	0.0549111	0.04037	0.0410525	0.0505498	0.0519801	0.0660913	0.0635677	0.0612173	0.0573569
a13	0.180161	0.138518	0.0951494	0.049633	0.0447275	0.0542428	0.0676694	0.074451	0.080664	0.0730495	0.0656458	0.0760891
a83	0.214802	0.207892	0.155937	0.0804945	0.0574399	0.0558029	0.0501232	0.0438234	0.0418971	0.0354352	0.0274202	0.0289329
a70	0.191535	0.205094	0.156228	0.0899868	0.0581926	0.0507431	0.0473424	0.0438894	0.0432782	0.0408004	0.0349764	0.0379344
a4	0.120135	0.141193	0.132039	0.106183	0.0792535	0.0668708	0.0611132	0.0585909	0.055558	0.0563735	0.0571371	0.0655522
a53	0.0534443	0.086877	0.108528	0.113024	0.092277	0.0803391	0.0749711	0.07305	0.0698483	0.0719827	0.0783319	0.0973273
a69	0.0317532	0.0581104	0.0894771	0.114928	0.100559	0.0856255	0.0844258	0.0832149	0.0779952	0.0769371	0.0843837	0.112591
a15	0.0461262	0.0811839	0.12347	0.142993	0.114786	0.0874387	0.0800576	0.074558	0.0644196	0.0592327	0.0563539	0.0693791
a0	0.0228492	0.0472939	0.0919331	0.1218	0.116681	0.0964105	0.0927069	0.089335	0.0798209	0.0757061	0.0730396	0.0924244
a11	0.015045	0.0270796	0.0551568	0.0816264	0.087617	0.0832278	0.0933808	0.100779	0.0990434	0.104041	0.106924	0.146079
a0	0.0127434	0.016955	0.0343937	0.0740629	0.0877178	0.0779026	0.0863899	0.0921887	0.0941874	0.1017	0.12813	0.193628
a11	0.0308137	0.0348329	0.0542127	0.106951	0.128513	0.0972209	0.091221	0.0860658	0.0785031	0.0737917	0.0856864	0.132188
a70	0.0286265	0.030568	0.0421522	0.0805298	0.117849	0.103408	0.099464	0.0923588	0.0851738	0.0755027	0.0915175	0.15285
a90	0.015831	0.0157741	0.022073	0.0490755	0.0926083	0.0995897	0.109096	0.106798	0.102214	0.094999	0.11848	0.173462
a79	0.0088973	0.01112	0.0192623	0.0457598	0.0940306	0.111725	0.130798	0.135479	0.123885	0.11035	0.103896	0.104797
a37	0.0059618	0.00825788	0.0139986	0.0330073	0.0805955	0.106098	0.129621	0.141633	0.133868	0.123804	0.112269	0.110886
a70	0.00271764	0.00268347	0.00436957	0.0141101	0.0465906	0.0804444	0.117488	0.138909	0.137438	0.12684	0.138417	0.189993
a88	0.0017824	0.00179391	0.0029082	0.00943325	0.0341719	0.0669222	0.105988	0.134905	0.144384	0.139796	0.158375	0.19954
a71	0.00119438	0.00113795	0.00162307	0.00527901	0.0212374	0.0508399	0.0869152	0.117755	0.140632	0.142057	0.179234	0.252096
a9	0.0030888	0.00250663	0.00264056	0.0056106	0.0154888	0.0314469	0.0572437	0.0866533	0.116154	0.145252	0.206461	0.327454
a53	0.0261807	0.0151132	0.0130196	0.0174075	0.0275071	0.0376724	0.0568162	0.0843978	0.116805	0.157049	0.193961	0.254071
a69	0.00170452	0.00158245	0.00184772	0.0041717	0.0131438	0.0335343	0.0653743	0.108354	0.145765	0.164789	0.179138	0.280596
a32	0.000891627	0.000975456	0.00146654	0.00451896	0.0158323	0.0361754	0.0645803	0.101975	0.136941	0.160534	0.188977	0.287132
a54	0.000702803	0.000599117	0.000792961	0.00262794	0.0105571	0.0259554	0.0480109	0.0765717	0.112988	0.148436	0.206845	0.365912
a69	0.000542409	0.000503452	0.000706188	0.00237427	0.00932455	0.0224488	0.0457366	0.0794792	0.116864	0.148322	0.193468	0.380231
a58	0.000202546	0.000239723	0.000406696	0.00183555	0.00793345	0.0203974	0.0433622	0.0788817	0.118028	0.154699	0.196364	0.377649
a13	0.000311043	0.000373541	0.000575656	0.00201494	0.00675272	0.0172933	0.0368298	0.0653542	0.103607	0.153025	0.215944	0.397919
a82	0.000425066	0.00040988	0.000561598	0.00209528	0.00802632	0.0214753	0.0461846	0.0779652	0.11931	0.163775	0.218863	0.340908
a87	0.00712963	0.00431598	0.00419378	0.0084734	0.0181917	0.0306402	0.0510001	0.0790756	0.119256	0.172538	0.226346	0.278839
</S>	0.18406	0.0790394	0.0520411	0.0450058	0.0506234	0.0564132	0.0679498	0.0832992	0.0982905	0.104867	0.0947624	0.0836482
