 	notre	père	a	deux	femmes	</S>
a66	0.430916	0.187531	0.125182	0.125367	0.0758682	0.0551355
a87	0.43184	0.182915	0.143567	0.104244	0.068037	0.0693971
a23	0.591503	0.186249	0.0933384	0.0518755	0.0351249	0.0419088
a26	0.457768	0.183897	0.121305	0.0732163	0.0626436	0.101171
a83	0.445015	0.180559	0.104612	0.0685021	0.0707103	0.130602
a38	0.409455	0.215922	0.128123	0.0846253	0.070631	0.0912438
a24	0.491552	0.263888	0.12833	0.054348	0.0308669	0.0310151
a18	0.411482	0.311665	0.168267	0.0625148	0.0249216	0.0211502
a36	0.341953	0.30692	0.195632	0.0849942	0.0366	0.0339006
a27	0.222586	0.217571	0.190634	0.145955	0.105086	0.118167
a18	0.192258	0.158127	0.164912	0.174362	0.143517	0.166825
a38	0.182944	0.147164	0.156076	0.179843	0.146196	0.187777
a36	0.165404	0.124348	0.130077	0.168176	0.16621	0.245785
a26	0.0821553	0.0578105	0.0701251	0.12464	0.218628	0.446641
a54	0.0834796	0.0646898	0.0821395	0.130951	0.204821	0.433919
a15	0.124645	0.155229	0.14576	0.152087	0.17189	0.250389
a36	0.0416352	0.0659798	0.102932	0.187423	0.279873	0.322156
a40	0.0202452	0.038019	0.0808938	0.183453	0.319398	0.357992
a36	0.018958	0.0333697	0.0652297	0.152786	0.30792	0.421737
a7	0.00811576	0.0169865	0.0426686	0.127707	0.310693	0.493829
a26	0.00356927	0.00756669	0.0228112	0.0821396	0.26843	0.615483
a2	0.0124965	0.014115	0.025187	0.065272	0.232249	0.650681
a57	0.0361723	0.0375816	0.0526539	0.0945245	0.246611	0.532457
a87	0.115299	0.0839435	0.0933429	0.120923	0.220278	0.366213
</S>	0.30996	0.172478	0.126923	0.104992	0.125553	0.160094
