 	cet	enfant	ressent	la	fatigue	</S>
a66	0.517174	0.366925	0.0553782	0.036428	0.0172326	0.00686175
a87	0.420066	0.293917	0.156238	0.0901696	0.0275251	0.0120839
a23	0.415813	0.384145	0.108933	0.0353818	0.0286734	0.0270525
a53	0.245116	0.324744	0.160411	0.0913142	0.0878535	0.0905601
a54	0.310178	0.449246	0.0904144	0.0612517	0.0513586	0.0375514
a6	0.339313	0.438834	0.0859734	0.0565673	0.0442748	0.0350375
a85	0.236482	0.529214	0.143266	0.0609105	0.0202423	0.00988581
a92	0.207895	0.519018	0.161385	0.072633	0.0256453	0.0134245
a25	0.139618	0.41504	0.27453	0.122823	0.0322094	0.0157799
a98	0.0794318	0.237281	0.330167	0.222379	0.0831425	0.0475975
a15	0.11552	0.299904	0.244625	0.19931	0.0964741	0.044167
a79	0.0891311	0.163374	0.184546	0.257543	0.194372	0.111034
a56	0.0951369	0.097875	0.159634	0.213893	0.225868	0.207592
a21	0.0154794	0.0193571	0.0994927	0.189719	0.311188	0.364765
a12	0.00504015	0.00585697	0.0295427	0.0903073	0.281722	0.587531
a43	0.00328847	0.00345874	0.018483	0.0494494	0.208067	0.717253
a31	0.00412912	0.00295696	0.0163363	0.0415111	0.208038	0.727028
a21	0.00413134	0.00265153	0.0167681	0.0602606	0.265401	0.650788
a12	0.0014816	0.00111078	0.0105806	0.0433299	0.224019	0.719478
a18	0.00131026	0.00104167	0.00839987	0.0356661	0.21809	0.735493
a25	0.0371728	0.0204484	0.0466105	0.0833525	0.233016	0.5794
a87	0.136981	0.0829931	0.10257	0.102022	0.171841	0.403593
a23	0.443368	0.365298	0.113882	0.0321777	0.0218328	0.0234412
a99	0.130375	0.124637	0.202005	0.0922581	0.140029	0.310696
a38	0.0486957	0.0670615	0.136452	0.0795806	0.165981	0.502229
</S>	0.0342338	0.0603988	0.112007	0.112907	0.207438	0.473014
