 	nous	sommes	arrivés	au	bout	de	cette	route	</S>
a66	0.355873	0.188523	0.0896724	0.0639254	0.0754205	0.0857159	0.0684857	0.0406825	0.0317007
a87	0.401245	0.168755	0.0764823	0.0597492	0.0629841	0.0714505	0.0660376	0.048202	0.0450936
a23	0.413588	0.295525	0.134888	0.0428592	0.0230042	0.0181338	0.0190371	0.0220248	0.0309407
a97	0.326806	0.25491	0.196708	0.0700108	0.0253208	0.0147129	0.0225963	0.0346098	0.0543254
a83	0.390378	0.197892	0.162078	0.0782625	0.0397431	0.0225861	0.0253238	0.0346017	0.0491349
a9	0.45787	0.251562	0.153665	0.0467646	0.026325	0.0163012	0.0153038	0.0160378	0.0161707
a24	0.222866	0.18036	0.237563	0.128208	0.0848768	0.0458892	0.0339791	0.0327832	0.0334742
a88	0.0779785	0.147598	0.28479	0.240741	0.129145	0.050659	0.0258277	0.0223343	0.0209261
a61	0.0456085	0.120711	0.278151	0.284816	0.151682	0.0545218	0.0236501	0.0205358	0.0203238
a12	0.031742	0.12808	0.321693	0.300295	0.12253	0.039629	0.018404	0.0174526	0.0201752
a31	0.0414228	0.12145	0.271708	0.293151	0.146246	0.053263	0.0244812	0.0222578	0.0260199
a0	0.0473296	0.115549	0.235206	0.282549	0.16087	0.0701799	0.0318022	0.0274475	0.0290663
a11	0.0257246	0.0419966	0.115827	0.259079	0.232941	0.133143	0.0655955	0.0586898	0.0670045
a0	0.0213758	0.0257184	0.0726403	0.200933	0.223477	0.172386	0.111457	0.085386	0.0866254
a11	0.0264333	0.0252929	0.0540971	0.14305	0.199775	0.192225	0.138129	0.108764	0.112234
a71	0.0185575	0.012247	0.0257968	0.0596689	0.0985288	0.169106	0.197582	0.200195	0.218318
a9	0.0091699	0.00677534	0.0112783	0.0183732	0.0289124	0.0913219	0.198732	0.279197	0.35624
a38	0.0062994	0.00489745	0.00491697	0.00685626	0.0100265	0.0405128	0.146973	0.283113	0.496404
a93	0.00113602	0.000699917	0.000973325	0.00187436	0.00385962	0.0246716	0.149076	0.313156	0.504553
a4	0.000394589	0.000230553	0.000494124	0.00167768	0.00407208	0.023733	0.124177	0.317983	0.527237
a13	0.000368833	0.000229604	0.000416146	0.00126245	0.00267093	0.0164891	0.101869	0.317568	0.559126
a3	0.000162635	6.71757e-05	8.86467e-05	0.000368769	0.00115751	0.0114088	0.0841065	0.307767	0.594873
a87	0.00569691	0.00273987	0.00145078	0.00304871	0.00606398	0.0232399	0.0919191	0.255065	0.610776
</S>	0.268094	0.14568	0.0563248	0.0381185	0.0410234	0.064253	0.0994505	0.125277	0.161778
