 	l'	alima	est	un	affluent	du	fleuve	congo	</S>
a23	0.365374	0.196021	0.0897804	0.0671465	0.0527915	0.0421956	0.0444175	0.0603038	0.0819691
a83	0.500606	0.0886418	0.0464991	0.0648626	0.0694144	0.0623861	0.0473002	0.0574263	0.0628632
a26	0.291565	0.18202	0.106659	0.123106	0.110722	0.0746546	0.0511621	0.0348392	0.0252731
a24	0.43798	0.298468	0.135697	0.0686469	0.0294789	0.0116102	0.00695396	0.00600729	0.00515836
a35	0.49468	0.278056	0.122386	0.0585389	0.0228933	0.00875018	0.00529608	0.00488453	0.00451444
a30	0.468037	0.228255	0.132195	0.0800959	0.0410688	0.0181113	0.0128859	0.010061	0.00929023
a35	0.343573	0.246841	0.160491	0.10541	0.0666889	0.029358	0.0200794	0.0143753	0.0131846
a30	0.331697	0.257795	0.156239	0.102033	0.0709602	0.03219	0.0206636	0.0148271	0.0135955
a57	0.244323	0.27688	0.197686	0.120075	0.0768374	0.0310221	0.0212498	0.0155473	0.0163799
a87	0.1852	0.163175	0.168949	0.143582	0.164424	0.0681803	0.0427496	0.029542	0.0341988
a23	0.103864	0.098337	0.090123	0.0996271	0.192732	0.133295	0.111797	0.0796823	0.0905424
a35	0.173437	0.127684	0.081282	0.0790328	0.176901	0.11164	0.0939446	0.0691281	0.0869507
a30	0.287295	0.199063	0.126339	0.0929346	0.107134	0.0628008	0.0489222	0.038412	0.0371005
a44	0.121265	0.0917	0.0960656	0.110043	0.18452	0.121799	0.101466	0.0836186	0.0895224
a57	0.143585	0.0941506	0.0911696	0.104178	0.189807	0.117688	0.093852	0.0786351	0.0869353
a38	0.120208	0.0818587	0.069706	0.0744866	0.168825	0.124996	0.113336	0.106319	0.140264
a14	0.138367	0.0992546	0.0929131	0.10258	0.177534	0.114827	0.0945706	0.0837796	0.0961741
a35	0.0968781	0.0873609	0.0922089	0.0942063	0.128309	0.103793	0.109982	0.123764	0.163498
a30	0.0619095	0.0615483	0.0622437	0.0720867	0.135117	0.121454	0.129546	0.145245	0.210851
a57	0.0681138	0.0605697	0.0508076	0.0593357	0.147307	0.12692	0.127049	0.146168	0.21373
a87	0.0366366	0.0299886	0.0219629	0.0224818	0.0928115	0.108217	0.149582	0.204168	0.334151
a23	0.0226364	0.0159731	0.013663	0.0218426	0.105117	0.132803	0.179029	0.200572	0.308364
a10	0.0287799	0.0174103	0.0152151	0.0209868	0.0916451	0.10375	0.142084	0.203023	0.377106
a11	0.0169242	0.00976712	0.0095349	0.0140822	0.0684246	0.0859919	0.137892	0.221253	0.43613
a75	0.0134185	0.0102508	0.0120838	0.0195021	0.0778316	0.0994764	0.153719	0.250982	0.362737
a41	0.0183125	0.0160616	0.0267587	0.0457266	0.0994067	0.109826	0.134112	0.199086	0.35071
a35	0.00692103	0.00897736	0.0145754	0.023904	0.0693368	0.0914314	0.129376	0.240345	0.415132
a26	0.00381363	0.00441437	0.00648688	0.010924	0.0419532	0.0667204	0.119724	0.274843	0.47112
a98	0.0022004	0.00203497	0.00267062	0.00618797	0.0347796	0.0626854	0.126304	0.286481	0.476657
a41	0.00210456	0.00254117	0.00397625	0.0076275	0.031194	0.0551596	0.113195	0.277175	0.507027
a14	0.00714372	0.00833873	0.0111277	0.0155958	0.0460386	0.0678111	0.124064	0.25966	0.460221
a2	0.0168199	0.020827	0.0223806	0.0226768	0.0447775	0.0598505	0.109255	0.248414	0.454999
a58	0.00437911	0.0040514	0.00473849	0.00862638	0.0451307	0.0701134	0.12947	0.245565	0.487926
a53	0.0144293	0.0087783	0.00882029	0.0121005	0.0393919	0.0729773	0.153957	0.280536	0.40901
a4	0.00806969	0.00436633	0.00460156	0.00862402	0.0340522	0.0696374	0.123316	0.269807	0.477526
a83	0.00951943	0.00716259	0.00755853	0.0123596	0.0384441	0.0714019	0.123459	0.261164	0.468931
a30	0.0168317	0.00975655	0.00909183	0.0152193	0.0507718	0.0850686	0.138569	0.266005	0.408687
a4	0.00747419	0.00433913	0.00594928	0.0158421	0.0623123	0.109297	0.187721	0.297697	0.309368
a13	0.0264423	0.0149685	0.0132967	0.0237351	0.0647625	0.102891	0.155968	0.256661	0.341276
a9	0.0590171	0.0297711	0.0208499	0.0305247	0.0664869	0.102174	0.153506	0.232277	0.305393
a99	0.038371	0.0210792	0.0165705	0.0256749	0.0633298	0.0955729	0.16486	0.269123	0.305419
a87	0.0586188	0.0335085	0.0225735	0.0256089	0.0614249	0.0933019	0.174113	0.264486	0.266364
</S>	0.102461	0.0501261	0.0244633	0.0215771	0.0414479	0.0616059	0.130546	0.246956	0.320817
