 	attends-moi	j'	arrive	</S>
a23	0.458031	0.332634	0.115516	0.093819
a53	0.294339	0.400367	0.178455	0.126839
a94	0.460991	0.356803	0.101606	0.0806001
a30	0.490949	0.304525	0.131101	0.073425
a41	0.430178	0.2837	0.163377	0.122745
a26	0.324299	0.251169	0.211184	0.213348
a24	0.162942	0.18604	0.277981	0.373037
a41	0.0658842	0.105483	0.275838	0.552795
a94	0.0480932	0.0877572	0.248511	0.615638
a41	0.0439214	0.0781466	0.210197	0.667735
a24	0.0649644	0.109549	0.226275	0.599211
a31	0.0575	0.10538	0.229511	0.607609
a24	0.0539065	0.0917604	0.207843	0.646491
a21	0.0596829	0.0972496	0.197138	0.64593
a41	0.0396257	0.0727912	0.195177	0.692406
a73	0.06317	0.113281	0.222355	0.601194
a2	0.0516525	0.126145	0.23281	0.589393
a57	0.0524367	0.116875	0.222861	0.607827
a87	0.0861372	0.177477	0.251608	0.484778
</S>	0.125139	0.162749	0.235323	0.47679
