 	la	pâte	du	sésame	cuite	à	l'	étouffée	est	un	mets	succulent	</S>
a66	0.128581	0.119519	0.0752742	0.0389626	0.0402491	0.113283	0.154259	0.149961	0.123048	0.0377975	0.0126217	0.00478227	0.00166192
a87	0.267253	0.156355	0.10886	0.0628678	0.0581302	0.0754555	0.0869126	0.0707465	0.0522382	0.0310375	0.019548	0.00714257	0.00345381
a23	0.225282	0.138202	0.0799556	0.100813	0.119333	0.157934	0.0829461	0.0438563	0.0217237	0.0113581	0.00773334	0.00566682	0.00519668
a5	0.170449	0.121031	0.0815169	0.0948991	0.109805	0.162159	0.105915	0.0654357	0.040576	0.0191355	0.0117691	0.0084333	0.0088746
a18	0.148844	0.135163	0.0972609	0.0707332	0.0704826	0.0933264	0.0851628	0.063247	0.066506	0.0435988	0.0460134	0.0523733	0.0272882
a90	0.121968	0.175732	0.165061	0.137309	0.0826596	0.0679275	0.0852333	0.0555593	0.0464658	0.025142	0.0181179	0.0151118	0.00371188
a15	0.135698	0.194906	0.150919	0.0976916	0.060597	0.0611649	0.0835682	0.0616109	0.0622448	0.0414906	0.0280449	0.0170049	0.00505956
a25	0.0902932	0.166667	0.139903	0.0796156	0.0496737	0.0428625	0.0609374	0.0534002	0.0701243	0.0839857	0.0777911	0.0584163	0.0263295
a69	0.0947924	0.132392	0.139809	0.102846	0.071931	0.0568384	0.0664138	0.0569924	0.0617763	0.0714993	0.0644296	0.0507254	0.0295544
a20	0.0886455	0.11362	0.110665	0.111378	0.108852	0.0818218	0.0777496	0.062592	0.0552823	0.0434407	0.044168	0.04904	0.0527447
a94	0.0780466	0.0894907	0.0903156	0.0795042	0.0773619	0.0686088	0.0793268	0.0770332	0.0884099	0.0870832	0.0696646	0.0566779	0.0584767
a96	0.0523974	0.0478055	0.0447239	0.0564822	0.0981706	0.103139	0.118175	0.116268	0.117085	0.0907595	0.0551402	0.0466357	0.053218
a75	0.0462894	0.0406306	0.0336369	0.0391251	0.0767457	0.0895735	0.119406	0.127513	0.152228	0.128274	0.0628847	0.0397348	0.0439582
a92	0.0218233	0.0194208	0.0189889	0.0247616	0.0477631	0.0628367	0.0932711	0.114298	0.153455	0.167365	0.110263	0.0797957	0.0859581
a98	0.0160207	0.0150786	0.0169245	0.0192813	0.0308194	0.0443091	0.0657254	0.0842075	0.120172	0.159954	0.141293	0.140692	0.145522
a79	0.011229	0.011021	0.0171834	0.0199273	0.0323673	0.0379495	0.0519161	0.0669369	0.0876906	0.127013	0.139862	0.176436	0.220468
a36	0.0117412	0.0102552	0.0144265	0.0171235	0.0316234	0.0353619	0.0513735	0.069335	0.0974614	0.145911	0.180393	0.177956	0.157038
a37	0.00896685	0.00802295	0.0100799	0.0167512	0.0549754	0.0472418	0.0677267	0.0946385	0.0945577	0.098712	0.147013	0.142666	0.208648
a93	0.00811668	0.00801425	0.00993084	0.0139923	0.0362902	0.0300186	0.0429747	0.0652924	0.0729303	0.0783824	0.147122	0.19469	0.292246
a4	0.0046651	0.00467452	0.00580002	0.00667088	0.0110252	0.00987303	0.0140168	0.0219005	0.0320011	0.0509889	0.15873	0.288221	0.391432
a57	0.00485479	0.00533486	0.00692034	0.00867214	0.0154959	0.0109968	0.0111387	0.0143943	0.0171919	0.0244063	0.101253	0.261847	0.517494
a3	0.00745114	0.00685017	0.0131394	0.0354493	0.0725791	0.0486716	0.0385787	0.0478186	0.0393261	0.0378281	0.0879397	0.157612	0.406756
a87	0.0190388	0.0178365	0.0218013	0.0291246	0.0484525	0.0562725	0.0730647	0.0942295	0.0855735	0.0893789	0.134998	0.141495	0.188734
a23	0.0605954	0.0336216	0.0281065	0.0243452	0.0466375	0.0660394	0.078569	0.0851046	0.074746	0.0813301	0.12893	0.132198	0.159777
a62	0.0142573	0.0085732	0.00980993	0.0107306	0.0152996	0.0214424	0.0367567	0.0482625	0.0476038	0.0786723	0.165366	0.280411	0.262814
a88	0.00071964	0.000599971	0.000713128	0.000857355	0.00368449	0.00357446	0.00994426	0.015027	0.0208115	0.0421791	0.14623	0.35044	0.40522
a93	0.00131494	0.00118677	0.0013525	0.00129545	0.0038406	0.00299965	0.0078143	0.0120055	0.0165023	0.034279	0.110497	0.245245	0.561667
a44	0.00178815	0.00166968	0.00187135	0.00191513	0.00551235	0.0044489	0.0101121	0.0152373	0.0197365	0.0328128	0.0957036	0.244702	0.56449
a61	0.00137427	0.00134916	0.00153475	0.00193686	0.00610721	0.00569086	0.00964671	0.01535	0.0191707	0.026818	0.0903553	0.255774	0.564892
a21	0.00115907	0.00120632	0.00106141	0.00103101	0.00237647	0.00332634	0.00642108	0.011572	0.017387	0.0279423	0.0850347	0.252179	0.589303
a12	0.000596638	0.000647575	0.000534718	0.000508358	0.00108495	0.00154001	0.00258641	0.00459882	0.00755487	0.0178425	0.0742623	0.259912	0.628331
a75	0.0007731	0.000755998	0.000673816	0.000651263	0.00130229	0.00161877	0.00242908	0.00377667	0.00531319	0.0120145	0.0591834	0.180697	0.730811
a25	0.000286434	0.000302534	0.000348912	0.000419874	0.000737031	0.000728672	0.000969071	0.00168826	0.00252276	0.00820769	0.0483662	0.176766	0.758656
a79	0.000150656	0.000176498	0.000309387	0.000734741	0.00144568	0.00081632	0.000738334	0.00107579	0.00136766	0.00380236	0.0235243	0.103187	0.862672
a25	0.000649035	0.000517266	0.000852673	0.00144167	0.00210551	0.00135699	0.00143436	0.00223945	0.00303561	0.00653026	0.0416507	0.12034	0.817847
a79	0.000279376	0.000226973	0.000382359	0.000722264	0.00105744	0.000499867	0.000562799	0.000862161	0.00120035	0.00274072	0.01838	0.0782721	0.894814
a92	0.000609651	0.000452131	0.000667263	0.00101181	0.00120442	0.000654054	0.000780262	0.00119239	0.00160323	0.00421945	0.0286271	0.116304	0.842674
a37	0.00066163	0.000437676	0.000685517	0.00107714	0.00158712	0.00095611	0.00109398	0.00163555	0.00221398	0.00503492	0.0378686	0.140567	0.806181
a18	0.000661988	0.000491792	0.000709096	0.000929766	0.00112429	0.000668608	0.000862421	0.00123597	0.00148358	0.00319063	0.0254818	0.125153	0.838008
a9	0.0147641	0.0130287	0.0117972	0.00998458	0.0106195	0.00734869	0.00699363	0.00659873	0.0061542	0.00891834	0.0336065	0.0835137	0.786672
a97	0.135397	0.0732765	0.0744079	0.0505951	0.0391387	0.0294589	0.0349118	0.0362996	0.0334793	0.0400929	0.0586175	0.0908537	0.303471
a87	0.165428	0.0684217	0.0636355	0.0502771	0.0552541	0.064922	0.0737823	0.0723942	0.0603822	0.059452	0.067154	0.0694356	0.129462
a23	0.116624	0.0496499	0.0460355	0.0427936	0.057872	0.0775257	0.0964144	0.105135	0.0788871	0.0738312	0.0794188	0.05969	0.116123
a87	0.0736919	0.0343633	0.0375197	0.0395992	0.0612165	0.0507117	0.0460372	0.040034	0.0266218	0.0342405	0.058238	0.0856881	0.412038
</S>	0.055796	0.0273275	0.0260663	0.0287889	0.0579104	0.0447251	0.0380183	0.0265528	0.0171005	0.0210059	0.0364513	0.0642356	0.556021
