 	vous	pouvez	puiser	l'	eau	du	puits	vous-mêmes	</S>
a23	0.144786	0.121088	0.148814	0.156522	0.159648	0.119182	0.070394	0.0542952	0.0252712
a99	0.272622	0.153669	0.14053	0.125665	0.107404	0.0868399	0.0679181	0.0323654	0.0129864
a50	0.309777	0.203282	0.112993	0.0824212	0.0687963	0.0587099	0.0645684	0.0555383	0.0439143
a62	0.570436	0.240064	0.0741627	0.0383694	0.0351129	0.017558	0.0133699	0.00810677	0.00281973
a47	0.506002	0.259816	0.116947	0.0411008	0.0310301	0.0177303	0.0143015	0.00977041	0.00330155
a34	0.285256	0.336867	0.20946	0.0533777	0.0390175	0.0261629	0.0235544	0.0198954	0.00640931
a56	0.358644	0.310198	0.172154	0.0485055	0.0384465	0.0256469	0.0205836	0.0181538	0.00766784
a66	0.232042	0.283468	0.220501	0.0738044	0.05904	0.0433422	0.0339006	0.0382242	0.0156776
a9	0.13063	0.207157	0.20277	0.108825	0.0916598	0.0818593	0.0679496	0.0652534	0.0438964
a38	0.0504431	0.0752744	0.13001	0.121886	0.105039	0.115354	0.127464	0.12604	0.14849
a90	0.0747146	0.0933907	0.163925	0.119641	0.101318	0.0942974	0.094728	0.121946	0.13604
a25	0.0569859	0.107084	0.256314	0.158645	0.132909	0.0921935	0.059306	0.0827115	0.0538509
a44	0.0347873	0.0694267	0.193478	0.183614	0.155634	0.126342	0.0847488	0.0911947	0.0607745
a37	0.0409483	0.0632209	0.19041	0.200122	0.179941	0.127592	0.0721246	0.0711329	0.0545083
a54	0.0315952	0.0446628	0.157185	0.191408	0.175231	0.134287	0.0851612	0.0958045	0.0846661
a47	0.0285808	0.030843	0.0517649	0.0815366	0.0844427	0.0877859	0.099091	0.207381	0.328574
a37	0.0328905	0.0331595	0.0715912	0.134024	0.132919	0.115077	0.0950057	0.156289	0.229043
a62	0.0251552	0.0260619	0.0637314	0.148981	0.161018	0.162697	0.128302	0.153892	0.130161
a83	0.0337325	0.0322416	0.0590866	0.0958706	0.108646	0.11702	0.125194	0.226522	0.201688
a62	0.0152693	0.0146695	0.0369704	0.09001	0.105762	0.128718	0.132368	0.228051	0.248182
a21	0.0157033	0.0148716	0.0296318	0.0551817	0.0643746	0.0837377	0.109573	0.246349	0.380577
a5	0.0204327	0.016757	0.024841	0.0511324	0.0626571	0.0848908	0.116631	0.249312	0.373346
a18	0.0145173	0.0117225	0.0189012	0.0348581	0.0413902	0.057615	0.091548	0.25309	0.476358
a62	0.00256685	0.0023954	0.00559436	0.0125366	0.0153429	0.0301144	0.068626	0.194136	0.668687
a96	0.00498623	0.00463738	0.00839054	0.0150482	0.0168967	0.0277026	0.0542009	0.168726	0.699412
a62	0.00277838	0.00260872	0.00569749	0.00962072	0.0114852	0.0219158	0.0506299	0.174524	0.72074
a34	0.00233467	0.00232625	0.00501107	0.00853799	0.00993975	0.0189603	0.0470844	0.158798	0.747007
a12	0.00149199	0.00155978	0.00433452	0.00948602	0.0114564	0.0231298	0.0548384	0.161636	0.732067
a62	0.00162126	0.0016779	0.00391505	0.00732319	0.00880211	0.0191256	0.0480536	0.146658	0.762824
a88	0.00160335	0.00180562	0.00425827	0.00723532	0.0084535	0.0183645	0.0489914	0.151349	0.757939
a71	0.00102523	0.00093338	0.00199834	0.00525709	0.00659701	0.0179035	0.0641742	0.176651	0.725461
a9	0.00302119	0.00193929	0.00273374	0.00851501	0.0112761	0.0305163	0.0773935	0.185265	0.67934
a10	0.0188062	0.00876474	0.00918275	0.0232239	0.0307766	0.0692907	0.126647	0.235901	0.477407
a87	0.0941551	0.0418543	0.028349	0.0574684	0.0678365	0.099749	0.139766	0.143937	0.326885
a23	0.0745285	0.0484367	0.0508632	0.0949114	0.101673	0.126325	0.151762	0.117421	0.23408
a87	0.0573446	0.0246878	0.0294497	0.0662838	0.0642826	0.0811574	0.148659	0.12837	0.399764
</S>	0.0240137	0.0176016	0.0355234	0.0588715	0.0524416	0.065943	0.126225	0.111102	0.508278
