 	il	a	acheté	beaucoup	de	bananes	</S>
a66	0.321478	0.210429	0.124446	0.0723927	0.0713648	0.094555	0.105334
a87	0.303292	0.203329	0.12841	0.0816484	0.0728876	0.0833262	0.127108
a23	0.485816	0.201226	0.0945157	0.0538884	0.0441744	0.0522509	0.0681288
a79	0.396943	0.228013	0.0914057	0.0528963	0.052084	0.063472	0.115186
a20	0.265417	0.168564	0.12778	0.0741493	0.0777524	0.10578	0.180558
a7	0.272188	0.195294	0.168608	0.0897304	0.0752389	0.0890065	0.109934
a11	0.22907	0.28187	0.304853	0.0692631	0.0378075	0.0338611	0.0432755
a90	0.231477	0.297465	0.27449	0.0615076	0.0382925	0.0387949	0.0579717
a94	0.202406	0.25093	0.27289	0.0908302	0.0539596	0.0539803	0.0750033
a98	0.167645	0.191725	0.251151	0.117898	0.0764405	0.080568	0.114573
a47	0.178885	0.18858	0.261391	0.132737	0.0776819	0.073954	0.0867709
a36	0.13131	0.10544	0.154421	0.141379	0.115719	0.146166	0.205565
a90	0.114809	0.0842791	0.117949	0.167223	0.138844	0.160332	0.216563
a79	0.0629553	0.0518284	0.107622	0.183589	0.165621	0.186979	0.241406
a98	0.042273	0.0355035	0.0772492	0.158029	0.180362	0.219731	0.286853
a85	0.031643	0.0290573	0.0570246	0.118648	0.198922	0.271875	0.29283
a5	0.0194312	0.0175685	0.0320085	0.0682293	0.163787	0.308897	0.390079
a61	0.0320676	0.0249077	0.0387814	0.0703801	0.124913	0.28164	0.42731
a43	0.0265381	0.0227297	0.0356869	0.0690392	0.120895	0.266767	0.458343
a88	0.00580382	0.00554881	0.0114903	0.0326333	0.0917192	0.230763	0.622041
a9	0.00403749	0.00355943	0.00680996	0.0188177	0.0674364	0.20146	0.697879
a87	0.00773486	0.00632426	0.0143661	0.0408762	0.0987972	0.237584	0.594317
a23	0.140442	0.0815081	0.0986448	0.103059	0.107712	0.174114	0.29452
a87	0.0234826	0.01764	0.0392411	0.0691355	0.144444	0.293839	0.412218
</S>	0.00704347	0.0058362	0.0149395	0.0400383	0.126223	0.337317	0.468603
