 	raconte-moi	comment	as-tu	fait	ton	mariage	</S>
a66	0.470574	0.214796	0.14074	0.0943295	0.0526278	0.0159471	0.0109855
a87	0.349586	0.212544	0.170856	0.126656	0.0746071	0.0353434	0.0304078
a97	0.44459	0.255175	0.171295	0.0716981	0.0268348	0.0143663	0.0160412
a87	0.469601	0.239262	0.169619	0.0728456	0.0257258	0.0111463	0.0118004
a23	0.457878	0.238881	0.168175	0.0781086	0.0295348	0.0132486	0.0141736
a97	0.4424	0.194231	0.141959	0.0860512	0.0557337	0.0359232	0.0437022
a87	0.454927	0.173825	0.13242	0.0980285	0.065999	0.0386273	0.0361739
a99	0.47256	0.164057	0.122042	0.0915289	0.0658605	0.0420261	0.0419259
a87	0.417878	0.165975	0.121806	0.101109	0.0810198	0.054922	0.0572892
a99	0.462142	0.156538	0.115219	0.0953451	0.0739949	0.0505197	0.046242
a30	0.378228	0.15656	0.113717	0.102513	0.0891674	0.0747421	0.0850731
a53	0.291066	0.192166	0.14741	0.130833	0.0980507	0.0725074	0.067967
a70	0.247644	0.210568	0.150269	0.127515	0.119247	0.0742487	0.0705072
a98	0.163216	0.200916	0.179928	0.15439	0.132348	0.0909989	0.0782032
a70	0.183789	0.20022	0.179911	0.141933	0.114369	0.0920523	0.0877249
a44	0.166921	0.187153	0.189146	0.144881	0.111096	0.0985278	0.102275
a56	0.174569	0.180978	0.179085	0.136769	0.109641	0.102867	0.11609
a70	0.159301	0.172041	0.17423	0.144458	0.116249	0.10932	0.124402
a98	0.120532	0.147217	0.171266	0.146677	0.123347	0.127165	0.163796
a62	0.132272	0.175923	0.189102	0.154442	0.115447	0.10361	0.129204
a98	0.0528055	0.0886001	0.138793	0.136045	0.140448	0.181934	0.261374
a71	0.0687082	0.137138	0.168926	0.167827	0.162417	0.141218	0.153766
a38	0.0566594	0.0928593	0.130376	0.12812	0.140325	0.16704	0.28462
a24	0.0629794	0.0936221	0.118358	0.124126	0.16031	0.166482	0.274121
a62	0.023278	0.0433834	0.0590577	0.0823282	0.171149	0.237873	0.382931
a50	0.0208624	0.0399615	0.0562867	0.0791499	0.163601	0.266242	0.373897
a83	0.0143515	0.0267395	0.0390987	0.0610016	0.143775	0.313113	0.401921
a18	0.00981397	0.0187974	0.0297178	0.0475338	0.134625	0.308839	0.450673
a38	0.0240795	0.0270688	0.0348279	0.0517831	0.105977	0.312145	0.444119
a69	0.00964935	0.0125438	0.0192152	0.0334368	0.0789968	0.302143	0.544016
a58	0.0125994	0.0177231	0.0250615	0.0331412	0.0790729	0.253135	0.579267
a82	0.00243446	0.00452015	0.00765922	0.0140466	0.0410764	0.256598	0.673666
a87	0.0222198	0.0183625	0.0201045	0.0248319	0.0548547	0.258941	0.600686
a23	0.258192	0.113745	0.0838209	0.0752429	0.084076	0.159361	0.225561
a87	0.158753	0.122388	0.0864951	0.0852866	0.113975	0.192313	0.24079
a23	0.0674896	0.0673096	0.0696924	0.0760464	0.119837	0.249985	0.34964
a87	0.0844782	0.0816952	0.0897922	0.0919468	0.125235	0.229632	0.29722
a23	0.0961434	0.0968854	0.101582	0.0922958	0.110557	0.196434	0.306102
a87	0.145647	0.149542	0.136928	0.110222	0.105817	0.145055	0.206789
</S>	0.13933	0.123116	0.116952	0.0996603	0.111667	0.162457	0.246818
