 	ses	collègues	de	classe	l'	ont	raisonné	parce	qu'	il	est	trop	orgueilleux	</S>
a23	0.197073	0.152382	0.160977	0.124491	0.0623138	0.0439288	0.0376011	0.0375715	0.0313559	0.0290502	0.0302588	0.0342943	0.0308612	0.0278417
a40	0.150891	0.0502538	0.0384747	0.0437521	0.0300198	0.0265006	0.0312413	0.0428582	0.0496149	0.052165	0.0751794	0.120361	0.141726	0.146962
a44	0.236777	0.149488	0.10677	0.0462458	0.036915	0.0311268	0.0221273	0.041398	0.0417955	0.0387878	0.0503164	0.0706954	0.066091	0.0614658
a66	0.57016	0.147114	0.0587651	0.0289285	0.0154291	0.0131944	0.0126402	0.0211515	0.0178979	0.0161083	0.0208418	0.02782	0.0282369	0.0217126
a61	0.503029	0.111172	0.0667066	0.059141	0.0300489	0.0195642	0.0192038	0.0278183	0.0260258	0.0256045	0.0294329	0.0328802	0.0270985	0.0222736
a75	0.480725	0.144491	0.0917572	0.0682132	0.0403807	0.0242298	0.0188313	0.0266393	0.0205527	0.0170731	0.018304	0.0184682	0.0161084	0.0142257
a44	0.229288	0.143125	0.123299	0.0946537	0.0709779	0.0462026	0.0346624	0.0403252	0.0345852	0.0330625	0.0356664	0.0383625	0.0372751	0.0385142
a98	0.218555	0.149454	0.147264	0.133888	0.0780596	0.0467896	0.0336972	0.0371597	0.0284536	0.0248538	0.0257293	0.0270176	0.0257072	0.0233715
a85	0.149512	0.153432	0.125591	0.0945442	0.0822283	0.0621164	0.0433929	0.0423228	0.0366538	0.0358776	0.036359	0.0394486	0.0477202	0.0508006
a37	0.162859	0.151893	0.12243	0.09988	0.0870332	0.0627501	0.0421574	0.0424879	0.0364803	0.0359894	0.0354572	0.0367659	0.0422267	0.0415893
a26	0.193304	0.184592	0.145564	0.122935	0.0852606	0.0570585	0.0376687	0.0384879	0.0283549	0.0237905	0.0222233	0.0216318	0.019809	0.0193201
a40	0.120733	0.158639	0.143497	0.153648	0.107076	0.0717436	0.0485958	0.0486761	0.033964	0.0272763	0.0244865	0.0234209	0.0195378	0.0187055
a90	0.0380984	0.0634964	0.0811929	0.0889014	0.0972429	0.0854449	0.0727904	0.0714031	0.0719374	0.0720312	0.0661227	0.0632796	0.0618972	0.0661613
a15	0.0475752	0.0806736	0.104355	0.115204	0.113061	0.0867217	0.0707572	0.0668953	0.0628524	0.0607008	0.0535357	0.0480758	0.0450485	0.0445431
