 	leur	oncle	est	un	grand	réparateur	de	télévision	</S>
a66	0.161753	0.153068	0.217307	0.21385	0.148519	0.0638124	0.0259198	0.01025	0.0055211
a87	0.291696	0.194454	0.1576	0.139205	0.101519	0.0648766	0.0285764	0.0126297	0.0094443
a23	0.308557	0.268405	0.189416	0.117272	0.0621031	0.0277137	0.0119651	0.00727005	0.00729699
a99	0.303054	0.269921	0.133884	0.070294	0.0462701	0.0367765	0.0337718	0.0441927	0.0618356
a54	0.146392	0.146677	0.101848	0.0745176	0.0699506	0.095165	0.0828046	0.118609	0.164037
a47	0.10517	0.101494	0.103306	0.124197	0.156058	0.163046	0.0800298	0.0804973	0.0862026
a44	0.175983	0.120552	0.112986	0.132187	0.137253	0.144968	0.0845851	0.0569926	0.0344924
a93	0.113848	0.0900041	0.080581	0.0883352	0.112658	0.228215	0.142254	0.0931421	0.0509625
a56	0.141542	0.123484	0.11586	0.123403	0.142179	0.177854	0.0857647	0.0524077	0.037506
a34	0.106376	0.100446	0.110923	0.124689	0.150002	0.191102	0.0993158	0.0651678	0.0519782
a92	0.0827141	0.0905077	0.118748	0.140545	0.169953	0.19352	0.0899172	0.0604921	0.0536029
a37	0.0502695	0.0665065	0.0983954	0.113247	0.131654	0.179313	0.137918	0.112696	0.109999
a61	0.0507813	0.0742824	0.111517	0.122836	0.142177	0.202116	0.11684	0.0831098	0.0963401
a31	0.0470311	0.0656442	0.107914	0.119683	0.135145	0.162703	0.146542	0.109821	0.105516
a62	0.0263289	0.0341553	0.0561843	0.0644994	0.0758788	0.13353	0.218419	0.207778	0.183226
a88	0.02258	0.026319	0.0379299	0.0417925	0.0466984	0.07499	0.194489	0.297483	0.257718
a93	0.0107431	0.0122743	0.0149627	0.0152287	0.016247	0.0229519	0.103661	0.305211	0.498721
a70	0.0112376	0.0124603	0.0137886	0.0128071	0.0139382	0.0274244	0.11135	0.282102	0.514892
a93	0.00478218	0.0048892	0.00461977	0.00426558	0.0047008	0.00836149	0.0475315	0.228468	0.692381
a44	0.00256154	0.00269503	0.00276815	0.00264478	0.00304775	0.00645712	0.0416426	0.211542	0.726641
a75	0.00195222	0.001885	0.00206451	0.00218243	0.00248183	0.00513836	0.0287407	0.176614	0.778941
a85	0.000827775	0.00076572	0.000785063	0.000850465	0.00125384	0.00336944	0.0284014	0.164624	0.799122
a6	0.000707045	0.00068933	0.000699717	0.000740262	0.0010795	0.00291729	0.0283322	0.17194	0.792895
a36	0.000235677	0.000200466	0.000222437	0.000281038	0.000430801	0.00135301	0.0194923	0.182106	0.795678
a61	0.005254	0.00398955	0.00490499	0.00554363	0.0067719	0.00900125	0.0459728	0.201039	0.717523
a34	0.00163409	0.001459	0.0018864	0.00217056	0.00281563	0.0045479	0.032776	0.173879	0.778831
a79	0.000899494	0.000744529	0.00106467	0.00147488	0.00212075	0.00446467	0.0309702	0.189127	0.769133
a44	0.000768397	0.000594062	0.000571422	0.000703584	0.00104593	0.00223131	0.0219532	0.145684	0.826448
a18	0.00128683	0.00103095	0.00137251	0.00182337	0.00278048	0.00520442	0.038791	0.194068	0.753643
a25	0.00950955	0.00762759	0.00847651	0.0101068	0.013591	0.0198683	0.076571	0.248019	0.60623
a87	0.113003	0.0799979	0.0640808	0.0566601	0.0547322	0.0556951	0.0967628	0.165799	0.313269
a23	0.288871	0.199088	0.168778	0.118324	0.074595	0.0338063	0.0263177	0.0308415	0.059379
a87	0.201071	0.122374	0.0886424	0.0734546	0.0554182	0.0284064	0.0431773	0.096542	0.290913
</S>	0.0215728	0.0127874	0.0101928	0.00718804	0.00526901	0.00727144	0.0498443	0.194561	0.691313
