 	mon	champ	de	du	sésame	est	distant	des	leurs	</S>
a66	0.316417	0.174291	0.118922	0.0883784	0.0812955	0.077456	0.052952	0.0471907	0.0238779	0.0192193
a87	0.346976	0.168443	0.107735	0.0868264	0.110298	0.081229	0.0470555	0.0218782	0.0145176	0.0150408
a23	0.268427	0.194389	0.137326	0.112069	0.142357	0.0998772	0.0260966	0.00709406	0.00511147	0.00725161
a62	0.239236	0.185052	0.126318	0.117776	0.168967	0.1055	0.0233786	0.0126689	0.00893607	0.012167
a96	0.252929	0.129522	0.103944	0.10975	0.177784	0.0900692	0.0287864	0.0398343	0.034226	0.0331549
a56	0.252649	0.198329	0.150007	0.124696	0.125297	0.0585583	0.0360752	0.025905	0.0156138	0.0128696
a90	0.114825	0.13465	0.134123	0.145343	0.23542	0.11672	0.0575192	0.0298753	0.0153222	0.0162022
a56	0.0536684	0.0729695	0.0971201	0.127796	0.246722	0.127758	0.0879805	0.103327	0.0418732	0.040785
a75	0.0706213	0.086643	0.10316	0.127531	0.222212	0.128492	0.0836853	0.0974009	0.0382533	0.0420003
a5	0.0522889	0.0538689	0.0698776	0.0840544	0.140224	0.0926487	0.132153	0.188598	0.0985211	0.0877656
a24	0.062651	0.0578227	0.072402	0.0861251	0.13127	0.125871	0.135678	0.160817	0.0797644	0.0875997
a31	0.0494768	0.0447532	0.0604996	0.0750015	0.108929	0.132781	0.151354	0.166368	0.0877082	0.123129
a47	0.053007	0.0456802	0.0569346	0.0643548	0.0780838	0.129555	0.180783	0.199678	0.0881917	0.103732
a21	0.0486648	0.041217	0.0574067	0.0727483	0.10867	0.136055	0.140747	0.178887	0.0910921	0.124512
a85	0.0353174	0.0258612	0.027328	0.0282188	0.0325145	0.0522211	0.084847	0.239534	0.220353	0.253805
a92	0.0107509	0.00986955	0.0149335	0.0206164	0.020773	0.0203267	0.0496388	0.183683	0.255677	0.41373
a98	0.0065066	0.00477348	0.00645671	0.00826423	0.00941826	0.012089	0.0242396	0.164814	0.294628	0.468811
a47	0.00462199	0.00355018	0.0058891	0.00789494	0.00791141	0.00905667	0.0204469	0.177708	0.290812	0.472108
a36	0.00530055	0.00318633	0.00423471	0.00497726	0.00402984	0.00452286	0.00851183	0.0782995	0.25878	0.628157
a2	0.0133493	0.00991489	0.0111011	0.0105711	0.00833435	0.00535508	0.00709203	0.0421465	0.193656	0.69848
a57	0.040644	0.0332567	0.0325555	0.0294623	0.0211207	0.0173688	0.0367411	0.0409855	0.173721	0.574144
a87	0.115522	0.0724778	0.0583608	0.0531084	0.0611123	0.0461311	0.0688529	0.0760614	0.165636	0.282737
a23	0.120525	0.100052	0.0895429	0.0932232	0.141153	0.100176	0.0727778	0.0838588	0.0979689	0.100723
a87	0.0607944	0.0355332	0.0222529	0.018691	0.0243473	0.0205118	0.0226074	0.0945623	0.265181	0.435519
</S>	0.0194336	0.0156002	0.0097213	0.00818223	0.0116636	0.012512	0.0195711	0.134249	0.345268	0.423799
