 	la	nourriture	te	donne	de	l'	énergie	pour	travailler	</S>
a66	0.181037	0.103709	0.0908584	0.0913813	0.160127	0.181626	0.104903	0.0416643	0.0252238	0.0194701
a87	0.308372	0.160102	0.0777977	0.0757665	0.109394	0.114724	0.0708471	0.0391621	0.0237588	0.0200747
a23	0.310584	0.256691	0.186814	0.105259	0.08465	0.0422411	0.00593772	0.00223017	0.00252978	0.0030634
a87	0.318484	0.274793	0.16963	0.0964939	0.0717315	0.0397826	0.00960593	0.00557669	0.00563824	0.0082637
a23	0.407397	0.280405	0.132255	0.0673936	0.0485494	0.0278353	0.01029	0.00800227	0.00766978	0.0102024
a83	0.403767	0.210524	0.109005	0.0627468	0.0504806	0.0404193	0.028282	0.0292126	0.0294456	0.0361184
a75	0.198373	0.105057	0.0766434	0.0656446	0.0615422	0.0784947	0.121215	0.111165	0.094583	0.0872827
a41	0.108657	0.116363	0.115713	0.120436	0.0979199	0.110896	0.139015	0.108347	0.0503649	0.0322886
a5	0.0808312	0.111946	0.13085	0.144407	0.110588	0.119216	0.130865	0.0997862	0.0437557	0.027755
a96	0.0332054	0.0452833	0.0752675	0.108648	0.103852	0.136785	0.165895	0.158232	0.0975914	0.0752409
a18	0.0222547	0.0279622	0.0533946	0.091407	0.107598	0.140048	0.150929	0.135849	0.132433	0.138125
a75	0.0171427	0.0164513	0.0391214	0.0904038	0.126178	0.166933	0.150351	0.115503	0.127125	0.150791
a5	0.0225723	0.0236975	0.0511721	0.106767	0.144597	0.195346	0.147828	0.0902102	0.0957938	0.122016
a37	0.0188471	0.0152757	0.0287624	0.072757	0.114088	0.168197	0.135659	0.108326	0.140559	0.19753
a79	0.0156245	0.0116466	0.0200806	0.0426154	0.076757	0.141259	0.133932	0.138665	0.178569	0.240851
a44	0.00798814	0.0053623	0.0118763	0.0329349	0.065153	0.146467	0.167255	0.159061	0.17404	0.229863
a15	0.00746395	0.00496882	0.00869412	0.0208546	0.0376821	0.097247	0.148988	0.181098	0.215861	0.277143
a79	0.0039201	0.00235867	0.00463931	0.0120021	0.022217	0.0652074	0.14258	0.194133	0.218827	0.334116
a44	0.00599526	0.00363911	0.00521273	0.0104527	0.0166192	0.0514856	0.167401	0.203043	0.208828	0.327323
a70	0.00385453	0.0020839	0.00346189	0.00699886	0.00969712	0.0239882	0.0880506	0.191076	0.254019	0.416771
a88	0.00158658	0.000942862	0.00153366	0.00311443	0.00425137	0.00851207	0.04069	0.145978	0.294628	0.498763
a0	0.000537528	0.00033068	0.000482977	0.000894006	0.00124065	0.00221627	0.0155685	0.108783	0.31386	0.556087
a75	0.000555035	0.000322883	0.000427765	0.000673542	0.000997141	0.0014089	0.00755679	0.0891323	0.3123	0.586626
a6	0.00132006	0.000875883	0.00108567	0.00164873	0.00210687	0.00426547	0.0288622	0.116607	0.256044	0.587184
a36	0.000530173	0.000373094	0.000500479	0.000954279	0.00117959	0.0027696	0.0247585	0.123676	0.264256	0.581003
a2	0.000565619	0.000330259	0.000354278	0.000535151	0.000524737	0.000640231	0.0038994	0.0580457	0.231289	0.703816
a57	0.0660708	0.0325999	0.0253353	0.0283032	0.022153	0.0252141	0.0508179	0.0966231	0.189695	0.463188
a87	0.217263	0.129775	0.0891359	0.0754848	0.0552544	0.053482	0.0452306	0.0559756	0.0916897	0.186709
a23	0.244658	0.174993	0.128218	0.096823	0.0698774	0.0715939	0.0591528	0.0411422	0.046138	0.0674029
a87	0.21802	0.196565	0.118763	0.110513	0.0688327	0.0762198	0.0732405	0.0386273	0.0409637	0.0582555
</S>	0.106759	0.113862	0.091493	0.0993454	0.0721919	0.102233	0.0856692	0.0702307	0.0945877	0.163627
