 	il	a	planté	un	champ	d'	ananas	dans	la	brousse	</S>
a23	0.219379	0.179057	0.0802581	0.0456591	0.0454732	0.0609834	0.12259	0.0830763	0.0572275	0.0525814	0.0537151
a53	0.225152	0.132	0.0673282	0.0541509	0.0643149	0.0749275	0.10658	0.075883	0.0623581	0.062444	0.0748619
a20	0.268935	0.249934	0.148409	0.0887839	0.058616	0.0587336	0.0493061	0.0243843	0.0170595	0.0170007	0.0188376
a14	0.388421	0.32948	0.141758	0.0582283	0.0270624	0.0199463	0.013941	0.00827543	0.00558493	0.00411226	0.00319028
a35	0.287759	0.293609	0.174021	0.0916921	0.0486854	0.0393305	0.0300819	0.0163385	0.00875664	0.00570605	0.00401941
a24	0.244668	0.230256	0.149976	0.102271	0.0704834	0.0627646	0.0542747	0.0378102	0.0213934	0.0147083	0.0113934
a0	0.193103	0.167267	0.122283	0.113551	0.0967881	0.0931876	0.0864731	0.0538308	0.0303125	0.0227524	0.0204519
a11	0.114304	0.108386	0.102188	0.127732	0.138776	0.137368	0.123223	0.0639376	0.0332504	0.025724	0.0251113
a10	0.0939702	0.0834473	0.0785321	0.105953	0.137796	0.154499	0.155886	0.0846181	0.0420264	0.0312941	0.0319774
a26	0.056711	0.0505209	0.050691	0.0766816	0.124354	0.162806	0.195505	0.109528	0.0661506	0.0502307	0.0568207
a41	0.0463802	0.0439187	0.0450612	0.065003	0.108258	0.15733	0.216516	0.121883	0.0715546	0.0572544	0.0668407
a14	0.0820443	0.0810339	0.0796617	0.100922	0.121855	0.139128	0.143661	0.110536	0.0662651	0.0428227	0.0320698
a94	0.0652282	0.0628987	0.0603783	0.0875758	0.118137	0.143082	0.153749	0.124232	0.0835157	0.0572141	0.0439904
a13	0.0308404	0.0324635	0.0354244	0.0558956	0.10826	0.154905	0.199869	0.152835	0.100264	0.0689796	0.0602634
a90	0.0129638	0.0141561	0.0177651	0.0326112	0.0863026	0.152437	0.244084	0.169623	0.114291	0.080547	0.0752187
a35	0.0197395	0.0226926	0.0295853	0.0475095	0.0931477	0.148618	0.202418	0.146762	0.112887	0.0870875	0.0895533
a75	0.011647	0.0146658	0.0216037	0.0355197	0.0692597	0.113891	0.183501	0.162201	0.145762	0.118409	0.12354
a41	0.0150475	0.0190089	0.026859	0.0399717	0.0629122	0.0962827	0.157325	0.142398	0.136354	0.130746	0.173096
a24	0.0112644	0.0135103	0.0193416	0.0339606	0.0624359	0.102049	0.156552	0.143782	0.147307	0.13718	0.172616
a25	0.00648251	0.00763814	0.0128159	0.0247129	0.0468892	0.0759283	0.134799	0.142141	0.176973	0.173514	0.198106
a87	0.00704201	0.00777207	0.0111606	0.0214884	0.0470808	0.0853326	0.168646	0.148528	0.161867	0.154859	0.186223
a38	0.00288468	0.00307143	0.00410898	0.00755816	0.0201508	0.0441617	0.0987438	0.0848476	0.141615	0.223856	0.369003
a90	0.00222983	0.00220684	0.00303626	0.00597395	0.0169478	0.0373033	0.087513	0.0757415	0.122766	0.215009	0.431272
a76	0.00465955	0.00518484	0.00758172	0.0155626	0.0334373	0.0605744	0.114287	0.0937562	0.13207	0.184942	0.347944
a94	0.0123035	0.0139362	0.0191058	0.0327289	0.0487694	0.0590942	0.0708456	0.0752587	0.129736	0.190326	0.347896
a32	0.00371691	0.00397657	0.00628837	0.0139504	0.0308488	0.0445603	0.0617509	0.0621142	0.114801	0.214332	0.44366
a75	0.00510167	0.00467819	0.00620905	0.013789	0.0349276	0.0552166	0.0678043	0.0581492	0.108031	0.21509	0.431003
a14	0.00711633	0.00760342	0.01024	0.0196431	0.0356164	0.0477435	0.05758	0.0544471	0.105944	0.204955	0.449111
a44	0.00744676	0.00858703	0.011879	0.0213981	0.0343799	0.0444123	0.0539047	0.0599598	0.127313	0.226779	0.40394
a57	0.00285752	0.00299795	0.00471614	0.0111854	0.0272103	0.0433989	0.0567264	0.0468228	0.0886233	0.198663	0.516799
a38	0.00132133	0.00138747	0.00194572	0.00436064	0.0123734	0.0233667	0.0365428	0.0379923	0.0876487	0.212775	0.580286
a53	0.00172451	0.00177309	0.00219838	0.00425029	0.0111317	0.0203596	0.0336245	0.0397975	0.097355	0.231911	0.555875
a90	0.00337962	0.0037753	0.00428577	0.00749847	0.0160179	0.0256187	0.0363456	0.0409707	0.0942955	0.223383	0.54443
a76	0.00128006	0.00155207	0.00221991	0.00493733	0.0132853	0.021363	0.0326519	0.040393	0.0987818	0.223928	0.559607
a69	0.00239204	0.00273467	0.00375152	0.00814676	0.0194765	0.028812	0.0366642	0.0390385	0.0895593	0.214606	0.554819
a84	0.00333761	0.00378615	0.00508684	0.0097652	0.0224107	0.0365667	0.0453553	0.0406096	0.0845413	0.1969	0.551641
a57	0.00770942	0.00827138	0.00822398	0.0136963	0.026749	0.0415876	0.0480763	0.0486164	0.0931998	0.21209	0.49178
a87	0.0261744	0.0287306	0.0203613	0.0221457	0.0293644	0.0377925	0.040816	0.0537962	0.101589	0.222428	0.416802
</S>	0.0589038	0.0536587	0.0286624	0.0239424	0.0280046	0.0300316	0.0286593	0.0473527	0.0996373	0.215384	0.385763
