 	les	bananes	sont	bonnes	</S>
a23	0.334136	0.160936	0.129962	0.158142	0.216823
a40	0.669515	0.160775	0.0704036	0.0441774	0.0551282
a73	0.0966383	0.0932209	0.184255	0.332447	0.293439
a7	0.38891	0.258618	0.177126	0.111478	0.0638686
a84	0.561678	0.25626	0.0960146	0.0465704	0.0394775
a53	0.448074	0.265498	0.139237	0.0796571	0.0675334
a20	0.31116	0.227619	0.173703	0.142359	0.145159
a41	0.288894	0.223916	0.193741	0.149063	0.144385
a26	0.218306	0.195931	0.184248	0.182624	0.218891
a75	0.16804	0.165921	0.191621	0.208157	0.266261
a73	0.104811	0.127834	0.180846	0.244091	0.342417
a26	0.0466411	0.0722082	0.151102	0.301465	0.428584
a75	0.0187192	0.0261654	0.0637953	0.23593	0.655391
a41	0.0113568	0.0261459	0.0850272	0.299959	0.577511
a18	0.0133474	0.0318326	0.0977598	0.304614	0.552446
a25	0.00741404	0.0150186	0.0509862	0.228851	0.69773
a87	0.0115654	0.0192271	0.0681791	0.269649	0.631379
a23	0.0132553	0.0161821	0.0415598	0.152493	0.776509
a87	0.028785	0.0396245	0.0699471	0.150869	0.710774
</S>	0.0196088	0.0377697	0.0900259	0.208287	0.644308
