 	l'	éléphant	est	blessé	</S>
a85	0.573405	0.181036	0.0956319	0.0808528	0.0690744
a87	0.513358	0.196123	0.131383	0.0871281	0.0720071
a23	0.303402	0.264024	0.177032	0.121861	0.133681
a83	0.554528	0.247283	0.0792902	0.054136	0.0647627
a38	0.57711	0.275593	0.0874551	0.0367999	0.0230429
a76	0.401546	0.402673	0.136613	0.0368389	0.0223294
a41	0.280141	0.386679	0.217022	0.0718612	0.0442964
a24	0.345551	0.344029	0.198167	0.0711662	0.0410869
a25	0.203823	0.25333	0.255268	0.172382	0.115198
a40	0.155386	0.181462	0.229183	0.229727	0.204242
a30	0.163407	0.185424	0.231581	0.229039	0.190549
a14	0.0759089	0.09754	0.169428	0.300514	0.356608
a94	0.0726753	0.0809489	0.175787	0.339485	0.331104
a24	0.0657135	0.0710339	0.14519	0.318037	0.400026
a25	0.0237138	0.026525	0.0774806	0.297507	0.574774
a76	0.0137935	0.0126532	0.0384133	0.255149	0.679991
a94	0.00602441	0.00812891	0.0401313	0.282347	0.663368
a32	0.00679313	0.00907838	0.0346894	0.247446	0.701993
a90	0.00335806	0.00359853	0.0150748	0.180262	0.797707
a69	0.00208889	0.00257289	0.013251	0.179533	0.802555
a58	0.00430213	0.00471385	0.0167977	0.172058	0.802129
a82	0.0100897	0.0127412	0.0317249	0.198908	0.746536
a87	0.015756	0.0242374	0.0520955	0.212584	0.695327
</S>	0.0397944	0.0604339	0.107812	0.256472	0.535487
