 	je	ne	sais	pas	pourquoi	il	me	regarde	avec	tant	de	dédain	</S>
a82	0.112657	0.0803387	0.0642192	0.0886851	0.108297	0.112652	0.115556	0.14739	0.0774991	0.043359	0.0266968	0.0134111	0.0092389
a10	0.0848933	0.0612905	0.0578067	0.0488748	0.0505669	0.0488272	0.0441677	0.0529716	0.058791	0.142329	0.182919	0.103201	0.0633605
a83	0.219529	0.0754932	0.0414644	0.0404853	0.0471719	0.0472588	0.0514453	0.0730429	0.0587352	0.0578319	0.101918	0.0921242	0.0935006
a31	0.290104	0.144601	0.0638371	0.038295	0.0383653	0.0392063	0.0435301	0.0685051	0.0497529	0.0471644	0.0663128	0.0579893	0.0523365
a47	0.307794	0.201743	0.102853	0.0740826	0.0580271	0.0544352	0.0513259	0.0577591	0.0339173	0.0219343	0.0160781	0.0103596	0.00969003
a61	0.24292	0.232954	0.154897	0.0873947	0.0618458	0.0565558	0.0510192	0.0427786	0.0266793	0.0176508	0.0108847	0.00695755	0.00746329
a75	0.271198	0.287648	0.174953	0.0783678	0.0493269	0.0371371	0.0306424	0.0271969	0.0179185	0.0112803	0.00694331	0.003941	0.00344709
a21	0.186661	0.20649	0.167916	0.113453	0.0840328	0.0647202	0.0517343	0.0514805	0.0321215	0.0179425	0.0117503	0.00640558	0.00529198
a34	0.289753	0.239792	0.145732	0.090009	0.0663308	0.053945	0.0413334	0.0378199	0.016978	0.00739244	0.00544129	0.00302204	0.0024517
a85	0.134386	0.149989	0.154524	0.144187	0.113338	0.0958041	0.0707539	0.0594098	0.0311696	0.01706	0.012519	0.00867984	0.00818046
a18	0.103875	0.117632	0.124857	0.143383	0.133905	0.113754	0.0924103	0.0676589	0.0346791	0.0235241	0.0186429	0.0131398	0.0125379
a43	0.0628517	0.0926892	0.125977	0.151626	0.141907	0.135252	0.100458	0.0688683	0.0327796	0.0243274	0.0224098	0.0208386	0.0200145
a24	0.0361915	0.0554804	0.0910416	0.133126	0.125417	0.140119	0.101605	0.0673916	0.0409757	0.0421039	0.0530308	0.0548293	0.0586884
a61	0.023336	0.0388154	0.0802877	0.130399	0.124919	0.142814	0.092961	0.0574436	0.0400122	0.0412182	0.068859	0.0684348	0.0905002
a21	0.0478857	0.0602187	0.0863761	0.135456	0.13019	0.140904	0.10801	0.0741905	0.0539661	0.054057	0.0492331	0.0318985	0.027615
a47	0.0596489	0.0615076	0.0753194	0.130358	0.134262	0.150585	0.11636	0.0828428	0.0496243	0.0414476	0.0417021	0.0282829	0.0280582
a0	0.0376625	0.0442294	0.0559564	0.106149	0.117637	0.147174	0.10992	0.072024	0.0504525	0.0579056	0.0672743	0.0650757	0.0685405
a21	0.0174542	0.0218467	0.0344632	0.0750312	0.0837361	0.110195	0.0756871	0.0515669	0.0434783	0.0685749	0.107984	0.151751	0.158232
a85	0.0493594	0.0431616	0.0446159	0.0805442	0.0926685	0.135184	0.107925	0.0779573	0.0524979	0.0537309	0.0706227	0.0847638	0.106969
a25	0.0274331	0.0250818	0.026252	0.0506891	0.0625213	0.10597	0.089004	0.0510408	0.0333373	0.0418275	0.0691909	0.148429	0.269224
a92	0.0299887	0.0311168	0.0320903	0.051971	0.0597402	0.0877798	0.0765112	0.0518152	0.034081	0.0357992	0.0561039	0.163786	0.289216
a96	0.0295031	0.027985	0.0280326	0.0456364	0.0463372	0.0673092	0.0515216	0.0313584	0.0247393	0.0357146	0.0562661	0.180403	0.375193
a31	0.0198305	0.0178026	0.0195452	0.0360246	0.0395987	0.0610216	0.0456148	0.0262093	0.0229293	0.037247	0.0633817	0.195131	0.415664
a88	0.00610657	0.00545099	0.00615467	0.0116794	0.0130096	0.021686	0.0170459	0.0114159	0.0142491	0.0319589	0.0646852	0.250775	0.545783
a62	0.00288566	0.00252176	0.00321328	0.0059052	0.00750146	0.0123908	0.010417	0.00852718	0.013228	0.0227026	0.0468652	0.203383	0.660459
a24	0.000994195	0.000972008	0.0015371	0.00377269	0.00517837	0.00855443	0.00905878	0.00841731	0.013039	0.0266761	0.0564649	0.233385	0.63195
