 	la	mangue	que	tu	as	choisie	était	bonne	</S>
a66	0.178863	0.157319	0.142992	0.16041	0.152857	0.124513	0.0355464	0.0263082	0.0211919
a87	0.21879	0.144058	0.100731	0.102481	0.119808	0.11302	0.0824174	0.0632263	0.0554684
a23	0.222349	0.156172	0.163705	0.155894	0.141194	0.0943082	0.0281546	0.0191156	0.0191068
a10	0.234375	0.108611	0.147857	0.152723	0.146167	0.108906	0.0479453	0.0258674	0.0275479
a87	0.206051	0.0846169	0.1119	0.124369	0.145066	0.174403	0.0729135	0.0429538	0.0377263
a99	0.197798	0.0867516	0.106917	0.114437	0.139397	0.183039	0.0939267	0.0450066	0.0327273
a54	0.161694	0.066645	0.083791	0.105985	0.134148	0.239512	0.100817	0.0608711	0.0465367
a79	0.214828	0.141481	0.133563	0.150227	0.130341	0.11404	0.0374521	0.0344821	0.0435854
a21	0.170909	0.131676	0.135651	0.153359	0.152942	0.114469	0.0533068	0.0397685	0.0479191
a12	0.11083	0.0819106	0.0876314	0.113758	0.153949	0.14388	0.113213	0.0873408	0.107487
a43	0.0936809	0.0792984	0.0902111	0.12396	0.170323	0.128319	0.109961	0.0942871	0.109959
a75	0.0529182	0.0473179	0.0490558	0.0666298	0.108755	0.107764	0.176318	0.180593	0.210648
a92	0.0399976	0.039539	0.0475694	0.0727478	0.130937	0.160111	0.176995	0.143894	0.18821
a75	0.0357829	0.0360368	0.0436046	0.0622725	0.103432	0.136457	0.203804	0.17399	0.204621
a5	0.0199436	0.0208762	0.0232864	0.0311106	0.0537715	0.0956602	0.203496	0.24092	0.310935
a36	0.0057884	0.00573892	0.00547376	0.00557248	0.00877897	0.047579	0.234394	0.333494	0.35318
a90	0.0025351	0.00272327	0.00277135	0.00231439	0.00300007	0.0161003	0.176838	0.332951	0.460767
a69	0.0022758	0.00248739	0.00251033	0.00209939	0.00282858	0.0126967	0.114553	0.302901	0.557648
a4	0.00074588	0.000814417	0.000734568	0.000647197	0.00110559	0.00565838	0.0767414	0.257007	0.656545
a11	0.000807913	0.000923329	0.000944599	0.000733306	0.000880816	0.00349217	0.0466193	0.235823	0.709775
a5	0.0011353	0.00104601	0.0011101	0.0010249	0.00156401	0.0118241	0.0617447	0.277341	0.64321
a18	0.00169466	0.00188963	0.00196744	0.00185151	0.00290862	0.00971936	0.042529	0.22809	0.70935
a82	0.00116951	0.00111162	0.00107509	0.000975558	0.00135948	0.0105998	0.0599219	0.288126	0.635661
a10	0.0808508	0.0614652	0.0513767	0.0441352	0.0465793	0.0892402	0.108937	0.192882	0.324533
a87	0.0813542	0.0712902	0.0686216	0.0677602	0.0608214	0.101911	0.126884	0.18699	0.234368
a23	0.0607762	0.0578797	0.0583149	0.0588305	0.0551893	0.0735482	0.150722	0.234029	0.25071
a87	0.0469427	0.038427	0.0231226	0.0157764	0.013969	0.0186287	0.0838217	0.251542	0.50777
</S>	0.00971961	0.0080791	0.00590418	0.00511904	0.00603306	0.0131604	0.0852538	0.237842	0.628889
