 	la	ciga	rette	fait	perdre	le	bon	sens	aux	enfants	</S>
a66	0.349588	0.254302	0.129384	0.054108	0.0521926	0.0747084	0.0416739	0.0196235	0.00928389	0.00759601	0.00753866
a87	0.413467	0.346044	0.117477	0.0299342	0.0183741	0.0211679	0.0125274	0.00856417	0.00705211	0.0110492	0.0143425
a23	0.516705	0.198194	0.103535	0.0437889	0.0251456	0.0208367	0.0147655	0.0137944	0.0134315	0.0200912	0.0297134
a40	0.28562	0.114759	0.0827566	0.0564643	0.040135	0.0325177	0.0258258	0.0418567	0.0566978	0.10235	0.161017
a36	0.291175	0.25196	0.132587	0.0614656	0.0489279	0.044882	0.0330891	0.0353718	0.0313962	0.0330684	0.0360762
a2	0.145798	0.212255	0.291154	0.219149	0.061774	0.0279237	0.0100053	0.00810819	0.00669115	0.00796616	0.00917527
a21	0.0859398	0.105463	0.156521	0.310469	0.135883	0.0807093	0.0377826	0.0219187	0.0162501	0.0217962	0.0272677
a5	0.0454323	0.0944091	0.202833	0.377785	0.168398	0.0630522	0.0178225	0.010133	0.00570117	0.00672353	0.00770997
a98	0.0375642	0.0841277	0.182513	0.404105	0.161116	0.0612043	0.0208294	0.0139076	0.00860305	0.0120844	0.0139447
a47	0.0295322	0.100932	0.267488	0.373798	0.143371	0.0426046	0.01344	0.00820495	0.00513908	0.00728021	0.00821024
a36	0.0360426	0.0645547	0.14979	0.34587	0.211347	0.0872572	0.0342359	0.0184188	0.0135025	0.0187078	0.0202737
a7	0.0556046	0.0673639	0.0821405	0.209022	0.228119	0.127401	0.0557098	0.0383878	0.0336371	0.0487369	0.0538779
a37	0.0435475	0.0538234	0.0513821	0.138079	0.202713	0.132367	0.0634253	0.0550846	0.0582196	0.0906854	0.110673
a96	0.0343879	0.0383237	0.0376379	0.0776901	0.13546	0.148516	0.0896341	0.0813752	0.0841408	0.123448	0.149386
a56	0.0291747	0.0458882	0.0542843	0.073268	0.0915457	0.130286	0.119637	0.106387	0.0873539	0.120108	0.142068
a43	0.012496	0.0179357	0.0249923	0.0377194	0.0542951	0.099032	0.146775	0.17571	0.131066	0.143071	0.156908
a75	0.0089417	0.0107595	0.0169172	0.0284623	0.039684	0.0750908	0.139455	0.187845	0.15809	0.160324	0.17443
a92	0.00133848	0.00178868	0.00259304	0.00790559	0.0209669	0.0432151	0.0790673	0.136177	0.192557	0.250866	0.263525
a98	0.00141744	0.00192325	0.00248575	0.00660768	0.0159061	0.0351392	0.0790066	0.152277	0.213962	0.247167	0.244109
a47	0.00033105	0.000449838	0.000706916	0.00256009	0.00671382	0.0156485	0.0377124	0.0939183	0.208531	0.29955	0.333878
a36	7.85159e-05	0.000102891	0.000204342	0.000594268	0.00138347	0.00452865	0.0189027	0.0812372	0.235613	0.322187	0.335168
a26	0.000404187	0.000333956	0.000433113	0.000624755	0.00109817	0.00298928	0.0102399	0.0413156	0.142968	0.32012	0.479472
a57	0.010945	0.00922556	0.00870472	0.00754878	0.00694047	0.011818	0.021356	0.0470571	0.134965	0.295065	0.446374
a10	0.0694403	0.0453619	0.0479766	0.0393713	0.0293556	0.0354375	0.042408	0.055088	0.105762	0.204443	0.325356
a87	0.266928	0.155914	0.0962905	0.0619345	0.0618559	0.0540693	0.0433901	0.0466388	0.0513417	0.0673106	0.0943266
a23	0.261847	0.247882	0.126834	0.056939	0.0508602	0.0518667	0.037577	0.0380208	0.0332387	0.0408486	0.0540856
a87	0.04254	0.027803	0.0178339	0.0126947	0.0160283	0.0192749	0.0296996	0.0884987	0.14565	0.269657	0.33032
a97	0.0174392	0.0139285	0.0155503	0.0121926	0.0110564	0.0166472	0.029717	0.0704214	0.129709	0.293978	0.389361
</S>	0.0364822	0.0352848	0.027265	0.0197582	0.0224724	0.0439278	0.0542295	0.0848418	0.119042	0.233764	0.322932
