 	on	a	blanchi	la	maison	</S>
a23	0.487775	0.271945	0.119572	0.0377775	0.0304303	0.0525009
a87	0.452709	0.200185	0.0941713	0.108589	0.0759582	0.0683887
a23	0.3576	0.238464	0.121097	0.102096	0.0921552	0.0885884
a20	0.334077	0.257757	0.123529	0.0842034	0.0816134	0.118819
a73	0.491717	0.244439	0.0863251	0.0789444	0.0454331	0.0531411
a37	0.450407	0.323381	0.150671	0.0513221	0.0139628	0.0102561
a94	0.418788	0.295963	0.16921	0.0702512	0.025629	0.0201588
a18	0.375916	0.303421	0.200873	0.072551	0.0258801	0.0213589
a0	0.267701	0.26404	0.24191	0.13081	0.0526151	0.0429238
a11	0.232774	0.249013	0.257286	0.151953	0.0612639	0.0477103
a94	0.161186	0.199766	0.26498	0.211201	0.0897749	0.0730928
a32	0.190534	0.232101	0.275498	0.187388	0.0661158	0.0483625
a75	0.15135	0.18309	0.246933	0.210277	0.118339	0.0900122
a41	0.118905	0.131592	0.193066	0.256696	0.171469	0.128272
a35	0.0839692	0.0966661	0.149649	0.2384	0.224408	0.206908
a26	0.0639748	0.0764384	0.109688	0.189624	0.249523	0.310752
a24	0.0318968	0.0419773	0.0647372	0.14537	0.295957	0.420061
a41	0.0264265	0.0295173	0.0474122	0.117914	0.302785	0.475944
a12	0.0129604	0.0151077	0.025627	0.0973826	0.33134	0.517582
a98	0.015374	0.0163838	0.0294787	0.103435	0.289026	0.546302
a71	0.0144475	0.0151319	0.0254166	0.0925903	0.301902	0.550512
a25	0.0265664	0.0269123	0.0287693	0.109072	0.259877	0.548804
a87	0.0349035	0.0309741	0.031956	0.116027	0.271201	0.514938
</S>	0.0183497	0.0209141	0.0302601	0.0980248	0.268947	0.563504
