 	après	la	mort	de	lazare	jésus	le	ressuscita	</S>
a66	0.210652	0.176398	0.170889	0.160789	0.131157	0.10067	0.0276803	0.0142206	0.00754501
a87	0.282771	0.222465	0.169782	0.134872	0.0644964	0.0550736	0.0222898	0.0224572	0.0257935
a23	0.360229	0.244197	0.18122	0.105558	0.0305926	0.0194596	0.0141387	0.0194124	0.025193
a36	0.321803	0.231721	0.174381	0.115763	0.0421582	0.0271858	0.0163356	0.0300561	0.0405963
a5	0.220867	0.21393	0.181525	0.11692	0.0538726	0.0352268	0.0217787	0.0504632	0.105416
a36	0.21841	0.268336	0.228602	0.160446	0.0669445	0.0309319	0.0069243	0.00879217	0.0106128
a75	0.181407	0.209152	0.193901	0.180127	0.100345	0.0539545	0.0219672	0.0318594	0.0272882
a85	0.133911	0.156195	0.163788	0.179818	0.166314	0.11726	0.0350627	0.0245589	0.023093
a5	0.111755	0.142749	0.145801	0.170032	0.188723	0.132608	0.0518013	0.0296028	0.0269289
a37	0.142998	0.150573	0.151519	0.178582	0.17562	0.114028	0.037249	0.0245719	0.0248597
a25	0.093746	0.117807	0.148219	0.196258	0.22563	0.13621	0.0362154	0.0229978	0.0229161
a15	0.057393	0.0745087	0.102171	0.150068	0.236554	0.189737	0.0702158	0.052241	0.0671113
a69	0.0491737	0.060805	0.0900203	0.124387	0.205558	0.181161	0.0961059	0.073815	0.118974
a20	0.0370204	0.043664	0.0765312	0.119726	0.190586	0.164499	0.0979018	0.0917811	0.17829
a47	0.0176931	0.0197022	0.0341421	0.0714714	0.177332	0.179599	0.140013	0.125597	0.23445
a36	0.0138117	0.0145551	0.0223738	0.0433461	0.124857	0.137749	0.141086	0.144224	0.357999
a2	0.0298384	0.0296459	0.0436315	0.0718273	0.133555	0.157842	0.141675	0.121507	0.270478
a57	0.0457036	0.0459307	0.0608692	0.0863388	0.131708	0.160381	0.149525	0.115175	0.204369
a87	0.0537273	0.0513754	0.0658136	0.0928936	0.145029	0.172426	0.167154	0.12247	0.129111
a23	0.0505793	0.0445827	0.0633702	0.0946309	0.118927	0.157084	0.172336	0.152359	0.146131
a18	0.03766	0.0321647	0.0532039	0.0772657	0.0855615	0.104508	0.138696	0.139204	0.331737
a50	0.00760907	0.00862786	0.0196001	0.0366306	0.0609409	0.073021	0.112399	0.18613	0.495041
a62	0.0101104	0.00999948	0.016143	0.0365752	0.0751115	0.0974228	0.143855	0.230701	0.380081
a31	0.0105268	0.0108906	0.0157333	0.0336761	0.0697353	0.0840064	0.131542	0.269979	0.37391
a24	0.00856334	0.00848416	0.0114752	0.0231362	0.066155	0.0826427	0.145172	0.285241	0.36913
a11	0.00301378	0.00303939	0.00395618	0.00899304	0.0308947	0.0527016	0.114251	0.272951	0.510199
a93	0.00267809	0.00280041	0.00439514	0.0094003	0.026301	0.0434259	0.102564	0.267177	0.541258
a15	0.00431063	0.00403834	0.00666522	0.0134719	0.0372319	0.0499837	0.10695	0.227734	0.549614
a47	0.000788659	0.000730857	0.00119208	0.00225613	0.00667084	0.0111323	0.0452873	0.179192	0.75275
a92	0.000470064	0.000371176	0.000483915	0.000895847	0.00374869	0.0073335	0.0440636	0.165609	0.777024
a5	0.000875359	0.000737904	0.00106414	0.00225656	0.0108506	0.0205811	0.0837681	0.21023	0.669636
a61	0.000978486	0.000823609	0.00110201	0.00208642	0.00814143	0.0153885	0.07821	0.215407	0.677863
a31	0.00117518	0.000990491	0.00129974	0.0021582	0.00603308	0.011478	0.0592501	0.184508	0.733107
a0	0.000647861	0.000615983	0.000826321	0.00136477	0.00440869	0.00943899	0.0604023	0.194508	0.727787
a62	0.000877754	0.000818804	0.00102614	0.0013808	0.00247796	0.00446833	0.0329814	0.186629	0.76934
a70	0.000977562	0.00101208	0.00126396	0.00189677	0.00411929	0.00720317	0.0418767	0.194539	0.747111
a66	0.000348968	0.000354105	0.000462378	0.000742125	0.00207508	0.00432705	0.0334176	0.177516	0.780757
a9	0.000580647	0.000541636	0.000681887	0.000950172	0.00199974	0.00448411	0.0389878	0.205999	0.745775
a99	0.0281824	0.016275	0.0118689	0.0122331	0.0196335	0.0270307	0.108787	0.231181	0.544809
a87	0.080611	0.0451091	0.031089	0.0271146	0.0319265	0.0418081	0.112459	0.19481	0.435073
a23	0.236313	0.123316	0.0798244	0.0679609	0.056921	0.049692	0.084341	0.110445	0.191187
a87	0.185901	0.0971608	0.0586984	0.0467413	0.0373359	0.0291924	0.0666616	0.115886	0.362422
</S>	0.0468074	0.0269213	0.020229	0.0191773	0.0194302	0.0178845	0.0522737	0.134173	0.663104
