 	on	a	engagé	une	procédure	pour	retracer	la	généalogie	du	défunt	chef	coutumier	</S>
a66	0.108128	0.109972	0.10276	0.13723	0.169356	0.114195	0.0535633	0.0303309	0.0357301	0.0481909	0.0599217	0.015073	0.00860061	0.00694897
a87	0.310279	0.190023	0.0930136	0.0762879	0.0522002	0.044053	0.0276819	0.0325987	0.0405998	0.0333331	0.0467599	0.0260686	0.0149593	0.0121423
a40	0.256515	0.150114	0.103705	0.0626953	0.0571444	0.0766601	0.0697252	0.0852665	0.0543052	0.0288835	0.021608	0.012151	0.0100196	0.0112078
a44	0.115083	0.0625083	0.054121	0.0576567	0.0662993	0.0922384	0.078128	0.0788698	0.0734896	0.0853648	0.12376	0.0573701	0.0296377	0.0254734
a12	0.0894846	0.0789531	0.0891966	0.100352	0.0915754	0.10365	0.0811756	0.0661035	0.0544834	0.0568663	0.0807845	0.0498021	0.0317042	0.0258691
a96	0.126863	0.142378	0.158625	0.0874072	0.0580211	0.0519011	0.0500015	0.0563979	0.0570296	0.0484165	0.0576261	0.0427515	0.0348789	0.027703
a66	0.0669398	0.0868983	0.162816	0.106654	0.066362	0.0521588	0.0600019	0.0762749	0.0844662	0.0678262	0.0658235	0.037652	0.0364408	0.0296854
a88	0.0312686	0.0403078	0.0982342	0.116241	0.0923616	0.0743021	0.0992535	0.113682	0.103073	0.0706767	0.0622695	0.0349351	0.0332869	0.0301086
a0	0.0249391	0.0292014	0.0689515	0.111577	0.108622	0.0842912	0.10925	0.120323	0.10818	0.0704888	0.058655	0.0337582	0.0354862	0.0362761
a88	0.0228583	0.0262557	0.0567143	0.118673	0.141985	0.107855	0.112829	0.0959903	0.0860813	0.0660134	0.0617769	0.0335569	0.0343244	0.0350864
a71	0.0172105	0.0177821	0.0417378	0.0901997	0.117525	0.0905124	0.111394	0.119952	0.117831	0.0773234	0.0562807	0.041715	0.0440312	0.0565058
a53	0.0130389	0.0121327	0.0238775	0.0597284	0.0959425	0.0820771	0.0989716	0.107133	0.121415	0.0958565	0.0829182	0.0637434	0.064	0.079165
a15	0.0169949	0.0158056	0.0408272	0.0687946	0.0914477	0.0721958	0.0747842	0.0670746	0.0822105	0.0807691	0.0849237	0.104206	0.0921293	0.107836
a37	0.0118506	0.0120653	0.0306134	0.0498085	0.0682815	0.0507537	0.0650577	0.0683055	0.0812849	0.0718934	0.0847026	0.132634	0.11656	0.156189
a5	0.0179862	0.0166084	0.0289606	0.0530799	0.0956407	0.0728297	0.0669227	0.0592408	0.0817987	0.0907254	0.0888129	0.10518	0.0996176	0.122597
a96	0.0169923	0.0148478	0.0226794	0.038474	0.0821305	0.0612813	0.0500551	0.0482423	0.0743059	0.078591	0.0595568	0.11514	0.144302	0.193402
a12	0.0106103	0.00866589	0.0150679	0.0246975	0.0657925	0.0665078	0.0651724	0.0684365	0.0917135	0.103819	0.0825008	0.129837	0.121151	0.146027
a96	0.0102965	0.00813826	0.0131068	0.0190466	0.0558683	0.0675278	0.0658353	0.0734431	0.0945319	0.0942486	0.0626333	0.118358	0.138854	0.178112
a18	0.00742982	0.00638867	0.0121947	0.0165265	0.045373	0.0594974	0.0627755	0.0718361	0.0867225	0.0908656	0.067972	0.135833	0.152327	0.184258
a96	0.0145478	0.0150982	0.0205755	0.0234377	0.0339368	0.0567277	0.0786903	0.116965	0.134668	0.14038	0.079922	0.0947396	0.0835049	0.106806
a18	0.0058946	0.00501539	0.00879165	0.01095	0.0276075	0.0444137	0.0514513	0.0645012	0.0754789	0.0866593	0.0669446	0.137089	0.17661	0.238593
a96	0.00787738	0.00680205	0.0105921	0.0118862	0.0193668	0.0335592	0.0510528	0.0923988	0.11253	0.104559	0.0526929	0.116464	0.150919	0.2293
a66	0.00450464	0.00392624	0.00650146	0.00774611	0.0157193	0.0271097	0.0388449	0.0633988	0.081208	0.0889436	0.0543909	0.130382	0.188808	0.288517
a53	0.00960532	0.00813153	0.0130083	0.0152816	0.0204458	0.0388345	0.0665003	0.119269	0.130902	0.0987372	0.0396016	0.0899336	0.132624	0.217126
a20	0.00286787	0.00256276	0.00418178	0.00554105	0.00875854	0.0162816	0.0221611	0.0352582	0.0446046	0.0509684	0.0328519	0.124059	0.246462	0.403442
a44	0.00299104	0.00195975	0.00364488	0.00448101	0.00757623	0.0130446	0.0194598	0.0315281	0.0366633	0.0379043	0.0302999	0.115771	0.254317	0.440359
a66	0.00492452	0.00389481	0.00673976	0.00693009	0.00926747	0.0179466	0.026891	0.0435001	0.0422547	0.0381905	0.0203892	0.0987823	0.223794	0.456495
a25	0.0120193	0.01126	0.0235214	0.0223442	0.0253983	0.0404656	0.0428722	0.0640897	0.052106	0.0329771	0.0138807	0.0747469	0.170245	0.414073
a87	0.0085143	0.00696572	0.0129936	0.00950975	0.0114092	0.0219695	0.0300106	0.0525438	0.0385642	0.0218426	0.0133382	0.0879893	0.211425	0.472925
a23	0.339631	0.192359	0.192561	0.0728913	0.0268332	0.0119686	0.00915795	0.00860189	0.00466818	0.00363546	0.00877002	0.0256414	0.0437921	0.0594888
a87	0.297732	0.197021	0.222632	0.0577282	0.0272833	0.0206344	0.0167176	0.0191828	0.0123251	0.00765822	0.00857059	0.0220025	0.0395189	0.0509938
</S>	0.140881	0.100717	0.152913	0.0564874	0.0234311	0.0195568	0.0145891	0.0174176	0.0107845	0.00597664	0.00902957	0.0629136	0.153969	0.231334
