 	les	ressortissants	de	mbesse	polluent	les	ruisseaux	avec	la	plante	lembáa	en	vue	de	tuer	du	poisson	</S>
a87	0.0837134	0.0476894	0.0595132	0.10615	0.187239	0.126278	0.0793514	0.0610794	0.0542712	0.0510143	0.0555926	0.0329579	0.0233608	0.0143663	0.00855586	0.00384252	0.00260896	0.00241604
a23	0.229437	0.0414612	0.0243935	0.0320874	0.106335	0.114716	0.0692351	0.0428296	0.0353682	0.0245557	0.0249977	0.030645	0.0197164	0.0273759	0.0282758	0.0386653	0.053202	0.0567041
a87	0.0896792	0.0541977	0.0573688	0.0552078	0.0550577	0.0586437	0.0708542	0.0576288	0.0480456	0.0258633	0.0190769	0.0313515	0.0246634	0.0309752	0.0384127	0.0571903	0.0917872	0.133996
a23	0.100375	0.075154	0.0988425	0.10809	0.0786378	0.0628238	0.0679908	0.0635793	0.0495464	0.0224907	0.0152174	0.0187075	0.0168057	0.021475	0.0287099	0.0366453	0.0539589	0.0809507
a40	0.0980277	0.0806885	0.0770616	0.0705497	0.0721331	0.0570608	0.0562361	0.0462183	0.0316245	0.0207456	0.0176276	0.0190481	0.0168282	0.0252314	0.044449	0.0649978	0.0843845	0.117087
a36	0.32384	0.256672	0.0769126	0.0472774	0.0534212	0.0539883	0.0483362	0.0323764	0.0242824	0.0187781	0.0190747	0.0109506	0.00549986	0.00408498	0.00370493	0.00466139	0.00756989	0.00856879
a11	0.233942	0.24419	0.145548	0.0919637	0.0765647	0.058367	0.0455346	0.0282769	0.0176658	0.0115601	0.011561	0.00875059	0.00497152	0.00421722	0.00372179	0.00346013	0.00471089	0.00499407
a24	0.205486	0.223809	0.166692	0.114774	0.0688537	0.0520789	0.0513017	0.0331267	0.0190747	0.0124959	0.010239	0.00869234	0.00597626	0.00488247	0.00432732	0.00419521	0.00636551	0.00762956
a96	0.152403	0.175572	0.171598	0.142467	0.0765558	0.0604716	0.0674006	0.0502366	0.0303939	0.0168437	0.0125391	0.0105828	0.00819252	0.00622141	0.00553051	0.00400122	0.00424193	0.00474777
a66	0.117913	0.182791	0.185875	0.132661	0.0693194	0.0575272	0.0677059	0.0529411	0.0322982	0.0184426	0.0137092	0.0122404	0.0103479	0.00886958	0.00942798	0.00788656	0.00916458	0.0108801
a75	0.0591088	0.121871	0.169926	0.129973	0.0709056	0.0600005	0.075892	0.0701414	0.0492472	0.0299701	0.021582	0.0183056	0.0165275	0.0168925	0.0199203	0.0186554	0.0226471	0.028435
a5	0.0706751	0.157241	0.16335	0.124833	0.0753441	0.0634871	0.0878245	0.0688951	0.0446407	0.0220826	0.0198068	0.0193042	0.0144942	0.0107112	0.0101124	0.00985948	0.0153248	0.0220148
a43	0.0609007	0.122278	0.140285	0.110779	0.072903	0.0674005	0.108959	0.0794016	0.0599745	0.0299756	0.0308007	0.0317725	0.0225406	0.0129669	0.00951193	0.00850644	0.0127764	0.0182668
a75	0.0377033	0.0674096	0.120839	0.12292	0.0701609	0.0570759	0.0836715	0.102403	0.0988018	0.0510389	0.0433567	0.0388024	0.0304152	0.0182521	0.0133883	0.0110435	0.0145364	0.0181818
a37	0.0368131	0.0575509	0.0746634	0.0838619	0.0714987	0.0687887	0.0961715	0.090133	0.0837236	0.0574159	0.0645318	0.0567021	0.0435856	0.0274642	0.0190699	0.0155141	0.0217163	0.0307953
a98	0.0278182	0.0348471	0.0466816	0.073566	0.056174	0.0460397	0.0683005	0.128734	0.13253	0.0830748	0.0844195	0.0660897	0.0532067	0.028389	0.0178151	0.0136334	0.0170634	0.0216176
a47	0.0165232	0.022086	0.029545	0.0480872	0.0435638	0.0352341	0.0484125	0.102193	0.124322	0.106673	0.111875	0.0737334	0.072142	0.0479578	0.0318724	0.0228878	0.0276855	0.0352068
a36	0.00714135	0.00941529	0.0235879	0.0542783	0.0561452	0.0379611	0.0489266	0.0968208	0.0946209	0.0965953	0.111153	0.0905944	0.0871936	0.0584615	0.0350939	0.0238729	0.0296271	0.0385111
a85	0.0106537	0.0134442	0.0426176	0.0866248	0.0929099	0.0574744	0.056626	0.0879352	0.0695133	0.082223	0.0865152	0.082197	0.0773144	0.0477968	0.0293259	0.0188966	0.02429	0.0336421
a37	0.00951465	0.0128082	0.0181806	0.0281363	0.030003	0.0210817	0.0268419	0.0715453	0.0921769	0.129837	0.129078	0.0828799	0.097243	0.0745698	0.0537718	0.0378282	0.0381232	0.0463807
a85	0.00888002	0.0122587	0.0290599	0.0532959	0.0593583	0.0426677	0.0497224	0.0839222	0.0827585	0.106519	0.103582	0.0825451	0.0819802	0.0551075	0.0370796	0.0261585	0.0351438	0.04996
a5	0.007505	0.00960631	0.0211669	0.0329691	0.0332899	0.0247662	0.0290368	0.0647919	0.074952	0.120729	0.106469	0.0747722	0.0895799	0.0793582	0.065203	0.0467928	0.0515675	0.0674444
a61	0.0110581	0.0169429	0.0289594	0.0338559	0.0339503	0.0323587	0.0463986	0.0679227	0.0770111	0.0974786	0.0953029	0.0733726	0.0791258	0.0636037	0.0553652	0.0477026	0.0586147	0.0809762
a18	0.0104026	0.0152628	0.0291496	0.0396201	0.0436575	0.0411093	0.0527091	0.0708267	0.0756856	0.0970898	0.0968524	0.0828369	0.0775633	0.0617111	0.0574108	0.0413955	0.0446212	0.0620955
a9	0.00622617	0.0090719	0.0228267	0.0437342	0.0554445	0.0479734	0.0587471	0.0684758	0.0606934	0.0749529	0.0656047	0.0913625	0.0873354	0.0672557	0.0615736	0.0411143	0.0524135	0.0851941
a38	0.00432107	0.00478903	0.0187995	0.059464	0.100713	0.0689657	0.0600523	0.0682408	0.0428195	0.0522476	0.0372505	0.0677295	0.0760021	0.076624	0.0726577	0.0478608	0.0621439	0.0793194
a62	0.00459407	0.0055629	0.0222229	0.0680294	0.129227	0.0973651	0.0766299	0.0760941	0.0408668	0.0455458	0.0355183	0.0741682	0.0659389	0.0576443	0.0576771	0.0351461	0.0451918	0.062577
a61	0.00302542	0.00578863	0.0184899	0.0360083	0.0488952	0.0528738	0.0638937	0.0793005	0.0643108	0.0773258	0.0860598	0.117661	0.0999685	0.0721134	0.0600624	0.0351085	0.0335725	0.0455418
a0	0.00217323	0.00405823	0.0143237	0.0305351	0.04254	0.0459931	0.0630999	0.0681167	0.0496966	0.0563806	0.0690268	0.121083	0.106129	0.081545	0.0718971	0.0459054	0.0509332	0.0765639
