 	ces	enfants	sont	de	même	taille	</S>
a84	0.392114	0.182736	0.134334	0.119957	0.0907651	0.0460295	0.0340644
a10	0.502468	0.199143	0.109126	0.0692101	0.0484418	0.035824	0.0357878
a87	0.457265	0.215325	0.131595	0.0689116	0.0448102	0.036792	0.0453008
a23	0.488736	0.22213	0.126169	0.0599399	0.0362363	0.0290367	0.0377517
a98	0.352537	0.17204	0.122215	0.0841569	0.0743392	0.0749312	0.11978
a6	0.334576	0.223987	0.148947	0.0960094	0.0713171	0.0561457	0.0690168
a98	0.305173	0.250147	0.172882	0.117254	0.0691941	0.0407367	0.0446132
a47	0.264989	0.252255	0.188172	0.132718	0.0713833	0.0438625	0.0466202
a92	0.200724	0.243908	0.197623	0.143565	0.0843955	0.0567923	0.0729922
a79	0.180125	0.207725	0.203709	0.161107	0.0948873	0.0672034	0.0852427
a7	0.132233	0.1886	0.214587	0.183753	0.112947	0.0797438	0.0881361
a21	0.0663078	0.105234	0.164877	0.198842	0.156526	0.136211	0.172002
a47	0.0331846	0.0420275	0.073903	0.136764	0.190359	0.231939	0.291823
a88	0.0306154	0.0382229	0.0657056	0.137015	0.217745	0.235157	0.27554
a54	0.0120862	0.0152762	0.0275014	0.0712741	0.195276	0.323102	0.355484
a36	0.00814339	0.0109187	0.0180525	0.0433711	0.11734	0.256493	0.545681
a2	0.00971107	0.0126585	0.018769	0.0373204	0.089691	0.195815	0.636035
a10	0.0350631	0.0340864	0.0390949	0.0605421	0.0935026	0.196268	0.541443
a87	0.160632	0.0936656	0.084954	0.106917	0.128397	0.168072	0.257362
a23	0.378742	0.190416	0.109257	0.0842895	0.0710885	0.0718585	0.0943484
a99	0.233772	0.126001	0.0871344	0.0789796	0.0986088	0.158952	0.216552
a26	0.0597122	0.0408258	0.042635	0.0635634	0.130054	0.271954	0.391255
</S>	0.045706	0.0371023	0.0355792	0.0564983	0.116774	0.263867	0.444473
