 	on	ne	peut	pas	parler	avec	lui	il	est	borné	</S>
a23	0.231472	0.146388	0.129955	0.143772	0.140181	0.0733826	0.0509857	0.0281039	0.0189321	0.0166681	0.0201597
a99	0.455146	0.24067	0.108409	0.0691982	0.0386129	0.0198517	0.0126388	0.00792024	0.0103057	0.0127548	0.0244928
a50	0.247393	0.231025	0.158899	0.09079	0.0495104	0.0265241	0.0177168	0.0167877	0.0278991	0.0400377	0.0934176
a88	0.322922	0.26995	0.191978	0.111859	0.052517	0.0173447	0.00747847	0.00589117	0.00644693	0.00661989	0.00699177
a34	0.378078	0.293603	0.16927	0.0813854	0.0396083	0.0153491	0.00689013	0.00411446	0.00405467	0.00374215	0.00390391
a56	0.273371	0.259492	0.202185	0.123288	0.0702139	0.0293753	0.015567	0.00945028	0.00671671	0.00501168	0.0053289
a44	0.1651	0.197226	0.203938	0.159392	0.11387	0.0594263	0.0365788	0.0233378	0.0159305	0.0128012	0.0123992
a56	0.0755582	0.118697	0.182119	0.186433	0.160344	0.098979	0.0621449	0.0404812	0.0260917	0.0245568	0.024596
a34	0.0664457	0.0999862	0.166711	0.186991	0.169883	0.106352	0.0736507	0.04967	0.029104	0.0249954	0.0262124
a75	0.0477007	0.0746042	0.143869	0.19666	0.188897	0.121422	0.0839632	0.0571057	0.0325129	0.0267628	0.0265032
a37	0.0340027	0.0417729	0.0734109	0.104638	0.119153	0.111408	0.101274	0.120613	0.103751	0.101211	0.0887658
a26	0.0497284	0.0525581	0.0763693	0.115914	0.151808	0.177982	0.146087	0.0931936	0.0508525	0.0429314	0.042576
a11	0.0328393	0.0331593	0.0518019	0.0862348	0.122236	0.227326	0.203864	0.106853	0.0494982	0.0406332	0.0455545
a21	0.0264787	0.0252074	0.0379867	0.0636056	0.094881	0.205512	0.222687	0.140003	0.0683859	0.0561778	0.0590743
a85	0.0355893	0.0317887	0.0430064	0.0632424	0.0857091	0.163912	0.19391	0.162411	0.102355	0.0683793	0.0496975
a25	0.0313836	0.0270491	0.0345881	0.0432678	0.0525747	0.091259	0.128802	0.15536	0.137744	0.163677	0.134294
a7	0.0157085	0.0136242	0.0186639	0.0252175	0.0319781	0.0842942	0.162057	0.216744	0.155434	0.156803	0.119476
a2	0.0234834	0.0169196	0.0180202	0.0214222	0.0237058	0.0570759	0.127406	0.211122	0.170712	0.166248	0.163885
a75	0.0213391	0.016762	0.0164949	0.0175596	0.0178412	0.0317052	0.059573	0.10959	0.126711	0.217235	0.365189
a47	0.0133219	0.0101045	0.012214	0.0155544	0.020208	0.045503	0.0840746	0.148438	0.170027	0.232479	0.248076
a36	0.00701311	0.0051208	0.00636718	0.00839281	0.0106944	0.0346358	0.0734228	0.153797	0.172331	0.239416	0.288809
a2	0.00364839	0.00270747	0.00326302	0.00457591	0.00640708	0.0201178	0.0409818	0.0912935	0.142761	0.277922	0.406322
a57	0.00549494	0.00399952	0.00344265	0.00333463	0.00328047	0.0067968	0.0173292	0.057579	0.132419	0.279472	0.486853
a87	0.00924933	0.00504409	0.00339878	0.0030844	0.00319212	0.00611501	0.0140041	0.0468568	0.119504	0.23947	0.550082
a23	0.0660138	0.0379491	0.0265071	0.0241401	0.023592	0.0263773	0.0422841	0.0709334	0.125161	0.205625	0.351417
a30	0.0304238	0.017332	0.0112885	0.0109053	0.0128332	0.0168814	0.022409	0.0587354	0.14037	0.23437	0.444451
a53	0.00808529	0.00572167	0.00516778	0.00595456	0.00859804	0.0174155	0.0244176	0.0742946	0.155916	0.266516	0.427913
a98	0.0048284	0.00447736	0.00495584	0.00698323	0.0103837	0.0165175	0.0275691	0.0816663	0.169682	0.331987	0.340949
a92	0.00216443	0.00231871	0.00325253	0.00532478	0.00774752	0.0194958	0.0331715	0.0776335	0.132861	0.284017	0.432014
a37	0.00810929	0.007856	0.0117338	0.0174931	0.0242502	0.0442443	0.0584967	0.0974702	0.141577	0.233503	0.355266
a31	0.00280685	0.00225737	0.00261655	0.00342037	0.00506997	0.011899	0.0226644	0.0576004	0.121849	0.29327	0.476546
a83	0.00158988	0.00139603	0.00176084	0.00247901	0.0037912	0.00957388	0.0200594	0.0486612	0.105223	0.281487	0.523978
a93	0.000367145	0.000341724	0.000518821	0.000817561	0.00132771	0.00368044	0.00736878	0.0215811	0.0584409	0.256536	0.64902
a13	0.000521533	0.00055642	0.000898044	0.00142006	0.00218032	0.0078463	0.0184885	0.0539417	0.103082	0.265479	0.545586
a38	0.000200508	0.000179438	0.000260449	0.000422646	0.000703301	0.00218525	0.00463992	0.017475	0.0562664	0.269271	0.648396
a11	0.00020474	0.000183853	0.000248081	0.000386217	0.000661122	0.00220446	0.00459077	0.0166973	0.058021	0.262512	0.654291
a0	0.000427904	0.000373288	0.000401595	0.000483603	0.000663767	0.00166921	0.00361617	0.0143995	0.0592207	0.267467	0.651278
a10	0.0019827	0.00150544	0.00126828	0.00121118	0.00134208	0.00241198	0.00512125	0.0232955	0.0795209	0.271627	0.610713
a9	0.0679911	0.0396084	0.023955	0.0217794	0.0242883	0.0278136	0.0394766	0.081651	0.146334	0.233502	0.293601
a87	0.188552	0.125407	0.0764191	0.0594686	0.0473238	0.0340703	0.0379202	0.0490877	0.079321	0.125283	0.177147
a23	0.167829	0.108915	0.0653106	0.0507689	0.0396787	0.0333228	0.0497906	0.0600906	0.0800567	0.130018	0.214219
a87	0.0409603	0.0277338	0.0195717	0.0185067	0.0163304	0.0226462	0.0404438	0.0864024	0.139327	0.214766	0.373311
</S>	0.0162727	0.0122476	0.0110562	0.0117225	0.011917	0.0199121	0.0331192	0.0710979	0.132126	0.286859	0.39367
