 	le	pêcheur	a	tué	une	carpe	avec	un	harpon	</S>
a66	0.411559	0.27616	0.118914	0.0599458	0.0382086	0.0269984	0.0198404	0.0160107	0.0162616	0.0161019
a87	0.633468	0.235791	0.0416277	0.0194289	0.0138934	0.0099772	0.00973426	0.0114554	0.0121011	0.0125224
a23	0.516903	0.23185	0.0838968	0.0474543	0.0293961	0.0164491	0.0167607	0.018036	0.0189135	0.0203402
a20	0.341766	0.162053	0.0653391	0.0529504	0.0459319	0.0445664	0.0556427	0.0827189	0.0770618	0.0719704
a44	0.196988	0.218582	0.172411	0.113221	0.0727394	0.0559891	0.0463217	0.0438528	0.0447997	0.0350958
a79	0.236475	0.302984	0.182199	0.0877209	0.0466691	0.0332768	0.028968	0.0286173	0.0254264	0.0276636
a15	0.132376	0.26844	0.230956	0.136476	0.078261	0.0525735	0.0370892	0.0281255	0.0179233	0.0177785
a79	0.09147	0.195671	0.207853	0.138235	0.095449	0.0881977	0.062113	0.050501	0.0331874	0.0373224
a37	0.0878308	0.168393	0.223146	0.16031	0.0997573	0.0885626	0.0562162	0.0438127	0.0317241	0.040247
a26	0.157574	0.155789	0.156062	0.126834	0.101812	0.0892435	0.0624415	0.0546224	0.0451516	0.0504699
a53	0.0417128	0.0704965	0.117988	0.131065	0.135432	0.1263	0.100199	0.095232	0.0866355	0.0949385
a94	0.0378635	0.0618416	0.101537	0.117472	0.131025	0.137231	0.112615	0.104334	0.0939201	0.102162
a90	0.0214496	0.0329534	0.0587532	0.0905941	0.129213	0.147048	0.127664	0.119519	0.126332	0.146473
a79	0.01896	0.0297004	0.0574465	0.0940417	0.136225	0.161304	0.1361	0.115688	0.124648	0.125886
a94	0.00912801	0.0146099	0.0323792	0.0632315	0.106216	0.157306	0.153784	0.152103	0.152013	0.15923
a93	0.0107174	0.0160428	0.0281524	0.0533373	0.102016	0.170428	0.158261	0.139481	0.148656	0.172909
a90	0.0104665	0.0166525	0.0326369	0.0621227	0.113021	0.177124	0.165324	0.137643	0.14333	0.141679
a93	0.00491203	0.00838462	0.0202801	0.045303	0.0833033	0.150512	0.163099	0.163586	0.178255	0.182364
a94	0.00341291	0.00527191	0.0129988	0.0327638	0.07234	0.135828	0.16446	0.172467	0.198383	0.202075
a90	0.00162764	0.00254101	0.00640462	0.0171979	0.0385848	0.0791077	0.12739	0.174448	0.251168	0.301531
a79	0.00102586	0.00148136	0.00373624	0.0108468	0.0257792	0.0609636	0.116432	0.189894	0.273398	0.316443
a56	0.000769698	0.00121181	0.00344571	0.0107226	0.024115	0.0535476	0.108669	0.19275	0.277856	0.326913
a32	0.000317866	0.000575097	0.00150771	0.00516711	0.0144579	0.0371391	0.0897162	0.176365	0.28984	0.384914
a90	0.000250136	0.000468134	0.00121907	0.00375645	0.00938758	0.0234986	0.0599091	0.136618	0.28912	0.475772
a94	0.000221221	0.00037869	0.00104668	0.0037339	0.0101544	0.0257246	0.0629802	0.143096	0.282569	0.470095
a71	0.000150337	0.000322952	0.00091259	0.00279541	0.00661568	0.0161024	0.0470492	0.116814	0.287797	0.521441
a25	0.000756315	0.00158687	0.0036599	0.00839263	0.0156959	0.0306121	0.099624	0.196056	0.309842	0.333774
a87	0.0351487	0.0237191	0.0230052	0.0348773	0.0511652	0.0686381	0.124434	0.169539	0.236358	0.233115
a23	0.37941	0.178391	0.0691086	0.054349	0.0435519	0.0403239	0.0487226	0.056853	0.0618211	0.067469
a87	0.166422	0.100238	0.0587457	0.0552407	0.0511628	0.0694776	0.0956676	0.114355	0.123796	0.164894
</S>	0.0101932	0.00944209	0.0131966	0.0234354	0.0382379	0.0673359	0.131166	0.184039	0.218409	0.304545
