 	j'	ai	des	nausées	</S>
a66	0.55866	0.342659	0.0853685	0.00772922	0.00558357
a87	0.522236	0.355326	0.0919316	0.0182678	0.0122381
a23	0.550477	0.318441	0.0895121	0.0253011	0.0162694
a99	0.692695	0.221985	0.0386403	0.0159517	0.0307277
a54	0.557043	0.190167	0.0857546	0.0549283	0.112107
a7	0.210836	0.230813	0.252148	0.176637	0.129565
a79	0.0772531	0.166286	0.352885	0.287981	0.115595
a37	0.061732	0.149798	0.412963	0.287796	0.0877101
a54	0.0684848	0.0865251	0.171884	0.378735	0.294371
a15	0.040561	0.05515	0.121212	0.389107	0.393971
a92	0.0448615	0.0484194	0.109412	0.324441	0.472866
a37	0.0200143	0.0196643	0.0568444	0.344629	0.558848
a12	0.0263618	0.0194025	0.0480559	0.266682	0.639498
a18	0.00552517	0.00476339	0.0146344	0.166269	0.808808
a71	0.00279933	0.00275342	0.00926917	0.0975331	0.887645
a9	0.0206817	0.0274536	0.0412293	0.144337	0.766299
a97	0.407646	0.152106	0.0711008	0.0924628	0.276685
a87	0.486068	0.205214	0.0795275	0.0812322	0.147958
a23	0.510545	0.217799	0.0722839	0.07574	0.123633
a87	0.332974	0.198073	0.0641551	0.0952316	0.309566
</S>	0.0668275	0.0290266	0.0280852	0.171089	0.704971
