 	le	bélier	entraîne	le	troupeau	vers	la	rivière	</S>
a23	0.27428	0.441577	0.112715	0.0880633	0.0343943	0.0202408	0.0108708	0.00867984	0.00917776
a87	0.185309	0.339646	0.178852	0.129976	0.0550835	0.0333059	0.0234251	0.0254809	0.0289209
a23	0.112575	0.167116	0.174911	0.115498	0.0673093	0.0633035	0.0747121	0.105079	0.119495
a79	0.160498	0.229929	0.157416	0.0968399	0.0622439	0.056416	0.0568064	0.072283	0.107568
a4	0.378601	0.35392	0.101444	0.0468651	0.0311299	0.0228978	0.0175205	0.0177883	0.0298327
a44	0.368775	0.281958	0.137977	0.0826401	0.0416935	0.026154	0.0202886	0.0194894	0.0210243
a38	0.230619	0.218917	0.175891	0.141452	0.0677548	0.0507671	0.0426266	0.0385555	0.0334158
a20	0.199791	0.204023	0.171009	0.149496	0.0659822	0.0560659	0.0513787	0.0529761	0.049278
a58	0.177793	0.168035	0.161497	0.164385	0.0821835	0.0665626	0.0578028	0.0626129	0.0591282
a20	0.161456	0.169334	0.159139	0.165083	0.0749036	0.0635031	0.059198	0.0724508	0.0749325
a73	0.176805	0.160082	0.143223	0.155426	0.084823	0.0733771	0.0626381	0.0713856	0.0722396
a94	0.206067	0.162768	0.139494	0.146928	0.0895099	0.0819647	0.0618183	0.0564969	0.054953
a57	0.182147	0.174513	0.154597	0.160891	0.0807646	0.0716946	0.0563457	0.059204	0.059843
a53	0.185243	0.16106	0.164737	0.166135	0.076746	0.072619	0.0557207	0.0559954	0.0617441
a76	0.138489	0.139739	0.150374	0.160664	0.0886753	0.0919151	0.0748391	0.0761698	0.0791342
a94	0.119662	0.103834	0.125833	0.146385	0.0949722	0.104768	0.0907158	0.103862	0.109968
a32	0.0784935	0.076013	0.128152	0.167346	0.100735	0.114312	0.0986679	0.112155	0.124126
a56	0.0498518	0.0532256	0.103015	0.170145	0.117319	0.129543	0.111376	0.129622	0.135904
