 	le	vent	a	déraciné	ce	grand	arbre-là	</S>
a15	0.163875	0.14367	0.189331	0.30474	0.121533	0.0534804	0.0163785	0.00699171
a66	0.235078	0.0874847	0.0849233	0.0746168	0.0755851	0.202305	0.162402	0.0776055
a87	0.330203	0.137577	0.0968629	0.1165	0.0827201	0.0696551	0.0592605	0.107222
a23	0.280242	0.183225	0.106131	0.0781478	0.0770143	0.129468	0.0871705	0.058602
a87	0.319111	0.199865	0.0907062	0.0690502	0.0807933	0.107968	0.077964	0.0545422
a57	0.29795	0.178121	0.0970508	0.0935119	0.0936107	0.114809	0.0787295	0.0462177
a87	0.301185	0.174942	0.0958959	0.0856295	0.101797	0.121662	0.0741886	0.0447001
a79	0.303613	0.173484	0.095431	0.0898959	0.095058	0.113166	0.0815527	0.0477995
a69	0.314719	0.227963	0.138018	0.0941798	0.0741473	0.0691594	0.0426191	0.0391934
a75	0.273985	0.25667	0.155937	0.151656	0.0629637	0.0373996	0.0314069	0.0299818
a92	0.164666	0.148883	0.160344	0.247596	0.128499	0.0722172	0.0399487	0.0378464
a79	0.147204	0.137436	0.17522	0.269282	0.127126	0.0646489	0.0342717	0.0448125
a37	0.167743	0.150939	0.208076	0.276481	0.0996813	0.0449834	0.0269615	0.0251356
a90	0.151087	0.137708	0.172786	0.266807	0.134793	0.0618124	0.0335948	0.0414124
a75	0.152985	0.139736	0.177595	0.245325	0.122519	0.057542	0.0404694	0.0638276
a56	0.0931537	0.0867191	0.154711	0.261938	0.155611	0.0891162	0.0640857	0.0946647
a37	0.110352	0.097221	0.167482	0.247035	0.142503	0.0894404	0.0589802	0.0869867
a61	0.0883018	0.0725326	0.142137	0.228017	0.158023	0.113437	0.0839974	0.113556
a56	0.0343204	0.0227773	0.0650035	0.15985	0.17693	0.166381	0.163369	0.211369
a25	0.0196279	0.0135285	0.0371463	0.0911938	0.141673	0.194296	0.259907	0.242627
a98	0.00959937	0.00785536	0.0189527	0.0440855	0.0756101	0.121066	0.249921	0.47291
a92	0.0114366	0.00691178	0.0118788	0.0243935	0.0528601	0.102287	0.286731	0.503501
a12	0.00757142	0.0043933	0.00712192	0.0171584	0.0459422	0.0878373	0.301493	0.528483
a21	0.00309555	0.00226373	0.00272976	0.00633189	0.0210619	0.0519161	0.319711	0.59289
a12	0.000961723	0.000796597	0.000830191	0.00183585	0.0115771	0.0432945	0.30237	0.638334
a18	0.000537985	0.000388052	0.000294814	0.000437815	0.00465608	0.0286031	0.214463	0.750619
a88	0.000492117	0.000386634	0.000449854	0.000860108	0.00507906	0.0323575	0.151171	0.809204
a9	0.00386097	0.00292636	0.00470338	0.00630048	0.0218741	0.0757426	0.223832	0.66076
a10	0.0938263	0.0394179	0.038119	0.0310176	0.0448228	0.100217	0.215197	0.437382
a87	0.19745	0.0955982	0.0843873	0.0613079	0.0582543	0.130622	0.185353	0.187027
a38	0.139658	0.074571	0.0585487	0.0468984	0.0521856	0.107444	0.210454	0.310241
a9	0.041059	0.0182978	0.0107788	0.00851249	0.0140119	0.046054	0.205147	0.656139
</S>	0.0249218	0.0125344	0.0132325	0.0133765	0.0217044	0.0733068	0.208501	0.632423
