 	qui	a	bourré	mon	sac	de	vêtements	</S>
a66	0.230529	0.223117	0.21129	0.141755	0.113337	0.0531738	0.0152453	0.0115529
a87	0.268376	0.169108	0.174827	0.176435	0.122786	0.05457	0.0162397	0.0176575
a79	0.389132	0.267355	0.184489	0.0603052	0.0357562	0.0275889	0.0157798	0.0195945
a93	0.361461	0.325757	0.20911	0.0573453	0.0178929	0.00830737	0.00715667	0.0129694
a4	0.353689	0.30622	0.180176	0.0622133	0.0260097	0.0172259	0.0213796	0.0330867
a11	0.342467	0.304922	0.186858	0.0843862	0.035819	0.0184903	0.0126835	0.0143745
a62	0.298158	0.279495	0.175012	0.106018	0.0563339	0.0325831	0.0239327	0.0284672
a88	0.221009	0.243081	0.197661	0.141306	0.0794205	0.0438112	0.0324322	0.0412781
a75	0.174483	0.203268	0.184385	0.163514	0.11498	0.0665204	0.0418879	0.0509623
a92	0.0996034	0.149098	0.219433	0.221551	0.157577	0.0673724	0.0392296	0.0461354
a75	0.0928754	0.147806	0.222228	0.230394	0.16379	0.0650485	0.0358986	0.0419598
a92	0.0759146	0.121475	0.210689	0.217932	0.170346	0.0915618	0.0529116	0.05917
a85	0.0695389	0.11204	0.200918	0.201071	0.17113	0.103173	0.0648718	0.0772575
a6	0.0272396	0.0489578	0.120998	0.168105	0.212777	0.174229	0.11611	0.131584
a12	0.0269422	0.0469772	0.128289	0.145349	0.172202	0.172881	0.13944	0.16792
a18	0.0186546	0.0301823	0.0971609	0.117429	0.158306	0.184189	0.164292	0.229786
a75	0.0241058	0.0268309	0.0768707	0.062502	0.0777056	0.104196	0.198962	0.428827
a85	0.00468148	0.00610761	0.0171577	0.027401	0.0764276	0.177145	0.274549	0.416531
a5	0.0055005	0.00646493	0.0142738	0.0201054	0.0490105	0.142308	0.319224	0.443113
a47	0.00437987	0.00552443	0.0144847	0.0173849	0.0450995	0.148107	0.337825	0.427194
a96	0.00585762	0.00677139	0.0187594	0.0185945	0.037557	0.122965	0.347661	0.441835
a36	0.00251103	0.00268133	0.00846081	0.0081728	0.0175249	0.0610462	0.268709	0.630894
a27	0.00427831	0.00344313	0.00690363	0.00593856	0.00952337	0.0322487	0.198634	0.73903
a82	0.0350328	0.0306358	0.0325496	0.0288004	0.0418527	0.0925028	0.259304	0.479322
a10	0.131236	0.0780298	0.0790784	0.0713212	0.0717825	0.0885368	0.186549	0.293465
a87	0.213385	0.142822	0.154963	0.116712	0.0786197	0.0846483	0.103567	0.105284
a23	0.183206	0.109644	0.125504	0.113051	0.0993069	0.133599	0.11755	0.11814
a97	0.0608273	0.0333045	0.041482	0.0542528	0.0578674	0.123704	0.256082	0.37248
</S>	0.0221603	0.011223	0.0192704	0.0267884	0.0370542	0.0883735	0.245846	0.549284
