 	cet	enfant-là	s'	initie	à	la	pratique	du	kyebé-kyebé	</S>
a66	0.213696	0.0944918	0.0801655	0.104199	0.157797	0.165742	0.105778	0.042202	0.0218358	0.0140932
a10	0.0874251	0.0443422	0.0503546	0.069584	0.104474	0.139932	0.178601	0.13109	0.11431	0.079887
a87	0.308399	0.127552	0.0575604	0.0689874	0.0928266	0.0943808	0.0871668	0.0584273	0.0546438	0.0500563
a10	0.291208	0.16858	0.0825319	0.0864708	0.0817743	0.0780403	0.0788996	0.0559347	0.0432833	0.033277
a87	0.310641	0.167638	0.0792494	0.0949194	0.0869621	0.0800251	0.0698403	0.0471567	0.0361182	0.0274493
a83	0.315926	0.152384	0.0707826	0.0974798	0.0921519	0.0795943	0.0701161	0.0492049	0.0392984	0.0330624
a98	0.129629	0.0361822	0.029513	0.0318503	0.0752085	0.152734	0.181814	0.153065	0.13151	0.0784936
a47	0.147977	0.0705	0.0607802	0.0338184	0.0528564	0.0827456	0.120008	0.128649	0.172872	0.129794
a85	0.105435	0.0465968	0.0566951	0.0363589	0.0669144	0.102692	0.134456	0.140422	0.173812	0.136618
a79	0.186227	0.104608	0.121574	0.0886675	0.0989227	0.096311	0.103931	0.0776988	0.0700456	0.0520145
a98	0.172206	0.147072	0.166854	0.139619	0.119228	0.0849446	0.060347	0.0374355	0.0363082	0.0359844
a47	0.131655	0.142582	0.189073	0.176214	0.133677	0.0897551	0.052433	0.0284902	0.0261412	0.0299805
a37	0.0995366	0.125059	0.173306	0.178129	0.144277	0.100373	0.0588789	0.0385162	0.0380538	0.0438695
a5	0.100385	0.130868	0.171005	0.158272	0.118949	0.0861786	0.0600684	0.0499902	0.0579546	0.0663285
a18	0.114845	0.164355	0.190213	0.171499	0.12882	0.0848035	0.0486436	0.0309228	0.0312165	0.0346822
a44	0.0443148	0.102395	0.180639	0.187989	0.141747	0.104055	0.0623758	0.0520597	0.055037	0.069387
a98	0.030761	0.0790654	0.147767	0.174401	0.149373	0.116855	0.0811858	0.0665289	0.0686086	0.0854547
a47	0.0373918	0.107668	0.156388	0.184124	0.136114	0.100105	0.0641622	0.0504573	0.0575416	0.106048
a37	0.0353898	0.0981326	0.120951	0.169361	0.11374	0.0802255	0.0535805	0.0497041	0.0840442	0.194871
a85	0.0223774	0.0582471	0.109385	0.151951	0.12995	0.112657	0.0796447	0.0728788	0.0963928	0.166515
a36	0.0234711	0.0729302	0.107812	0.137924	0.0963464	0.0821632	0.0612536	0.0765769	0.125132	0.216391
a27	0.0151226	0.0284187	0.0518144	0.086094	0.0902645	0.0952622	0.100311	0.128565	0.172684	0.231463
a75	0.0254077	0.0302357	0.0555252	0.0874893	0.0875483	0.099092	0.10179	0.111464	0.179108	0.22234
a61	0.0132549	0.0260075	0.0305116	0.039892	0.035905	0.0397956	0.0517326	0.117133	0.253993	0.391776
a21	0.00614436	0.0154279	0.0234692	0.0304504	0.0303127	0.038782	0.055677	0.133157	0.283429	0.38315
a24	0.00665741	0.0143019	0.0217187	0.0265454	0.0255585	0.0339726	0.0500312	0.129042	0.281685	0.410488
a71	0.00258705	0.00470922	0.00810381	0.0124313	0.0122214	0.0198742	0.0321797	0.097273	0.280714	0.529906
a62	0.0027958	0.00311155	0.00602207	0.0119358	0.0218645	0.0380258	0.0661248	0.100611	0.219489	0.53002
a88	0.00106283	0.00137908	0.00254147	0.00496689	0.00978666	0.022023	0.0507775	0.104531	0.24207	0.560862
a83	0.000821725	0.00117029	0.00252093	0.00564701	0.0101199	0.0209085	0.0462627	0.0978737	0.237959	0.576716
a9	0.000755088	0.000909014	0.00212195	0.00476534	0.00849197	0.0168336	0.0398857	0.0993759	0.252327	0.574534
a99	0.0271406	0.0222933	0.0275881	0.0310666	0.0495033	0.086754	0.116069	0.125693	0.17542	0.338472
a97	0.0551437	0.0385743	0.0341578	0.0367387	0.0578225	0.0881194	0.106218	0.129215	0.186414	0.267596
a87	0.0569564	0.0422795	0.0328143	0.0414516	0.0607851	0.0943214	0.11356	0.150526	0.191659	0.215646
a97	0.0427505	0.034707	0.0289047	0.045843	0.0710136	0.0975026	0.109894	0.136773	0.202036	0.230576
a3	0.0460992	0.0364786	0.0308586	0.0509122	0.0729353	0.0993489	0.11242	0.127834	0.195405	0.227708
</S>	0.0489734	0.0462296	0.0394424	0.0631243	0.0784235	0.0971498	0.103686	0.118922	0.179333	0.224716
