 	cette	jeune	fille	n'	a	pas	encore	trouvé	un	mari	</S>
a66	0.251895	0.138484	0.120309	0.10857	0.0941237	0.0729181	0.0635782	0.0558661	0.0426145	0.0297252	0.0219177
a87	0.404789	0.1439	0.0809627	0.0618321	0.0550226	0.0401592	0.0387802	0.0499126	0.0484026	0.0427176	0.033521
a23	0.425744	0.168125	0.101519	0.0693677	0.0486194	0.035151	0.0317085	0.0368798	0.0319359	0.0269158	0.024034
a53	0.253255	0.0898869	0.0668121	0.0557665	0.0512194	0.047312	0.0537273	0.0734441	0.0869662	0.1015	0.12011
a79	0.432946	0.190904	0.122213	0.0707561	0.0464192	0.0316771	0.0246811	0.0245745	0.0228434	0.017729	0.0152561
a44	0.255448	0.224237	0.137405	0.0818201	0.0613274	0.0465108	0.0416076	0.0456913	0.0435971	0.0342645	0.0280915
a96	0.162547	0.208715	0.156087	0.109383	0.0827536	0.0597212	0.0452336	0.044762	0.040339	0.0420481	0.0484108
a93	0.130888	0.187123	0.176048	0.132526	0.0955955	0.0646662	0.0452031	0.0402897	0.0358673	0.0403716	0.0514215
a79	0.121501	0.175503	0.177768	0.13801	0.0984157	0.0654106	0.0443444	0.0394137	0.036066	0.0439668	0.0595999
a56	0.0899359	0.145439	0.154877	0.120852	0.0970152	0.0745928	0.0555447	0.0514381	0.0500777	0.0672508	0.0929758
a0	0.100634	0.132287	0.170829	0.148792	0.111091	0.0755836	0.0515423	0.0440695	0.0419731	0.0531367	0.0700621
a90	0.0456782	0.0629181	0.143475	0.161663	0.132719	0.0980453	0.068486	0.0582654	0.0557885	0.0716916	0.10127
a93	0.0277403	0.0451644	0.114329	0.141134	0.132504	0.109381	0.0810384	0.069034	0.0638178	0.0879086	0.127949
a94	0.0340754	0.0452745	0.115156	0.153282	0.146522	0.121217	0.0848517	0.0692443	0.0594476	0.0726921	0.0982375
a70	0.02357	0.027953	0.0755319	0.126103	0.144668	0.132006	0.0980794	0.0825784	0.0715625	0.0907	0.127248
a13	0.0180349	0.0217367	0.0614449	0.108773	0.137879	0.1442	0.11893	0.0976012	0.0809078	0.0932196	0.117273
a11	0.0170599	0.0198354	0.0578513	0.102752	0.130835	0.124135	0.099163	0.0888259	0.0802254	0.112691	0.166625
a54	0.0199182	0.0219785	0.0471416	0.0759252	0.10199	0.102682	0.0936375	0.0947033	0.0955452	0.137332	0.209147
a36	0.00472603	0.00649611	0.0259813	0.0439419	0.0636852	0.077147	0.086833	0.0923515	0.113889	0.19732	0.287629
a26	0.00472458	0.00591753	0.0211908	0.0323449	0.0430344	0.0537074	0.0687348	0.0868946	0.118055	0.216835	0.348561
a2	0.0208122	0.0183281	0.0294999	0.0365311	0.0451976	0.0554888	0.0707835	0.0772342	0.114961	0.21837	0.312793
a57	0.0549828	0.0394473	0.0439872	0.0474288	0.0561615	0.0660817	0.0838311	0.0878178	0.117716	0.182753	0.219792
a2	0.13724	0.0745698	0.0625171	0.0578162	0.0694894	0.0817221	0.10835	0.101819	0.107261	0.105404	0.0938112
a57	0.133635	0.0761066	0.0728823	0.0704449	0.0830906	0.0935032	0.114331	0.10167	0.0978425	0.0861285	0.0703653
a87	0.135266	0.067728	0.0673712	0.07128	0.0846701	0.0966932	0.121434	0.110341	0.102274	0.0808521	0.0620907
a23	0.108466	0.0630119	0.0856783	0.0911365	0.0958387	0.099468	0.115758	0.105577	0.095459	0.0788877	0.0607193
a97	0.0857136	0.0435668	0.0357546	0.0364871	0.0534682	0.0749338	0.109855	0.127142	0.123228	0.142463	0.167387
</S>	0.0416425	0.0280914	0.0309611	0.0305646	0.0416117	0.0625219	0.0970485	0.133191	0.141035	0.172837	0.220495
